# DarkQuest phase I fermiophilic-ALP (BC10) sensitivity, revised phenomenology
# Extracted from arXiv:2501.04525 (Ovchynnikov-Zaporozhchenko, PRD 112 015001),
# parameter-space-ALP-fermion.pdf (solid = revised phenomenology).
# Date: 2026-07-11
# Source y axis is y^2 = (2 v_h/f_GKOZ)^2; converted to 1/f (BNT) = y/v_h,
# v_h = 246 GeV. The visible figure frame covers m_a in [0.6, 2.0] GeV;
# path data beneath the PDF clip (m_a < 0.6 or > 2.0) is kept as drawn but
# was not visually published -- treat it accordingly.
# Format: chains separated by blank line; each row "mass_GeV  invf_GeV^-1"
# chain: 2243 vertices
9.400033e-01  9.780933e-08
9.400033e-01  7.891242e-08
9.395087e-01  8.048146e-08
9.389909e-01  8.223148e-08
9.388216e-01  8.273878e-08
9.386921e-01  8.319779e-08
9.381345e-01  8.505685e-08
9.375535e-01  8.712689e-08
9.374473e-01  8.744250e-08
9.373709e-01  8.772676e-08
9.367602e-01  8.988120e-08
9.361129e-01  9.231370e-08
9.360598e-01  9.249080e-08
9.355552e-01  9.436479e-08
9.353992e-01  9.499096e-08
9.353859e-01  9.502623e-08
9.347518e-01  9.751354e-08
9.347120e-01  9.765529e-08
9.346722e-01  9.780933e-08
9.340249e-01  1.003943e-07
9.334407e-01  1.027964e-07
9.333378e-01  1.031943e-07
9.332482e-01  1.036321e-07
9.326639e-01  1.060886e-07
9.321328e-01  1.083787e-07
9.319767e-01  1.090474e-07
9.318075e-01  1.098016e-07
9.312896e-01  1.121059e-07
9.308216e-01  1.142502e-07
9.306158e-01  1.152467e-07
9.303801e-01  1.163383e-07
9.299153e-01  1.183804e-07
9.295270e-01  1.195274e-07
9.290722e-01  1.208499e-07
9.282921e-01  1.232641e-07
9.282423e-01  1.233823e-07
9.282158e-01  1.234586e-07
9.281394e-01  1.237106e-07
9.274124e-01  1.259717e-07
9.269178e-01  1.275190e-07
9.265693e-01  1.286154e-07
9.259585e-01  1.306023e-07
9.257394e-01  1.312984e-07
9.256232e-01  1.316967e-07
9.251950e-01  1.331044e-07
9.249095e-01  1.340540e-07
9.247933e-01  1.344274e-07
9.243253e-01  1.360281e-07
9.240797e-01  1.368673e-07
9.236382e-01  1.383773e-07
9.232498e-01  1.397225e-07
9.230307e-01  1.405019e-07
9.224199e-01  1.426548e-07
9.222506e-01  1.432247e-07
9.217328e-01  1.451050e-07
9.215900e-01  1.456487e-07
9.213178e-01  1.466016e-07
9.207602e-01  1.486870e-07
9.204349e-01  1.498727e-07
9.199170e-01  1.517512e-07
9.195021e-01  1.528715e-07
9.191535e-01  1.538527e-07
9.189975e-01  1.542622e-07
9.186191e-01  1.553291e-07
9.180747e-01  1.568342e-07
9.178689e-01  1.574413e-07
9.173610e-01  1.588539e-07
9.171552e-01  1.594490e-07
9.165710e-01  1.611135e-07
9.162357e-01  1.620925e-07
9.154058e-01  1.645762e-07
9.153262e-01  1.647950e-07
9.152863e-01  1.648918e-07
9.152232e-01  1.650703e-07
9.144066e-01  1.675426e-07
9.140183e-01  1.687379e-07
9.137825e-01  1.694120e-07
9.134871e-01  1.703150e-07
9.130955e-01  1.715512e-07
9.127336e-01  1.726736e-07
9.125776e-01  1.731546e-07
9.121892e-01  1.743737e-07
9.120863e-01  1.746704e-07
9.116581e-01  1.760416e-07
9.114490e-01  1.767066e-07
9.109577e-01  1.782700e-07
9.107486e-01  1.789822e-07
9.101776e-01  1.808282e-07
9.098290e-01  1.818539e-07
9.089859e-01  1.840876e-07
9.088962e-01  1.842869e-07
9.088564e-01  1.843951e-07
9.087270e-01  1.847545e-07
9.078838e-01  1.870008e-07
9.076249e-01  1.877014e-07
9.071203e-01  1.890872e-07
9.069245e-01  1.896140e-07
9.067153e-01  1.901833e-07
9.063535e-01  1.911733e-07
9.059651e-01  1.922874e-07
9.052515e-01  1.942466e-07
9.050822e-01  1.947155e-07
9.047203e-01  1.957533e-07
9.044481e-01  1.965111e-07
9.040332e-01  1.976990e-07
9.038108e-01  1.983232e-07
9.033958e-01  1.995221e-07
9.030738e-01  2.004678e-07
9.025560e-01  2.019979e-07
9.021145e-01  2.032943e-07
9.015436e-01  2.049662e-07
9.012846e-01  2.057342e-07
9.011552e-01  2.061352e-07
9.007270e-01  2.074070e-07
9.001959e-01  2.090158e-07
9.000265e-01  2.095462e-07
8.997278e-01  2.102338e-07
8.991834e-01  2.114785e-07
8.987552e-01  2.124481e-07
8.983137e-01  2.135079e-07
8.981710e-01  2.138381e-07
8.980680e-01  2.140497e-07
8.974971e-01  2.153969e-07
8.971486e-01  2.162307e-07
8.964216e-01  2.179618e-07
8.962390e-01  2.183799e-07
8.961361e-01  2.186433e-07
8.956681e-01  2.197543e-07
8.951237e-01  2.210895e-07
8.949942e-01  2.213767e-07
8.947751e-01  2.219179e-07
8.941013e-01  2.235564e-07
8.937361e-01  2.244495e-07
8.931286e-01  2.259459e-07
8.930888e-01  2.260507e-07
8.924780e-01  2.275578e-07
8.920764e-01  2.285799e-07
8.914954e-01  2.300470e-07
8.912332e-01  2.307092e-07
8.910672e-01  2.311303e-07
8.904033e-01  2.328367e-07
8.900680e-01  2.337091e-07
8.898589e-01  2.341646e-07
8.890291e-01  2.360393e-07
8.887303e-01  2.367188e-07
8.882921e-01  2.377232e-07
8.879933e-01  2.383854e-07
8.874855e-01  2.395671e-07
8.869677e-01  2.407548e-07
8.867220e-01  2.413359e-07
8.862406e-01  2.424498e-07
8.859452e-01  2.431853e-07
8.851518e-01  2.450111e-07
8.850091e-01  2.453672e-07
8.849062e-01  2.456024e-07
8.844514e-01  2.466980e-07
8.843884e-01  2.468505e-07
8.838838e-01  2.480435e-07
8.835850e-01  2.487345e-07
8.828581e-01  2.505089e-07
8.825328e-01  2.513000e-07
8.820282e-01  2.525145e-07
8.818323e-01  2.530067e-07
8.812880e-01  2.543553e-07
8.808099e-01  2.555214e-07
8.804714e-01  2.563599e-07
8.800564e-01  2.574080e-07
8.797842e-01  2.580372e-07
8.789411e-01  2.599423e-07
8.788249e-01  2.602236e-07
8.787486e-01  2.603765e-07
8.783070e-01  2.613844e-07
8.777096e-01  2.627776e-07
8.775934e-01  2.630376e-07
8.774241e-01  2.633874e-07
8.766739e-01  2.651681e-07
8.763618e-01  2.658738e-07
8.759203e-01  2.669030e-07
8.756349e-01  2.675803e-07
8.751303e-01  2.687489e-07
8.745992e-01  2.700145e-07
8.744033e-01  2.704739e-07
8.739121e-01  2.716803e-07
8.735602e-01  2.725045e-07
8.726805e-01  2.746182e-07
8.725378e-01  2.749834e-07
8.720697e-01  2.761161e-07
8.717311e-01  2.769537e-07
8.714988e-01  2.774849e-07
8.714589e-01  2.776222e-07
8.713958e-01  2.777509e-07
8.704730e-01  2.800092e-07
8.702407e-01  2.806157e-07
8.699054e-01  2.814321e-07
8.694373e-01  2.824516e-07
8.690224e-01  2.834135e-07
8.684382e-01  2.847129e-07
8.683884e-01  2.848185e-07
8.678041e-01  2.861243e-07
8.673494e-01  2.871609e-07
8.669743e-01  2.880320e-07
8.665859e-01  2.889058e-07
8.663137e-01  2.895673e-07
8.655204e-01  2.913537e-07
8.653776e-01  2.917051e-07
8.652614e-01  2.919577e-07
8.646407e-01  2.934413e-07
8.641593e-01  2.945408e-07
8.640697e-01  2.947867e-07
8.631867e-01  2.968255e-07
8.629543e-01  2.973948e-07
8.626158e-01  2.981863e-07
8.621511e-01  2.993036e-07
8.617361e-01  3.002858e-07
8.611651e-01  3.016624e-07
8.611253e-01  3.017743e-07
8.605278e-01  3.031954e-07
8.600896e-01  3.042938e-07
8.597112e-01  3.051791e-07
8.593228e-01  3.061428e-07
8.590506e-01  3.068058e-07
8.582606e-01  3.087750e-07
8.581178e-01  3.091091e-07
8.580249e-01  3.093768e-07
8.575203e-01  3.106127e-07
8.574174e-01  3.109105e-07
8.569892e-01  3.119211e-07
8.569228e-01  3.121140e-07
8.568199e-01  3.123359e-07
8.559635e-01  3.145350e-07
8.557179e-01  3.151383e-07
8.553826e-01  3.160161e-07
8.549411e-01  3.171609e-07
8.545261e-01  3.182017e-07
8.539419e-01  3.197001e-07
8.539021e-01  3.197791e-07
8.533212e-01  3.212850e-07
8.528796e-01  3.224489e-07
8.521262e-01  3.244082e-07
8.518539e-01  3.251108e-07
8.510772e-01  3.271974e-07
8.509344e-01  3.275515e-07
8.508315e-01  3.278351e-07
8.502606e-01  3.293789e-07
8.497394e-01  3.306539e-07
8.496498e-01  3.308890e-07
8.487801e-01  3.330128e-07
8.485477e-01  3.335794e-07
8.482490e-01  3.343431e-07
8.477444e-01  3.355647e-07
8.473693e-01  3.365306e-07
8.468482e-01  3.377916e-07
8.467054e-01  3.381258e-07
8.461743e-01  3.394766e-07
8.456830e-01  3.407064e-07
8.454473e-01  3.413177e-07
8.449958e-01  3.424801e-07
8.446573e-01  3.433068e-07
8.440498e-01  3.448381e-07
8.438009e-01  3.454675e-07
8.436216e-01  3.459269e-07
8.426623e-01  3.484378e-07
8.426224e-01  3.485240e-07
8.425959e-01  3.485671e-07
8.424398e-01  3.489875e-07
8.415701e-01  3.512274e-07
8.414406e-01  3.515641e-07
8.412614e-01  3.520316e-07
8.405477e-01  3.539080e-07
8.402622e-01  3.546745e-07
8.398738e-01  3.556625e-07
8.395220e-01  3.566091e-07
8.390805e-01  3.577793e-07
8.384996e-01  3.593308e-07
8.384863e-01  3.593752e-07
8.379153e-01  3.609447e-07
8.374871e-01  3.620733e-07
8.367336e-01  3.640932e-07
8.364614e-01  3.648479e-07
8.357245e-01  3.668720e-07
8.355685e-01  3.673145e-07
8.354523e-01  3.676325e-07
8.346722e-01  3.697635e-07
8.344266e-01  3.704383e-07
8.343867e-01  3.705299e-07
8.343502e-01  3.706559e-07
8.334141e-01  3.732655e-07
8.329626e-01  3.745251e-07
8.324050e-01  3.761144e-07
8.320531e-01  3.770688e-07
8.315884e-01  3.783880e-07
8.313925e-01  3.789849e-07
8.308879e-01  3.804049e-07
8.308083e-01  3.806401e-07
8.303801e-01  3.818774e-07
8.302141e-01  3.823379e-07
8.297328e-01  3.837231e-07
8.293710e-01  3.847919e-07
8.288498e-01  3.862814e-07
8.285643e-01  3.871300e-07
8.283585e-01  3.877287e-07
8.274755e-01  3.903138e-07
8.273992e-01  3.905551e-07
8.273461e-01  3.906880e-07
8.269842e-01  3.917762e-07
8.268282e-01  3.922487e-07
8.263369e-01  3.936697e-07
8.262440e-01  3.939618e-07
8.261145e-01  3.943394e-07
8.253377e-01  3.966865e-07
8.250921e-01  3.974474e-07
8.247535e-01  3.984067e-07
8.243253e-01  3.996647e-07
8.239369e-01  4.008647e-07
8.233925e-01  4.024661e-07
8.233261e-01  4.026652e-07
8.227818e-01  4.043238e-07
8.223170e-01  4.056883e-07
8.220448e-01  4.065292e-07
8.216299e-01  4.078002e-07
8.213178e-01  4.086835e-07
8.206938e-01  4.106206e-07
8.204747e-01  4.112683e-07
8.203054e-01  4.117644e-07
8.193461e-01  4.147532e-07
8.193195e-01  4.148044e-07
8.193062e-01  4.148558e-07
8.192299e-01  4.150994e-07
8.183104e-01  4.179187e-07
8.181809e-01  4.183193e-07
8.179983e-01  4.189273e-07
8.173112e-01  4.210562e-07
8.170257e-01  4.219290e-07
8.166506e-01  4.231436e-07
8.163120e-01  4.242174e-07
8.158838e-01  4.255568e-07
8.153129e-01  4.273625e-07
8.152996e-01  4.274154e-07
8.147419e-01  4.292157e-07
8.143170e-01  4.305710e-07
8.139651e-01  4.317169e-07
8.136033e-01  4.328661e-07
8.133311e-01  4.337499e-07
8.126307e-01  4.360619e-07
8.124614e-01  4.365879e-07
8.123319e-01  4.370063e-07
8.114755e-01  4.398112e-07
8.113461e-01  4.402464e-07
8.113195e-01  4.403416e-07
8.112929e-01  4.403961e-07
8.103469e-01  4.435515e-07
8.101776e-01  4.440865e-07
8.099585e-01  4.448420e-07
8.093610e-01  4.468816e-07
8.090523e-01  4.479048e-07
8.086374e-01  4.493190e-07
8.083751e-01  4.501809e-07
8.079104e-01  4.517698e-07
8.073793e-01  4.535746e-07
8.072996e-01  4.538411e-07
8.063933e-01  4.569235e-07
8.059784e-01  4.584086e-07
8.056531e-01  4.595151e-07
8.054075e-01  4.603538e-07
8.046539e-01  4.629792e-07
8.045245e-01  4.634230e-07
8.044348e-01  4.637526e-07
8.038008e-01  4.660084e-07
8.033958e-01  4.674075e-07
8.033328e-01  4.676388e-07
8.024631e-01  4.706985e-07
8.022706e-01  4.714409e-07
8.020083e-01  4.723452e-07
8.014905e-01  4.742322e-07
8.011419e-01  4.754356e-07
8.006871e-01  4.770990e-07
8.005045e-01  4.777335e-07
8.000265e-01  4.795235e-07
7.995319e-01  4.814987e-07
7.993660e-01  4.822582e-07
7.988979e-01  4.841849e-07
7.985726e-01  4.855336e-07
7.980149e-01  4.879406e-07
7.977826e-01  4.888764e-07
7.976133e-01  4.895871e-07
7.966672e-01  4.936288e-07
7.966407e-01  4.937508e-07
7.957079e-01  4.977499e-07
7.955519e-01  4.984119e-07
7.953328e-01  4.993834e-07
7.947485e-01  5.019210e-07
7.944365e-01  5.033191e-07
7.939950e-01  5.052674e-07
7.938025e-01  5.061114e-07
7.928431e-01  5.102894e-07
7.926606e-01  5.111576e-07
7.922058e-01  5.131362e-07
7.918971e-01  5.145655e-07
7.913261e-01  5.171804e-07
7.911038e-01  5.181725e-07
7.909477e-01  5.188616e-07
7.900017e-01  5.231448e-07
7.899884e-01  5.232095e-07
7.890423e-01  5.275124e-07
7.888863e-01  5.282793e-07
7.886539e-01  5.293089e-07
7.880963e-01  5.319329e-07
7.877843e-01  5.334146e-07
7.873328e-01  5.355455e-07
7.871502e-01  5.363738e-07
7.866689e-01  5.385833e-07
7.862041e-01  5.408017e-07
7.860083e-01  5.417887e-07
7.855668e-01  5.438859e-07
7.852714e-01  5.453167e-07
7.846871e-01  5.481556e-07
7.844780e-01  5.491561e-07
7.843220e-01  5.498864e-07
7.839204e-01  5.518102e-07
7.834158e-01  5.542888e-07
7.833627e-01  5.545458e-07
7.824431e-01  5.590546e-07
7.822739e-01  5.598672e-07
7.820415e-01  5.610105e-07
7.814971e-01  5.637393e-07
7.811851e-01  5.653096e-07
7.807303e-01  5.675505e-07
7.805643e-01  5.683755e-07
7.800830e-01  5.708578e-07
7.796282e-01  5.731384e-07
7.794224e-01  5.741668e-07
7.789942e-01  5.763893e-07
7.786954e-01  5.779234e-07
7.781112e-01  5.809320e-07
7.779054e-01  5.819923e-07
7.777494e-01  5.826942e-07
7.768797e-01  5.872866e-07
7.768166e-01  5.876317e-07
7.768033e-01  5.876317e-07
7.758938e-01  5.924827e-07
7.757278e-01  5.933439e-07
7.754921e-01  5.945555e-07
7.749610e-01  5.973737e-07
7.746357e-01  5.990933e-07
7.741843e-01  6.014866e-07
7.740282e-01  6.023609e-07
7.735469e-01  6.049169e-07
7.730954e-01  6.073335e-07
7.728863e-01  6.084233e-07
7.724714e-01  6.107217e-07
7.721726e-01  6.123284e-07
7.715884e-01  6.155161e-07
7.713826e-01  6.166395e-07
7.712398e-01  6.174596e-07
7.708514e-01  6.196198e-07
7.703834e-01  6.222490e-07
7.703204e-01  6.225568e-07
7.702938e-01  6.226916e-07
7.694108e-01  6.284338e-07
7.692282e-01  6.297365e-07
7.685179e-01  6.346996e-07
7.681394e-01  6.372944e-07
7.676216e-01  6.410873e-07
7.675817e-01  6.413847e-07
7.670639e-01  6.450426e-07
7.667386e-01  6.474595e-07
7.662208e-01  6.511520e-07
7.660016e-01  6.528044e-07
7.658456e-01  6.538948e-07
7.651187e-01  6.592928e-07
7.649494e-01  6.604145e-07
7.649262e-01  6.606389e-07
7.648730e-01  6.609659e-07
7.640697e-01  6.669786e-07
7.638473e-01  6.685058e-07
7.635253e-01  6.710105e-07
7.631735e-01  6.735246e-07
7.627851e-01  6.765498e-07
7.622938e-01  6.802401e-07
7.621743e-01  6.810604e-07
7.617095e-01  6.845214e-07
7.613975e-01  6.869162e-07
7.608398e-01  6.911543e-07
7.605145e-01  6.936795e-07
7.601128e-01  6.967738e-07
7.598805e-01  6.984554e-07
7.596348e-01  7.004876e-07
7.595818e-01  7.008341e-07
7.595054e-01  7.014192e-07
7.587386e-01  7.072969e-07
7.585195e-01  7.090918e-07
7.581676e-01  7.116607e-07
7.578589e-01  7.141505e-07
7.574573e-01  7.173581e-07
7.569759e-01  7.210035e-07
7.568465e-01  7.220292e-07
7.563917e-01  7.255415e-07
7.560830e-01  7.279899e-07
7.555253e-01  7.323906e-07
7.553295e-01  7.339087e-07
7.552000e-01  7.348849e-07
7.545527e-01  7.400360e-07
7.543170e-01  7.418221e-07
7.542672e-01  7.421891e-07
7.542008e-01  7.427398e-07
7.534373e-01  7.488481e-07
7.532149e-01  7.505629e-07
7.528929e-01  7.531190e-07
7.525411e-01  7.558472e-07
