# SHiP fermiophilic-ALP (BC10) sensitivity, revised phenomenology
# Extracted from arXiv:2501.04525 (Ovchynnikov-Zaporozhchenko, PRD 112 015001),
# parameter-space-ALP-fermion.pdf (solid = revised phenomenology).
# Date: 2026-07-11
# Source y axis is y^2 = (2 v_h/f_GKOZ)^2; converted to 1/f (BNT) = y/v_h,
# v_h = 246 GeV. The visible figure frame covers m_a in [0.6, 2.0] GeV;
# path data beneath the PDF clip (m_a < 0.6 or > 2.0) is kept as drawn but
# was not visually published -- treat it accordingly.
# Format: chains separated by blank line; each row "mass_GeV  invf_GeV^-1"
# chain: 2108 vertices
9.400033e-01  7.681642e-09
9.400033e-01  6.138821e-09
9.393793e-01  6.283560e-09
9.389510e-01  6.382209e-09
9.386921e-01  6.446640e-09
9.386655e-01  6.452020e-09
9.386423e-01  6.459004e-09
9.379552e-01  6.625613e-09
9.373709e-01  6.769683e-09
9.372415e-01  6.803240e-09
9.370855e-01  6.842677e-09
9.365278e-01  6.985419e-09
9.360598e-01  7.108032e-09
9.358141e-01  7.172696e-09
9.355286e-01  7.250036e-09
9.351004e-01  7.364765e-09
9.347518e-01  7.461451e-09
9.343867e-01  7.561274e-09
9.339585e-01  7.681642e-09
9.336764e-01  7.762793e-09
9.334407e-01  7.831471e-09
9.329626e-01  7.969922e-09
9.323917e-01  8.138947e-09
9.322490e-01  8.182328e-09
9.321328e-01  8.219081e-09
9.315353e-01  8.400656e-09
9.308349e-01  8.623744e-09
9.308216e-01  8.623744e-09
9.308216e-01  8.626677e-09
9.301079e-01  8.853574e-09
9.295270e-01  8.980624e-09
9.292548e-01  9.031839e-09
9.287203e-01  9.137129e-09
9.283718e-01  9.202316e-09
9.282158e-01  9.233656e-09
9.277610e-01  9.324278e-09
9.275021e-01  9.376298e-09
9.273594e-01  9.405613e-09
9.269178e-01  9.493521e-09
9.266224e-01  9.553273e-09
9.259983e-01  9.681082e-09
9.257394e-01  9.733890e-09
9.256232e-01  9.759493e-09
9.252714e-01  9.830636e-09
9.248565e-01  9.917614e-09
9.243253e-01  1.003075e-08
9.239768e-01  1.010387e-08
9.232631e-01  1.025742e-08
9.230307e-01  1.030954e-08
9.228083e-01  1.035553e-08
9.222241e-01  1.048532e-08
9.218888e-01  1.055751e-08
9.217328e-01  1.059346e-08
9.213444e-01  1.067960e-08
9.205145e-01  1.086806e-08
9.204349e-01  1.088386e-08
9.203851e-01  1.089699e-08
9.195419e-01  1.105610e-08
9.191535e-01  1.111606e-08
9.185560e-01  1.121059e-08
9.184133e-01  1.123210e-08
9.178689e-01  1.131922e-08
9.175701e-01  1.136585e-08
9.166506e-01  1.151506e-08
9.165710e-01  1.152467e-08
9.165444e-01  1.153037e-08
9.156116e-01  1.168175e-08
9.152863e-01  1.173277e-08
9.146921e-01  1.183218e-08
9.145626e-01  1.185232e-08
9.140183e-01  1.194425e-08
9.136531e-01  1.200346e-08
9.128498e-01  1.213739e-08
9.127336e-01  1.215654e-08
9.126672e-01  1.216669e-08
9.124747e-01  1.220058e-08
9.120863e-01  1.226409e-08
9.116847e-01  1.233098e-08
9.114490e-01  1.237106e-08
9.110074e-01  1.244623e-08
9.107120e-01  1.249712e-08
9.101776e-01  1.258977e-08
9.097128e-01  1.265688e-08
9.092714e-01  1.271334e-08
9.088962e-01  1.276097e-08
9.086606e-01  1.279177e-08
9.076382e-01  1.292690e-08
9.076249e-01  1.292690e-08
9.065859e-01  1.306346e-08
9.063535e-01  1.309499e-08
9.059917e-01  1.314243e-08
9.055502e-01  1.320146e-08
9.050822e-01  1.326198e-08
9.044979e-01  1.333927e-08
9.043585e-01  1.335866e-08
9.038108e-01  1.343153e-08
9.034622e-01  1.347851e-08
9.027486e-01  1.357467e-08
9.025560e-01  1.360113e-08
9.024232e-01  1.361753e-08
9.019187e-01  1.368673e-08
9.018556e-01  1.369646e-08
9.013875e-01  1.375798e-08
9.012846e-01  1.377117e-08
9.011286e-01  1.379290e-08
9.003386e-01  1.389988e-08
9.000265e-01  1.394334e-08
8.995453e-01  1.400078e-08
8.992863e-01  1.403154e-08
8.987552e-01  1.409412e-08
8.982241e-01  1.415918e-08
8.979917e-01  1.418634e-08
8.974971e-01  1.424653e-08
8.971618e-01  1.428622e-08
8.964614e-01  1.437258e-08
8.962390e-01  1.439703e-08
8.960963e-01  1.441439e-08
8.953062e-01  1.451050e-08
8.950340e-01  1.454372e-08
8.949942e-01  1.454867e-08
8.949178e-01  1.455587e-08
8.939718e-01  1.467059e-08
8.937361e-01  1.469872e-08
8.934008e-01  1.473967e-08
8.929062e-01  1.479856e-08
8.924780e-01  1.485079e-08
8.918838e-01  1.492256e-08
8.918440e-01  1.492764e-08
8.917676e-01  1.493687e-08
8.912332e-01  1.500025e-08
8.907818e-01  1.505459e-08
8.903668e-01  1.510352e-08
8.899751e-01  1.515121e-08
8.897029e-01  1.517887e-08
8.888863e-01  1.526308e-08
8.887303e-01  1.527959e-08
8.886141e-01  1.529282e-08
8.878241e-01  1.537434e-08
8.875386e-01  1.540383e-08
8.874855e-01  1.540764e-08
8.874357e-01  1.541526e-08
8.864498e-01  1.551755e-08
8.862406e-01  1.553627e-08
8.859817e-01  1.556463e-08
8.853610e-01  1.562874e-08
8.850091e-01  1.566453e-08
8.845444e-01  1.571204e-08
8.842722e-01  1.574023e-08
8.837643e-01  1.579188e-08
8.831834e-01  1.585105e-08
8.831037e-01  1.586036e-08
8.825328e-01  1.591832e-08
8.820913e-01  1.596216e-08
8.816664e-01  1.600464e-08
8.812880e-01  1.604377e-08
8.810025e-01  1.607256e-08
8.802390e-01  1.615024e-08
8.800564e-01  1.616822e-08
8.799137e-01  1.618172e-08
8.788382e-01  1.627753e-08
8.788116e-01  1.628155e-08
8.787220e-01  1.628960e-08
8.777096e-01  1.637997e-08
8.775934e-01  1.639010e-08
8.774506e-01  1.640379e-08
8.766075e-01  1.647746e-08
8.763618e-01  1.649938e-08
8.760498e-01  1.652541e-08
8.755054e-01  1.657503e-08
8.751303e-01  1.660733e-08
8.746755e-01  1.664947e-08
8.744033e-01  1.667161e-08
8.739121e-01  1.671599e-08
8.733012e-01  1.676825e-08
8.732880e-01  1.676825e-08
8.726805e-01  1.682119e-08
8.721992e-01  1.686388e-08
8.719270e-01  1.688839e-08
8.714589e-01  1.692706e-08
8.710838e-01  1.695953e-08
8.705527e-01  1.700467e-08
8.702407e-01  1.703150e-08
8.699817e-01  1.705204e-08
8.692050e-01  1.711169e-08
8.690224e-01  1.712651e-08
8.688664e-01  1.713657e-08
8.678539e-01  1.721354e-08
8.678041e-01  1.721780e-08
8.677510e-01  1.721993e-08
8.672465e-01  1.725936e-08
8.671934e-01  1.726363e-08
8.666357e-01  1.730315e-08
8.665859e-01  1.730744e-08
8.665195e-01  1.731332e-08
8.653776e-01  1.739754e-08
8.651850e-01  1.740991e-08
8.644050e-01  1.746704e-08
8.641593e-01  1.748594e-08
8.638606e-01  1.750703e-08
8.632896e-01  1.754929e-08
8.629543e-01  1.757263e-08
8.625394e-01  1.760253e-08
8.621743e-01  1.762757e-08
8.617361e-01  1.765974e-08
8.612149e-01  1.769799e-08
8.610722e-01  1.770674e-08
8.605278e-01  1.774510e-08
8.599602e-01  1.778572e-08
8.599070e-01  1.779013e-08
8.593228e-01  1.782921e-08
8.588448e-01  1.786341e-08
8.585958e-01  1.788052e-08
8.581178e-01  1.791316e-08
8.577295e-01  1.794142e-08
8.572880e-01  1.797139e-08
8.569228e-01  1.799529e-08
8.566141e-01  1.801699e-08
8.559768e-01  1.805881e-08
8.557179e-01  1.807835e-08
8.554987e-01  1.809121e-08
8.546822e-01  1.814609e-08
8.545261e-01  1.815674e-08
8.543834e-01  1.816573e-08
8.533842e-01  1.823379e-08
8.533212e-01  1.823605e-08
8.532680e-01  1.824055e-08
8.525544e-01  1.828684e-08
8.521262e-01  1.831569e-08
8.520996e-01  1.831796e-08
8.510506e-01  1.838431e-08
8.509344e-01  1.839284e-08
8.508050e-01  1.839966e-08
8.499353e-01  1.845547e-08
8.497394e-01  1.846632e-08
8.495336e-01  1.847774e-08
8.488066e-01  1.852005e-08
8.485477e-01  1.853321e-08
8.482622e-01  1.855155e-08
8.476913e-01  1.858254e-08
8.473693e-01  1.860093e-08
8.469909e-01  1.862106e-08
8.465760e-01  1.864583e-08
8.461743e-01  1.866832e-08
8.457195e-01  1.869314e-08
8.454473e-01  1.870644e-08
8.449958e-01  1.873132e-08
8.444647e-01  1.876086e-08
8.443319e-01  1.876782e-08
8.438009e-01  1.879743e-08
8.432199e-01  1.882883e-08
8.432067e-01  1.882883e-08
8.426224e-01  1.886086e-08
8.421046e-01  1.888828e-08
8.419618e-01  1.889470e-08
8.414406e-01  1.892217e-08
8.409892e-01  1.894499e-08
8.407037e-01  1.896139e-08
8.402622e-01  1.898426e-08
8.398738e-01  1.900481e-08
8.394589e-01  1.902538e-08
8.390805e-01  1.904361e-08
8.387585e-01  1.906247e-08
8.382141e-01  1.909018e-08
8.379153e-01  1.910375e-08
8.376431e-01  1.911733e-08
8.369693e-01  1.914986e-08
8.367336e-01  1.916407e-08
8.365278e-01  1.917296e-08
8.357378e-01  1.921270e-08
8.355685e-01  1.922161e-08
8.354124e-01  1.922874e-08
8.345062e-01  1.927277e-08
8.343867e-01  1.927753e-08
8.342971e-01  1.928230e-08
8.332714e-01  1.933123e-08
8.332216e-01  1.933362e-08
8.331818e-01  1.933602e-08
8.323386e-01  1.937550e-08
8.320664e-01  1.938927e-08
8.320398e-01  1.938927e-08
8.309643e-01  1.944088e-08
8.308879e-01  1.944329e-08
8.308216e-01  1.944569e-08
8.298490e-01  1.949021e-08
8.297328e-01  1.949744e-08
8.295900e-01  1.950226e-08
8.287336e-01  1.954208e-08
8.285643e-01  1.954934e-08
8.283718e-01  1.955900e-08
8.276316e-01  1.959167e-08
8.273992e-01  1.960137e-08
8.271668e-01  1.961349e-08
8.265162e-01  1.963896e-08
8.262440e-01  1.965354e-08
8.259452e-01  1.966508e-08
8.254008e-01  1.968941e-08
8.250921e-01  1.970341e-08
8.247403e-01  1.971742e-08
8.242988e-01  1.973694e-08
8.239369e-01  1.975097e-08
8.235353e-01  1.976745e-08
8.231967e-01  1.978212e-08
8.227818e-01  1.979864e-08
8.223303e-01  1.981762e-08
8.220813e-01  1.982742e-08
8.216299e-01  1.984642e-08
8.211220e-01  1.986607e-08
8.209793e-01  1.987036e-08
8.204747e-01  1.989249e-08
8.199303e-01  1.991401e-08
8.198639e-01  1.991648e-08
8.193195e-01  1.993803e-08
8.187618e-01  1.995715e-08
8.187386e-01  1.995961e-08
8.181809e-01  1.998122e-08
8.176598e-01  2.000037e-08
8.175436e-01  2.000532e-08
8.170257e-01  2.002449e-08
8.165577e-01  2.004183e-08
8.163519e-01  2.004864e-08
8.158838e-01  2.006600e-08
8.154423e-01  2.008276e-08
8.151701e-01  2.009269e-08
8.147419e-01  2.010946e-08
8.143403e-01  2.012439e-08
8.139784e-01  2.013621e-08
8.136033e-01  2.014866e-08
8.132382e-01  2.016299e-08
8.127967e-01  2.017732e-08
8.124614e-01  2.018980e-08
8.116183e-01  2.022165e-08
8.113195e-01  2.023102e-08
8.110473e-01  2.024103e-08
8.104398e-01  2.026044e-08
8.101776e-01  2.027046e-08
8.099452e-01  2.027798e-08
8.092714e-01  2.030243e-08
8.090523e-01  2.030746e-08
8.088432e-01  2.031436e-08
8.080930e-01  2.034138e-08
8.079104e-01  2.034641e-08
8.077411e-01  2.035395e-08
8.069245e-01  2.038102e-08
8.067817e-01  2.038355e-08
8.066523e-01  2.038795e-08
8.057560e-01  2.041760e-08
8.056531e-01  2.042012e-08
8.055502e-01  2.042517e-08
8.045909e-01  2.045486e-08
8.044614e-01  2.045991e-08
8.034357e-01  2.049155e-08
8.033958e-01  2.049409e-08
8.033593e-01  2.049409e-08
8.022706e-01  2.052896e-08
8.022572e-01  2.052896e-08
8.011419e-01  2.056388e-08
8.011153e-01  2.056388e-08
8.000896e-01  2.059633e-08
8.000265e-01  2.059633e-08
7.999602e-01  2.059823e-08
7.990008e-01  2.063073e-08
7.988979e-01  2.063328e-08
7.988083e-01  2.063583e-08
7.979120e-01  2.066327e-08
7.976531e-01  2.067350e-08
7.968232e-01  2.069842e-08
7.966672e-01  2.070355e-08
7.964979e-01  2.070802e-08
7.957344e-01  2.073044e-08
7.955519e-01  2.073813e-08
7.953461e-01  2.074326e-08
7.946589e-01  2.076315e-08
7.944365e-01  2.077084e-08
7.942041e-01  2.077855e-08
7.935701e-01  2.079590e-08
7.933212e-01  2.080361e-08
7.930623e-01  2.081068e-08
7.924913e-01  2.082613e-08
7.922058e-01  2.083643e-08
7.919203e-01  2.084352e-08
7.914025e-01  2.085898e-08
7.911038e-01  2.086607e-08
7.907818e-01  2.087640e-08
7.903270e-01  2.088931e-08
7.899884e-01  2.089641e-08
7.896398e-01  2.090674e-08
7.892514e-01  2.091902e-08
7.888863e-01  2.092937e-08
7.885112e-01  2.093972e-08
7.881627e-01  2.094684e-08
7.877843e-01  2.095980e-08
7.873693e-01  2.097017e-08
7.870838e-01  2.097730e-08
7.866689e-01  2.098767e-08
7.862406e-01  2.100000e-08
7.860083e-01  2.100520e-08
7.855668e-01  2.101558e-08
7.844780e-01  2.104613e-08
7.839867e-01  2.105850e-08
7.838572e-01  2.106110e-08
7.833759e-01  2.107412e-08
7.828714e-01  2.108650e-08
7.827917e-01  2.108911e-08
7.822739e-01  2.110214e-08
7.817427e-01  2.111455e-08
7.817162e-01  2.111455e-08
7.811851e-01  2.112759e-08
