# Past proton beam-dump exclusions (CHARM et al.) for the fermiophilic ALP,
# revised phenomenology -- EXISTING bound
# Extracted from arXiv:2501.04525 (Ovchynnikov-Zaporozhchenko, PRD 112 015001),
# parameter-space-ALP-fermion.pdf (solid = revised phenomenology).
# Date: 2026-07-11
# Source y axis is y^2 = (2 v_h/f_GKOZ)^2; converted to 1/f (BNT) = y/v_h,
# v_h = 246 GeV. The visible figure frame covers m_a in [0.6, 2.0] GeV;
# path data beneath the PDF clip (m_a < 0.6 or > 2.0) is kept as drawn but
# was not visually published -- treat it accordingly.
# Format: chains separated by blank line; each row "mass_GeV  invf_GeV^-1"
# chain: 2227 vertices
9.400033e-01  6.913253e-08
9.400033e-01  5.654318e-08
9.396780e-01  5.729259e-08
9.393162e-01  5.812912e-08
9.389909e-01  5.889955e-08
9.386921e-01  5.961381e-08
9.383037e-01  6.054221e-08
9.378755e-01  6.158966e-08
9.376166e-01  6.224028e-08
9.373709e-01  6.283560e-08
9.369295e-01  6.397611e-08
9.364382e-01  6.525623e-08
9.362423e-01  6.577053e-08
9.360598e-01  6.623972e-08
9.355552e-01  6.760692e-08
9.349975e-01  6.913253e-08
9.348680e-01  6.949242e-08
9.347518e-01  6.982182e-08
9.341809e-01  7.143270e-08
9.335568e-01  7.324810e-08
9.334938e-01  7.342490e-08
9.334407e-01  7.358620e-08
9.323519e-01  7.685443e-08
9.321328e-01  7.753441e-08
9.321062e-01  7.760871e-08
9.314323e-01  7.973618e-08
9.308216e-01  8.169696e-08
9.307452e-01  8.195238e-08
9.306523e-01  8.223148e-08
9.300581e-01  8.421974e-08
9.295270e-01  8.542830e-08
9.292282e-01  8.602710e-08
9.287203e-01  8.712689e-08
9.283983e-01  8.782168e-08
9.282158e-01  8.821615e-08
9.275950e-01  8.960107e-08
9.275552e-01  8.965369e-08
9.269178e-01  9.110623e-08
9.267253e-01  9.153527e-08
9.263867e-01  9.231370e-08
9.258954e-01  9.344475e-08
9.256232e-01  9.407937e-08
9.250523e-01  9.539406e-08
9.246639e-01  9.634519e-08
9.243253e-01  9.714954e-08
9.242224e-01  9.738404e-08
9.240531e-01  9.780933e-08
9.233925e-01  9.942781e-08
9.230307e-01  1.003323e-07
9.217460e-01  1.035809e-07
9.217328e-01  1.036065e-07
9.217328e-01  1.036321e-07
9.209029e-01  1.057809e-07
9.205776e-01  1.066640e-07
9.204349e-01  1.070008e-07
9.200730e-01  1.079875e-07
9.198008e-01  1.085631e-07
9.191635e-01  1.098016e-07
9.191535e-01  1.098151e-07
9.191535e-01  1.098287e-07
9.191403e-01  1.098423e-07
9.182307e-01  1.116323e-07
9.178689e-01  1.123765e-07
9.173112e-01  1.134935e-07
9.169992e-01  1.141266e-07
9.165710e-01  1.150119e-07
9.163917e-01  1.153857e-07
9.159502e-01  1.163383e-07
9.154822e-01  1.172986e-07
9.152863e-01  1.176800e-07
9.148714e-01  1.185928e-07
9.145626e-01  1.192544e-07
9.143270e-01  1.197456e-07
9.140183e-01  1.204397e-07
9.136398e-01  1.212427e-07
9.127336e-01  1.232336e-07
9.127336e-01  1.232641e-07
9.120863e-01  1.246857e-07
9.118141e-01  1.253038e-07
9.114490e-01  1.261236e-07
9.109046e-01  1.273969e-07
9.106058e-01  1.280878e-07
9.101776e-01  1.290814e-07
9.099850e-01  1.295049e-07
9.094141e-01  1.306023e-07
9.088962e-01  1.315706e-07
9.086606e-01  1.320146e-07
9.080531e-01  1.331661e-07
9.076249e-01  1.340043e-07
9.070938e-01  1.350437e-07
9.067950e-01  1.356335e-07
9.063535e-01  1.365040e-07
9.061211e-01  1.369477e-07
9.054207e-01  1.383773e-07
9.051618e-01  1.388829e-07
9.050822e-01  1.390504e-07
9.049261e-01  1.393516e-07
9.042025e-01  1.408411e-07
9.038108e-01  1.416224e-07
9.032432e-01  1.428269e-07
9.030738e-01  1.431893e-07
9.025560e-01  1.442643e-07
9.022838e-01  1.448406e-07
9.014540e-01  1.466016e-07
9.012846e-01  1.469736e-07
9.012050e-01  1.471327e-07
9.003618e-01  1.489537e-07
9.000265e-01  1.497107e-07
8.993892e-01  1.508719e-07
8.993892e-01  1.508906e-07
8.993793e-01  1.509093e-07
8.987552e-01  1.520610e-07
8.983934e-01  1.527440e-07
8.976797e-01  1.540764e-07
8.974971e-01  1.544101e-07
8.973942e-01  1.546154e-07
8.970191e-01  1.553291e-07
8.968764e-01  1.556270e-07
8.964083e-01  1.565146e-07
8.962390e-01  1.568342e-07
8.959535e-01  1.573829e-07
8.954224e-01  1.584322e-07
8.949942e-01  1.592767e-07
8.944233e-01  1.603783e-07
8.942440e-01  1.607455e-07
8.937361e-01  1.617572e-07
8.934373e-01  1.623632e-07
8.925311e-01  1.642002e-07
8.924780e-01  1.643169e-07
8.924548e-01  1.643576e-07
8.923486e-01  1.645762e-07
8.912332e-01  1.668759e-07
8.908182e-01  1.677447e-07
8.904830e-01  1.684565e-07
8.899751e-01  1.695167e-07
8.894838e-01  1.704413e-07
8.891452e-01  1.710800e-07
8.887303e-01  1.718643e-07
8.884847e-01  1.723430e-07
8.875121e-01  1.742229e-07
8.874755e-01  1.742875e-07
8.874357e-01  1.743737e-07
8.868647e-01  1.754712e-07
8.864763e-01  1.762539e-07
8.862406e-01  1.767066e-07
8.858788e-01  1.774509e-07
8.854772e-01  1.782259e-07
8.850091e-01  1.791759e-07
8.844780e-01  1.802368e-07
8.842456e-01  1.807165e-07
8.837643e-01  1.817022e-07
8.834788e-01  1.822703e-07
8.826124e-01  1.840876e-07
8.825328e-01  1.842413e-07
8.824830e-01  1.843552e-07
8.822871e-01  1.847545e-07
8.812880e-01  1.868390e-07
8.809793e-01  1.875159e-07
8.804847e-01  1.885387e-07
8.800564e-01  1.894733e-07
8.794855e-01  1.906246e-07
8.793560e-01  1.908545e-07
8.788249e-01  1.919371e-07
8.777759e-01  1.940366e-07
8.775934e-01  1.944088e-07
8.774772e-01  1.946673e-07
8.769726e-01  1.956808e-07
8.769328e-01  1.957533e-07
8.764647e-01  1.967238e-07
8.763618e-01  1.969367e-07
8.761925e-01  1.972718e-07
8.754655e-01  1.988019e-07
8.751303e-01  1.994975e-07
8.746125e-01  2.005856e-07
8.744564e-01  2.009269e-07
8.739121e-01  2.020915e-07
8.734573e-01  2.030494e-07
8.730423e-01  2.039552e-07
8.726805e-01  2.047193e-07
8.724581e-01  2.052135e-07
8.714722e-01  2.074070e-07
8.714589e-01  2.074070e-07
8.704631e-01  2.096238e-07
8.702407e-01  2.101298e-07
8.698921e-01  2.108910e-07
8.694639e-01  2.117859e-07
8.690224e-01  2.127109e-07
8.686340e-01  2.135079e-07
8.684515e-01  2.138909e-07
8.683485e-01  2.140960e-07
8.678041e-01  2.152638e-07
8.674390e-01  2.160235e-07
8.668182e-01  2.173563e-07
8.665859e-01  2.178540e-07
8.664299e-01  2.181707e-07
8.657029e-01  2.197543e-07
8.654307e-01  2.203392e-07
8.653776e-01  2.204754e-07
8.652880e-01  2.206595e-07
8.644315e-01  2.225567e-07
8.641593e-01  2.231491e-07
8.637577e-01  2.240405e-07
8.634191e-01  2.248035e-07
8.629543e-01  2.258621e-07
8.624232e-01  2.270379e-07
8.622274e-01  2.274734e-07
8.617361e-01  2.285799e-07
8.614241e-01  2.293229e-07
8.606971e-01  2.309874e-07
8.605278e-01  2.313804e-07
8.604249e-01  2.316309e-07
8.599203e-01  2.328367e-07
8.593228e-01  2.342225e-07
8.591668e-01  2.345847e-07
8.584299e-01  2.363532e-07
8.576498e-01  2.382160e-07
8.574440e-01  2.387319e-07
8.570655e-01  2.396560e-07
8.569228e-01  2.400044e-07
8.564448e-01  2.411644e-07
8.561195e-01  2.419782e-07
8.557179e-01  2.429750e-07
8.554589e-01  2.436217e-07
8.546025e-01  2.457771e-07
8.545261e-01  2.459899e-07
8.544730e-01  2.461039e-07
8.542407e-01  2.466980e-07
8.534872e-01  2.486115e-07
8.533212e-01  2.490345e-07
8.530722e-01  2.496665e-07
8.525012e-01  2.511757e-07
8.521262e-01  2.521480e-07
8.515552e-01  2.536801e-07
8.515187e-01  2.537664e-07
8.509344e-01  2.553083e-07
8.505328e-01  2.563599e-07
8.500382e-01  2.576945e-07
8.497394e-01  2.584682e-07
8.495469e-01  2.589720e-07
8.486373e-01  2.613844e-07
8.485610e-01  2.615460e-07
8.485477e-01  2.615783e-07
8.485344e-01  2.616431e-07
8.475751e-01  2.641456e-07
8.473693e-01  2.647259e-07
8.470307e-01  2.655864e-07
8.465892e-01  2.667793e-07
8.461743e-01  2.678700e-07
8.456166e-01  2.694309e-07
8.455402e-01  2.696559e-07
8.449958e-01  2.711602e-07
8.446307e-01  2.721425e-07
8.440365e-01  2.737876e-07
8.438009e-01  2.744570e-07
8.436448e-01  2.748815e-07
8.432199e-01  2.761161e-07
8.429211e-01  2.769537e-07
8.426722e-01  2.776222e-07
8.426224e-01  2.777852e-07
8.425427e-01  2.779914e-07
8.417029e-01  2.804509e-07
8.414406e-01  2.811625e-07
8.410523e-01  2.823207e-07
8.407303e-01  2.832734e-07
8.402622e-01  2.846425e-07
8.397577e-01  2.861597e-07
8.395618e-01  2.867175e-07
8.390805e-01  2.881388e-07
8.387851e-01  2.890397e-07
8.380713e-01  2.912187e-07
8.379153e-01  2.917051e-07
8.378125e-01  2.919938e-07
8.373577e-01  2.934413e-07
8.368399e-01  2.950054e-07
8.367336e-01  2.953247e-07
8.365677e-01  2.958546e-07
8.358805e-01  2.980113e-07
8.355685e-01  2.989800e-07
8.350738e-01  3.005364e-07
8.349212e-01  3.010478e-07
8.343867e-01  3.027178e-07
8.339486e-01  3.041904e-07
8.335834e-01  3.054056e-07
8.332216e-01  3.065878e-07
8.329892e-01  3.073278e-07
8.320929e-01  3.103057e-07
8.320531e-01  3.104591e-07
8.320265e-01  3.105360e-07
8.319237e-01  3.109105e-07
8.314689e-01  3.123746e-07
8.310805e-01  3.137388e-07
8.308879e-01  3.143795e-07
8.306025e-01  3.153721e-07
8.301212e-01  3.170531e-07
8.297328e-01  3.184279e-07
8.291751e-01  3.203925e-07
8.291120e-01  3.205906e-07
8.285643e-01  3.225286e-07
8.282158e-01  3.237371e-07
8.276183e-01  3.258954e-07
8.273992e-01  3.266821e-07
8.272697e-01  3.271569e-07
8.266722e-01  3.293789e-07
8.262440e-01  3.309708e-07
