# BaBar excluded region
# Extracted from arXiv:2305.01715 (FIPs 2022 report), ALPs_fermions_fips2022_text_logo.pdf
# Date: 2026-07-12
# NOTE: pre-GKOZ phenomenology (see module docstring).
# Source y axis g_Y = 2 v_h/f; stored as 1/f (BNT) = g_Y/246.
# Format: chains separated by blank line; each row "mass_GeV  invf_GeV^-1"
# chain: 33 vertices
2.175098e-01  4.065312e-03
2.162787e-01  4.311410e-04
2.652483e-01  3.916940e-04
3.060787e-01  4.109579e-04
3.462257e-01  5.223189e-04
3.755371e-01  4.311410e-04
4.247880e-01  5.480071e-04
4.701978e-01  4.311410e-04
5.538471e-01  4.745296e-04
6.387968e-01  4.109579e-04
6.936361e-01  5.223189e-04
7.378562e-01  6.328207e-04
7.839399e-01  4.745296e-04
8.867521e-01  6.031568e-04
9.616907e-01  4.745296e-04
1.133197e+00  6.031568e-04
1.206165e+00  9.288424e-04
1.334651e+00  6.328207e-04
1.389645e+00  5.223189e-04
1.604150e+00  6.328207e-04
1.850653e+00  6.031568e-04
1.926464e+00  4.522857e-04
2.225445e+00  7.307605e-04
2.463383e+00  5.749210e-04
2.621074e+00  7.666498e-04
3.023796e+00  7.307605e-04
3.092992e+00  1.732887e-03
3.490549e+00  8.853021e-04
3.798984e+00  2.799652e-03
4.042671e+00  3.916908e-03
4.474349e+00  2.937342e-03
5.488865e+00  2.937342e-03
5.887256e+00  4.065312e-03
