# CHARM high-mass islet (~1 GeV) -- existing exclusion
# Extracted from arXiv:2305.01715 (FIPs 2022 report), ALPs_fermions_fips2022_text_logo.pdf
# Date: 2026-07-12
# NOTE: pre-GKOZ phenomenology (see module docstring).
# Source y axis g_Y = 2 v_h/f; stored as 1/f (BNT) = g_Y/246.
# Format: chains separated by blank line; each row "mass_GeV  invf_GeV^-1"
# chain: 258 vertices
9.862807e-01  3.530287e-07
9.885496e-01  3.095679e-07
9.908243e-01  2.797356e-07
9.931042e-01  2.584616e-07
9.954038e-01  2.515049e-07
9.976943e-01  2.501231e-07
9.999900e-01  2.487651e-07
1.002306e+00  2.474147e-07
1.004612e+00  2.460713e-07
1.006923e+00  2.447515e-07
1.009240e+00  2.434389e-07
1.011577e+00  2.421489e-07
1.013905e+00  2.408660e-07
1.016238e+00  2.399356e-07
1.018591e+00  2.392599e-07
1.020935e+00  2.386016e-07
1.023284e+00  2.379454e-07
1.025638e+00  2.372753e-07
1.028014e+00  2.366225e-07
1.030379e+00  2.359561e-07
1.032749e+00  2.353071e-07
1.035142e+00  2.346597e-07
1.037523e+00  2.343830e-07
1.039910e+00  2.341218e-07
1.042319e+00  2.338607e-07
1.044717e+00  2.335849e-07
1.047120e+00  2.333247e-07
1.049530e+00  2.330493e-07
1.051960e+00  2.327742e-07
1.054381e+00  2.325149e-07
1.056807e+00  2.323016e-07
1.059238e+00  2.321644e-07
1.061691e+00  2.320123e-07
1.064134e+00  2.318754e-07
1.066599e+00  2.317385e-07
1.069036e+00  2.315866e-07
1.071512e+00  2.314499e-07
1.073978e+00  2.312980e-07
1.076465e+00  2.311617e-07
1.078942e+00  2.310403e-07
1.081424e+00  2.309192e-07
1.083929e+00  2.308131e-07
1.086423e+00  2.306921e-07
1.088923e+00  2.305712e-07
1.091428e+00  2.304500e-07
1.093956e+00  2.303292e-07
1.096473e+00  2.302085e-07
1.099012e+00  2.301179e-07
1.101541e+00  2.300726e-07
1.104075e+00  2.300272e-07
1.106615e+00  2.299821e-07
1.109162e+00  2.299368e-07
1.111730e+00  2.298917e-07
1.114288e+00  2.298464e-07
1.116852e+00  2.298010e-07
1.119439e+00  2.297560e-07
1.122014e+00  2.296656e-07
1.124596e+00  2.295751e-07
1.127201e+00  2.294699e-07
1.129794e+00  2.293794e-07
1.132393e+00  2.292743e-07
1.134999e+00  2.291839e-07
1.137627e+00  2.290789e-07
1.140245e+00  2.289886e-07
1.142869e+00  2.288985e-07
1.145498e+00  2.289437e-07
1.148151e+00  2.289737e-07
1.150793e+00  2.290037e-07
1.153440e+00  2.290337e-07
1.156112e+00  2.290638e-07
1.158772e+00  2.290938e-07
1.161438e+00  2.291238e-07
1.164128e+00  2.291690e-07
1.166806e+00  2.292140e-07
1.169491e+00  2.292892e-07
1.172200e+00  2.293493e-07
1.174897e+00  2.294246e-07
1.177599e+00  2.295000e-07
1.180309e+00  2.295751e-07
1.183043e+00  2.296353e-07
1.185764e+00  2.297107e-07
1.188492e+00  2.297861e-07
1.191227e+00  2.299669e-07
1.193986e+00  2.301481e-07
1.196733e+00  2.303292e-07
1.199487e+00  2.305107e-07
1.202247e+00  2.306921e-07
1.205031e+00  2.308736e-07
1.207803e+00  2.310706e-07
1.210601e+00  2.312527e-07
1.213386e+00  2.315106e-07
1.216178e+00  2.318296e-07
1.218976e+00  2.321644e-07
1.221799e+00  2.324844e-07
1.224611e+00  2.328201e-07
1.227428e+00  2.331715e-07
1.230271e+00  2.335083e-07
1.233102e+00  2.338607e-07
1.235938e+00  2.342139e-07
1.238801e+00  2.346597e-07
1.241652e+00  2.351065e-07
1.244508e+00  2.355696e-07
1.247371e+00  2.360491e-07
1.250261e+00  2.365140e-07
1.253137e+00  2.370109e-07
1.256020e+00  2.374931e-07
1.258929e+00  2.379923e-07
1.261826e+00  2.385078e-07
1.264729e+00  2.390560e-07
1.267639e+00  2.396055e-07
1.270555e+00  2.401718e-07
1.273498e+00  2.407395e-07
1.276428e+00  2.413087e-07
1.279365e+00  2.419108e-07
1.282328e+00  2.425144e-07
1.285278e+00  2.431197e-07
1.288236e+00  2.438542e-07
1.291219e+00  2.446552e-07
1.294190e+00  2.454589e-07
1.297168e+00  2.462652e-07
1.300172e+00  2.471066e-07
1.303163e+00  2.479670e-07
1.306162e+00  2.488468e-07
1.309167e+00  2.497462e-07
1.312199e+00  2.506815e-07
1.315218e+00  2.517029e-07
1.318244e+00  2.527287e-07
1.321297e+00  2.537917e-07
1.324337e+00  2.548926e-07
1.327384e+00  2.559985e-07
1.327384e+00  2.578859e-07
1.324337e+00  2.612910e-07
1.321297e+00  2.645847e-07
1.318244e+00  2.679728e-07
1.315218e+00  2.716714e-07
1.312199e+00  2.757464e-07
1.309167e+00  2.800844e-07
1.306162e+00  2.848270e-07
1.303163e+00  2.901441e-07
1.300172e+00  2.961232e-07
1.297168e+00  3.028999e-07
1.294190e+00  3.106460e-07
1.291219e+00  3.195735e-07
1.288236e+00  3.299676e-07
1.285278e+00  3.419534e-07
1.282328e+00  3.548160e-07
1.279365e+00  3.630078e-07
1.276428e+00  3.644868e-07
1.273498e+00  3.659719e-07
1.270555e+00  3.675116e-07
1.267639e+00  3.690574e-07
1.264729e+00  3.706828e-07
1.261826e+00  3.722419e-07
1.258929e+00  3.738076e-07
1.256020e+00  3.753802e-07
1.253137e+00  3.769840e-07
1.250261e+00  3.786193e-07
1.247371e+00  3.803115e-07
1.244508e+00  3.820365e-07
1.241652e+00  3.838197e-07
1.238801e+00  3.856367e-07
1.235938e+00  3.875130e-07
1.233102e+00  3.892707e-07
1.230271e+00  3.910876e-07
1.227428e+00  3.929645e-07
1.224611e+00  3.948762e-07
1.221799e+00  3.968237e-07
1.218976e+00  3.988586e-07
1.216178e+00  4.009309e-07
1.213386e+00  4.030664e-07
1.210601e+00  4.050275e-07
1.207803e+00  4.068647e-07
1.205031e+00  4.087101e-07
1.202247e+00  4.106178e-07
1.199487e+00  4.125616e-07
1.196733e+00  4.145685e-07
1.193986e+00  4.166403e-07
1.191227e+00  4.187496e-07
