# K+ -> pi+ + inv (based on E949 data), two lobes around the pi+ veto gap -- existing exclusion
# Extracted from arXiv:2305.01715 (FIPs 2022 report), ALPs_fermions_fips2022_text_logo.pdf
# Date: 2026-07-12
# NOTE: pre-GKOZ phenomenology (see module docstring).
# Source y axis g_Y = 2 v_h/f; stored as 1/f (BNT) = g_Y/246.
# Format: chains separated by blank line; each row "mass_GeV  invf_GeV^-1"
# chain: 106 vertices
9.999958e-03  4.065312e-03
9.999958e-03  9.991418e-07
1.099985e-02  9.963928e-07
1.299980e-02  9.935867e-07
1.499996e-02  9.879983e-07
1.699992e-02  9.823773e-07
1.899977e-02  9.769154e-07
2.099973e-02  9.714207e-07
2.299960e-02  9.659569e-07
2.499989e-02  9.606498e-07
2.699994e-02  9.498110e-07
2.899988e-02  9.391566e-07
3.099984e-02  9.313048e-07
3.299953e-02  9.235196e-07
3.499950e-02  9.158591e-07
3.699950e-02  9.082621e-07
3.899933e-02  9.007281e-07
4.099962e-02  8.958968e-07
4.299959e-02  8.885232e-07
4.499984e-02  8.812112e-07
4.699950e-02  8.765416e-07
4.899957e-02  8.693847e-07
5.099971e-02  8.647786e-07
5.299967e-02  8.577736e-07
5.499913e-02  8.508261e-07
5.699926e-02  8.415027e-07
5.899926e-02  8.347413e-07
6.099980e-02  8.185312e-07
6.299914e-02  7.934759e-07
6.499979e-02  7.781177e-07
6.699885e-02  7.719166e-07
6.899981e-02  7.680275e-07
7.099914e-02  7.641083e-07
7.299900e-02  7.602593e-07
7.499961e-02  7.564789e-07
7.699921e-02  7.526684e-07
7.899972e-02  7.489752e-07
8.099972e-02  7.388265e-07
8.299912e-02  7.247169e-07
8.499938e-02  7.128836e-07
8.699950e-02  6.952452e-07
8.899867e-02  6.800465e-07
9.099880e-02  6.709205e-07
9.299943e-02  6.638727e-07
9.499861e-02  6.568995e-07
9.699889e-02  6.709641e-07
9.899850e-02  6.853299e-07
1.009988e-01  7.122297e-07
1.029983e-01  7.488276e-07
1.049984e-01  7.872548e-07
1.069994e-01  8.617772e-07
1.089982e-01  9.406362e-07
1.109984e-01  1.075229e-06
1.129987e-01  1.290797e-06
1.149995e-01  1.527385e-06
1.169996e-01  1.871144e-06
1.189998e-01  2.298745e-06
1.209986e-01  3.044110e-06
1.229987e-01  4.370699e-06
1.229987e-01  4.480635e-04
1.209986e-01  4.828809e-04
1.189998e-01  5.139591e-04
1.169996e-01  5.422153e-04
