# Union of the kaon-sector bounds (K+ -> pi+ X low part, E949 environs) and the CHARM main region -- existing exclusion
# Extracted from arXiv:2305.01715 (FIPs 2022 report), ALPs_fermions_fips2022_text_logo.pdf
# Date: 2026-07-12
# NOTE: pre-GKOZ phenomenology (see module docstring).
# Source y axis g_Y = 2 v_h/f; stored as 1/f (BNT) = g_Y/246.
# Format: chains separated by blank line; each row "mass_GeV  invf_GeV^-1"
# chain: 1305 vertices
6.239504e-02  4.065312e-03
1.000000e-02  2.751818e-05
1.760383e-02  2.050941e-05
3.098899e-02  1.515797e-05
5.455246e-02  1.083006e-05
9.603322e-02  7.225273e-06
1.690552e-01  4.366690e-06
1.711672e-01  4.310350e-06
1.732816e-01  4.255295e-06
1.753950e-01  4.201767e-06
1.775069e-01  4.149187e-06
1.796220e-01  4.098072e-06
1.817343e-01  4.048381e-06
1.838459e-01  3.999557e-06
1.859619e-01  3.952100e-06
1.880734e-01  3.903668e-06
1.901881e-01  3.838921e-06
1.923001e-01  3.775993e-06
1.944144e-01  3.714584e-06
1.965278e-01  3.654893e-06
1.986397e-01  3.596868e-06
2.007525e-01  3.540227e-06
2.028660e-01  3.485166e-06
2.049796e-01  3.431411e-06
2.070927e-01  3.379151e-06
2.092052e-01  2.716690e-06
2.113195e-01  1.333917e-06
2.123225e-01  7.081309e-07
2.128143e-01  6.958835e-07
2.133039e-01  6.838035e-07
2.137946e-01  6.718450e-07
2.142866e-01  6.600521e-07
2.147829e-01  6.483812e-07
2.152770e-01  6.368753e-07
2.157724e-01  6.255321e-07
2.162721e-01  6.143105e-07
2.167696e-01  6.032111e-07
2.172684e-01  5.922737e-07
2.177683e-01  5.814578e-07
2.182726e-01  5.733914e-07
2.187749e-01  5.686351e-07
2.192782e-01  5.639183e-07
2.197861e-01  5.592407e-07
2.202918e-01  5.545652e-07
2.207987e-01  5.499288e-07
2.213066e-01  5.452957e-07
2.218192e-01  5.406664e-07
2.223296e-01  5.360759e-07
2.228445e-01  5.329210e-07
2.233572e-01  5.299580e-07
2.238711e-01  5.269772e-07
2.243862e-01  5.240473e-07
2.249024e-01  5.210998e-07
2.254234e-01  5.181688e-07
2.259420e-01  5.152209e-07
2.264618e-01  5.123230e-07
2.269864e-01  5.096750e-07
2.275086e-01  5.074401e-07
2.280320e-01  5.052485e-07
2.285602e-01  5.030331e-07
2.290860e-01  5.008274e-07
2.296130e-01  4.986313e-07
2.301414e-01  4.964449e-07
2.306744e-01  4.943008e-07
2.312052e-01  4.921009e-07
2.317371e-01  4.902325e-07
2.322738e-01  4.884352e-07
2.328083e-01  4.866445e-07
2.333438e-01  4.848604e-07
2.338843e-01  4.830829e-07
2.344225e-01  4.813118e-07
2.349618e-01  4.795473e-07
2.355024e-01  4.777892e-07
2.360479e-01  4.760690e-07
2.365909e-01  4.746038e-07
2.371353e-01  4.731119e-07
2.376845e-01  4.716558e-07
2.382313e-01  4.701731e-07
2.387795e-01  4.687261e-07
2.393325e-01  4.672526e-07
2.398832e-01  4.657838e-07
2.404351e-01  4.643201e-07
2.409882e-01  4.629819e-07
2.415465e-01  4.616780e-07
2.421022e-01  4.603778e-07
2.426591e-01  4.590813e-07
2.432175e-01  4.577884e-07
2.437808e-01  4.564991e-07
2.443416e-01  4.552135e-07
2.449039e-01  4.539315e-07
2.454711e-01  4.526532e-07
2.460358e-01  4.514968e-07
2.466019e-01  4.503433e-07
2.471692e-01  4.491631e-07
2.477417e-01  4.480156e-07
2.483118e-01  4.468715e-07
2.488830e-01  4.457299e-07
2.494594e-01  4.445618e-07
2.500335e-01  4.434261e-07
2.506088e-01  4.423224e-07
2.511892e-01  4.412794e-07
2.517671e-01  4.402384e-07
2.523464e-01  4.391713e-07
2.529269e-01  4.381357e-07
2.535127e-01  4.370737e-07
2.540961e-01  4.360147e-07
2.546806e-01  4.349861e-07
2.552705e-01  4.339317e-07
2.558579e-01  4.329652e-07
2.564465e-01  4.320009e-07
2.570404e-01  4.310667e-07
2.576319e-01  4.301066e-07
2.582246e-01  4.291487e-07
2.588186e-01  4.281928e-07
2.594182e-01  4.272387e-07
2.600150e-01  4.262871e-07
2.606132e-01  4.253654e-07
2.612128e-01  4.244736e-07
2.618178e-01  4.235837e-07
2.624203e-01  4.226957e-07
2.630240e-01  4.218095e-07
2.636332e-01  4.209252e-07
2.642398e-01  4.200428e-07
2.648477e-01  4.191618e-07
2.654611e-01  4.182558e-07
2.660719e-01  4.174337e-07
2.666840e-01  4.166132e-07
2.672977e-01  4.157939e-07
2.679168e-01  4.149766e-07
2.685331e-01  4.141340e-07
2.691510e-01  4.133199e-07
2.697744e-01  4.124803e-07
2.703950e-01  4.116695e-07
2.710172e-01  4.108603e-07
2.716407e-01  4.101065e-07
2.722700e-01  4.093540e-07
2.728963e-01  4.086030e-07
2.735241e-01  4.078264e-07
2.741535e-01  4.070781e-07
2.747885e-01  4.063048e-07
2.754206e-01  4.055593e-07
2.760587e-01  4.047885e-07
2.766937e-01  4.040458e-07
2.773303e-01  4.033311e-07
2.779684e-01  4.025911e-07
2.786122e-01  4.018524e-07
2.792532e-01  4.011151e-07
2.798957e-01  4.003792e-07
2.805397e-01  3.996182e-07
2.811894e-01  3.988850e-07
2.818364e-01  3.981531e-07
2.824849e-01  3.974747e-07
2.831391e-01  3.967975e-07
2.837906e-01  3.961214e-07
2.844436e-01  3.954207e-07
2.851024e-01  3.947470e-07
2.857583e-01  3.940743e-07
2.864158e-01  3.933773e-07
2.870747e-01  3.927070e-07
2.877396e-01  3.920379e-07
2.884017e-01  3.913441e-07
2.890652e-01  3.906773e-07
2.897347e-01  3.899862e-07
2.904013e-01  3.892960e-07
2.910694e-01  3.886327e-07
2.917436e-01  3.879453e-07
2.924149e-01  3.872587e-07
2.930876e-01  3.865737e-07
2.937618e-01  3.859150e-07
2.944423e-01  3.852575e-07
2.951197e-01  3.845760e-07
2.957988e-01  3.839207e-07
2.964793e-01  3.832666e-07
2.971660e-01  3.825883e-07
2.978497e-01  3.819115e-07
2.985350e-01  3.812608e-07
2.992264e-01  3.806112e-07
2.999149e-01  3.800125e-07
3.006049e-01  3.793900e-07
3.013011e-01  3.787933e-07
3.019944e-01  3.781725e-07
3.026891e-01  3.775780e-07
3.033856e-01  3.769591e-07
3.040883e-01  3.763662e-07
3.047879e-01  3.757497e-07
3.054892e-01  3.751587e-07
3.061967e-01  3.745685e-07
3.069013e-01  3.739793e-07
3.076073e-01  3.733911e-07
3.083198e-01  3.728041e-07
3.090292e-01  3.722177e-07
3.097402e-01  3.716322e-07
3.104527e-01  3.710476e-07
3.111719e-01  3.704640e-07
3.118878e-01  3.699057e-07
3.126053e-01  3.693478e-07
3.133294e-01  3.687912e-07
3.140503e-01  3.682354e-07
3.147728e-01  3.676801e-07
3.154970e-01  3.671260e-07
3.162278e-01  3.665727e-07
3.169553e-01  3.660199e-07
3.176846e-01  3.654445e-07
3.184204e-01  3.648697e-07
3.191529e-01  3.643194e-07
3.198873e-01  3.637467e-07
3.206233e-01  3.631506e-07
3.213659e-01  3.625793e-07
3.221052e-01  3.620329e-07
3.228464e-01  3.615108e-07
3.235941e-01  3.609895e-07
3.243386e-01  3.604927e-07
3.250849e-01  3.599966e-07
3.258378e-01  3.595012e-07
3.265874e-01  3.590062e-07
3.273389e-01  3.585121e-07
3.280919e-01  3.580188e-07
3.288518e-01  3.575261e-07
3.296085e-01  3.570337e-07
3.303668e-01  3.565424e-07
3.311268e-01  3.560517e-07
3.318939e-01  3.555618e-07
3.326574e-01  3.550721e-07
3.334229e-01  3.546069e-07
3.341951e-01  3.541186e-07
3.349639e-01  3.536313e-07
3.357347e-01  3.531446e-07
3.365123e-01  3.526586e-07
3.372865e-01  3.521962e-07
3.380625e-01  3.517345e-07
3.388403e-01  3.512733e-07
3.396251e-01  3.508130e-07
3.404065e-01  3.503531e-07
3.411897e-01  3.498937e-07
3.419747e-01  3.494353e-07
3.427668e-01  3.489771e-07
3.435553e-01  3.485195e-07
3.443458e-01  3.480626e-07
3.451434e-01  3.476066e-07
3.459376e-01  3.471734e-07
3.467334e-01  3.467185e-07
3.475365e-01  3.462639e-07
3.483362e-01  3.458099e-07
3.491375e-01  3.453568e-07
3.499407e-01  3.449040e-07
3.507514e-01  3.444745e-07
3.515583e-01  3.440680e-07
3.523671e-01  3.436395e-07
3.531833e-01  3.432116e-07
3.539958e-01  3.427616e-07
3.548102e-01  3.423348e-07
3.556266e-01  3.419086e-07
3.564503e-01  3.414825e-07
3.572703e-01  3.410572e-07
3.580924e-01  3.406101e-07
3.589218e-01  3.401859e-07
3.597475e-01  3.397402e-07
3.605753e-01  3.393169e-07
3.614104e-01  3.388723e-07
3.622420e-01  3.384280e-07
3.630754e-01  3.379842e-07
3.639108e-01  3.375634e-07
3.647537e-01  3.371430e-07
3.655928e-01  3.367232e-07
3.664340e-01  3.362817e-07
3.672827e-01  3.358630e-07
3.681277e-01  3.354448e-07
3.689747e-01  3.350267e-07
3.698236e-01  3.346096e-07
3.706801e-01  3.341929e-07
3.715330e-01  3.337768e-07
3.723878e-01  3.333612e-07
3.732503e-01  3.329457e-07
3.741091e-01  3.325531e-07
3.749698e-01  3.321390e-07
3.758326e-01  3.317251e-07
3.767030e-01  3.313339e-07
3.775696e-01  3.309213e-07
3.784384e-01  3.305089e-07
3.793149e-01  3.301192e-07
3.801876e-01  3.297296e-07
3.810624e-01  3.293622e-07
3.819449e-01  3.289735e-07
3.828236e-01  3.286069e-07
3.837045e-01  3.282194e-07
3.845872e-01  3.278320e-07
3.854780e-01  3.274667e-07
3.863650e-01  3.270803e-07
3.872538e-01  3.267158e-07
3.881507e-01  3.263302e-07
3.890438e-01  3.259666e-07
3.899390e-01  3.256034e-07
3.908361e-01  3.252194e-07
3.917413e-01  3.248567e-07
3.926427e-01  3.244947e-07
3.935460e-01  3.241121e-07
3.944575e-01  3.237296e-07
3.953651e-01  3.233475e-07
3.962747e-01  3.229662e-07
3.971925e-01  3.225850e-07
3.981064e-01  3.221833e-07
3.990223e-01  3.218031e-07
3.999403e-01  3.214236e-07
4.008668e-01  3.210230e-07
4.017890e-01  3.206445e-07
4.027133e-01  3.202872e-07
4.036399e-01  3.199303e-07
4.045748e-01  3.195735e-07
4.055055e-01  3.192174e-07
4.064386e-01  3.188410e-07
4.073800e-01  3.184857e-07
4.083173e-01  3.181305e-07
4.092567e-01  3.177761e-07
4.102046e-01  3.174013e-07
4.111485e-01  3.170477e-07
4.120943e-01  3.166944e-07
4.130488e-01  3.163206e-07
4.139992e-01  3.159682e-07
4.149516e-01  3.155953e-07
4.159064e-01  3.152228e-07
4.168697e-01  3.148715e-07
4.178287e-01  3.145002e-07
4.187901e-01  3.141498e-07
4.197601e-01  3.138202e-07
4.207258e-01  3.134705e-07
4.216939e-01  3.131212e-07
4.226640e-01  3.127723e-07
