# LHCb B+ -> K+ mu mu excluded (FIPs 2022 version; cf. the GKOZ recast in ../lhcb_bkmumu_excluded.dat)
# Extracted from arXiv:2305.01715 (FIPs 2022 report), ALPs_fermions_fips2022_text_logo.pdf
# Date: 2026-07-12
# NOTE: pre-GKOZ phenomenology (see module docstring).
# Source y axis g_Y = 2 v_h/f; stored as 1/f (BNT) = g_Y/246.
# Format: chains separated by blank line; each row "mass_GeV  invf_GeV^-1"
# chain: 1238 vertices
2.139531e-01  4.065312e-03
2.142867e-01  7.565724e-06
2.147830e-01  7.358222e-06
2.152771e-01  7.186518e-06
2.157725e-01  7.039574e-06
2.162722e-01  6.911469e-06
2.167697e-01  6.798175e-06
2.172685e-01  6.695082e-06
2.177684e-01  6.596569e-06
2.182727e-01  6.500364e-06
2.187750e-01  6.405985e-06
2.192783e-01  6.324992e-06
2.197862e-01  6.246248e-06
2.202919e-01  6.168897e-06
2.207987e-01  6.059026e-06
2.213067e-01  5.911045e-06
2.218193e-01  5.765542e-06
2.223296e-01  5.628789e-06
2.228446e-01  5.494197e-06
2.233573e-01  5.362473e-06
2.238711e-01  5.236654e-06
2.243863e-01  5.179949e-06
2.249025e-01  5.126207e-06
2.254234e-01  5.076024e-06
2.259421e-01  5.026333e-06
2.264619e-01  4.977122e-06
2.269865e-01  4.930663e-06
2.275087e-01  4.814657e-06
2.280321e-01  4.611897e-06
2.285603e-01  4.419417e-06
2.290861e-01  4.235246e-06
2.296131e-01  4.058750e-06
2.301415e-01  3.891143e-06
2.306745e-01  3.730208e-06
2.312053e-01  3.663294e-06
2.317372e-01  3.609864e-06
2.322739e-01  3.556986e-06
2.328084e-01  3.505111e-06
2.333440e-01  3.454445e-06
2.338844e-01  3.404732e-06
2.344226e-01  3.361685e-06
2.349619e-01  3.330959e-06
2.355024e-01  3.300513e-06
2.360480e-01  3.270346e-06
2.365910e-01  3.241093e-06
2.371354e-01  3.212099e-06
2.376846e-01  3.183157e-06
2.382314e-01  3.126054e-06
2.387796e-01  3.063137e-06
2.393326e-01  3.001291e-06
2.398832e-01  2.941271e-06
2.404352e-01  2.882448e-06
2.409883e-01  2.824620e-06
2.415465e-01  2.781783e-06
2.421023e-01  2.775951e-06
2.426592e-01  2.769948e-06
2.432176e-01  2.764504e-06
2.437809e-01  2.758887e-06
2.443417e-01  2.753285e-06
2.449040e-01  2.748052e-06
2.454712e-01  2.782696e-06
2.460359e-01  2.832969e-06
2.466020e-01  2.884528e-06
2.471694e-01  2.936835e-06
2.477418e-01  2.990288e-06
2.483119e-01  3.044911e-06
2.488831e-01  3.088557e-06
2.494596e-01  3.081070e-06
2.500336e-01  3.074005e-06
2.506088e-01  3.066756e-06
2.511893e-01  3.059724e-06
2.517672e-01  3.052909e-06
2.523464e-01  3.045908e-06
2.529271e-01  3.038525e-06
2.535129e-01  3.030962e-06
2.540961e-01  3.023219e-06
2.546807e-01  3.015695e-06
2.552706e-01  3.008385e-06
2.558579e-01  3.000897e-06
2.564466e-01  2.993033e-06
2.570406e-01  2.981082e-06
2.576320e-01  2.969181e-06
2.582247e-01  2.957324e-06
2.588188e-01  2.945710e-06
2.594183e-01  2.934141e-06
2.600151e-01  2.922618e-06
2.606134e-01  2.873953e-06
2.612130e-01  2.798803e-06
2.618180e-01  2.725437e-06
2.624204e-01  2.654168e-06
2.630241e-01  2.584764e-06
2.636333e-01  2.517173e-06
2.642399e-01  2.452798e-06
2.648478e-01  2.439322e-06
2.654612e-01  2.425920e-06
2.660721e-01  2.412591e-06
2.666842e-01  2.399495e-06
2.672978e-01  2.386311e-06
2.679169e-01  2.373355e-06
2.685332e-01  2.365740e-06
2.691511e-01  2.363724e-06
2.697745e-01  2.361709e-06
2.703951e-01  2.359696e-06
2.710173e-01  2.357685e-06
2.716408e-01  2.355831e-06
2.722700e-01  2.353977e-06
2.728964e-01  2.351662e-06
2.735243e-01  2.349658e-06
2.741536e-01  2.347502e-06
2.747886e-01  2.345502e-06
2.754208e-01  2.343348e-06
2.760587e-01  2.341350e-06
2.766939e-01  2.338742e-06
2.773304e-01  2.335217e-06
2.779686e-01  2.331849e-06
2.786124e-01  2.328487e-06
2.792533e-01  2.325131e-06
2.798959e-01  2.321778e-06
2.805398e-01  2.318277e-06
2.811895e-01  2.316911e-06
2.818366e-01  2.315847e-06
2.824849e-01  2.314632e-06
2.831393e-01  2.313569e-06
2.837907e-01  2.312507e-06
2.844436e-01  2.311445e-06
2.851025e-01  2.308869e-06
2.857584e-01  2.303123e-06
2.864158e-01  2.297388e-06
2.870748e-01  2.291671e-06
2.877397e-01  2.286116e-06
2.884017e-01  2.280426e-06
2.890653e-01  2.274898e-06
2.897348e-01  2.266855e-06
2.904015e-01  2.258099e-06
2.910696e-01  2.249526e-06
2.917437e-01  2.240985e-06
2.924150e-01  2.232477e-06
2.930877e-01  2.224000e-06
2.937621e-01  2.217446e-06
2.944425e-01  2.216284e-06
2.951199e-01  2.215120e-06
2.957989e-01  2.213958e-06
2.964794e-01  2.212798e-06
2.971661e-01  2.211781e-06
2.978499e-01  2.210622e-06
2.985351e-01  2.207145e-06
2.992265e-01  2.202806e-06
2.999151e-01  2.198476e-06
3.006050e-01  2.194155e-06
3.013014e-01  2.189842e-06
3.019945e-01  2.185538e-06
3.026893e-01  2.183531e-06
3.033856e-01  2.192860e-06
3.040885e-01  2.202083e-06
3.047880e-01  2.211345e-06
3.054892e-01  2.220793e-06
3.061969e-01  2.230281e-06
3.069013e-01  2.239810e-06
3.076075e-01  2.245990e-06
3.083199e-01  2.250118e-06
3.090292e-01  2.254401e-06
3.097403e-01  2.258694e-06
3.104529e-01  2.262993e-06
3.111719e-01  2.267302e-06
3.118879e-01  2.270427e-06
3.126054e-01  2.261213e-06
3.133294e-01  2.252035e-06
3.140504e-01  2.242897e-06
3.147730e-01  2.233795e-06
3.154972e-01  2.224731e-06
3.162279e-01  2.215703e-06
3.169556e-01  2.210332e-06
3.176847e-01  2.207869e-06
3.184205e-01  2.205407e-06
3.191532e-01  2.202949e-06
3.198874e-01  2.200495e-06
3.206233e-01  2.198043e-06
3.213661e-01  2.195594e-06
3.221054e-01  2.191997e-06
3.228464e-01  2.188405e-06
3.235943e-01  2.184820e-06
3.243387e-01  2.181240e-06
3.250849e-01  2.177667e-06
3.258380e-01  2.174100e-06
3.265876e-01  2.172532e-06
3.273389e-01  2.173102e-06
3.280921e-01  2.173815e-06
3.288520e-01  2.174385e-06
3.296085e-01  2.174955e-06
3.303670e-01  2.175669e-06
3.311271e-01  2.176381e-06
3.318939e-01  2.173671e-06
3.326576e-01  2.170680e-06
3.334230e-01  2.167693e-06
3.341953e-01  2.164851e-06
3.349641e-01  2.161872e-06
3.357349e-01  2.159037e-06
3.365125e-01  2.154368e-06
3.372866e-01  2.147033e-06
3.380627e-01  2.139723e-06
3.388404e-01  2.132439e-06
3.396252e-01  2.125038e-06
3.404067e-01  2.117803e-06
3.411898e-01  2.110592e-06
3.419747e-01  2.107964e-06
3.427669e-01  2.106030e-06
3.435555e-01  2.104235e-06
3.443458e-01  2.102303e-06
3.451435e-01  2.100511e-06
3.459376e-01  2.098585e-06
3.467334e-01  2.095558e-06
3.475366e-01  2.089657e-06
3.483362e-01  2.083772e-06
3.491377e-01  2.077903e-06
3.499409e-01  2.072186e-06
3.507514e-01  2.066350e-06
3.515585e-01  2.060531e-06
3.523672e-01  2.058641e-06
3.531833e-01  2.057829e-06
3.539960e-01  2.057020e-06
3.548106e-01  2.056211e-06
3.556268e-01  2.055536e-06
3.564505e-01  2.054728e-06
3.572707e-01  2.054054e-06
3.580926e-01  2.053515e-06
3.589220e-01  2.053112e-06
3.597478e-01  2.052708e-06
3.605755e-01  2.052305e-06
3.614106e-01  2.051901e-06
3.622422e-01  2.051496e-06
3.630755e-01  2.046794e-06
3.639108e-01  2.039957e-06
3.647538e-01  2.033146e-06
3.655930e-01  2.026489e-06
3.664340e-01  2.019854e-06
3.672829e-01  2.013109e-06
3.681278e-01  2.007177e-06
3.689747e-01  2.005334e-06
3.698237e-01  2.003362e-06
3.706803e-01  2.001392e-06
3.715330e-01  1.999556e-06
3.723879e-01  1.997590e-06
3.732504e-01  1.995756e-06
3.741091e-01  1.992877e-06
3.749699e-01  1.989352e-06
3.758327e-01  1.985832e-06
3.767032e-01  1.982319e-06
3.775698e-01  1.978811e-06
3.784386e-01  1.975311e-06
3.793151e-01  1.971817e-06
3.801877e-01  1.969231e-06
3.810625e-01  1.966649e-06
3.819451e-01  1.964071e-06
3.828238e-01  1.961497e-06
3.837047e-01  1.958925e-06
3.845874e-01  1.956357e-06
3.854783e-01  1.954562e-06
3.863651e-01  1.953280e-06
