# LHCb B0 -> K*0 mu mu excluded (FIPs 2022 version)
# Extracted from arXiv:2305.01715 (FIPs 2022 report), ALPs_fermions_fips2022_text_logo.pdf
# Date: 2026-07-12
# NOTE: pre-GKOZ phenomenology (see module docstring).
# Source y axis g_Y = 2 v_h/f; stored as 1/f (BNT) = g_Y/246.
# Format: chains separated by blank line; each row "mass_GeV  invf_GeV^-1"
# chain: 1075 vertices
2.496443e-01  4.065312e-03
2.500336e-01  7.317318e-06
2.506088e-01  7.230488e-06
2.511892e-01  7.149853e-06
2.517672e-01  7.082177e-06
2.523464e-01  7.030801e-06
2.529269e-01  6.989885e-06
2.535129e-01  6.949652e-06
2.540961e-01  6.909657e-06
2.546807e-01  6.869446e-06
2.552706e-01  6.829011e-06
2.558579e-01  6.786592e-06
2.564466e-01  6.741346e-06
2.570406e-01  6.695518e-06
2.576319e-01  6.650001e-06
2.582247e-01  6.604800e-06
2.588188e-01  6.559900e-06
2.594182e-01  6.516159e-06
2.600151e-01  6.472710e-06
2.606133e-01  6.431661e-06
2.612130e-01  6.390457e-06
2.618180e-01  6.349098e-06
2.624203e-01  6.308833e-06
2.630241e-01  6.268410e-06
2.636333e-01  6.228252e-06
2.642398e-01  6.190785e-06
2.648478e-01  6.157172e-06
2.654612e-01  6.128162e-06
2.660719e-01  6.100895e-06
2.666842e-01  6.073748e-06
2.672977e-01  6.046717e-06
2.679168e-01  6.019812e-06
2.685332e-01  5.974575e-06
2.691510e-01  5.914146e-06
2.697745e-01  5.817579e-06
2.703951e-01  5.722594e-06
2.710172e-01  5.628789e-06
2.716408e-01  5.538699e-06
2.722700e-01  5.450051e-06
2.728963e-01  5.362822e-06
2.735243e-01  5.276989e-06
2.741535e-01  5.192192e-06
2.747885e-01  5.108758e-06
2.754208e-01  5.026660e-06
2.760587e-01  4.946534e-06
2.766939e-01  4.876310e-06
2.773304e-01  4.810554e-06
2.779684e-01  4.748796e-06
2.786124e-01  4.687526e-06
2.792533e-01  4.624315e-06
2.798957e-01  4.557175e-06
2.805398e-01  4.436553e-06
2.811895e-01  4.308936e-06
2.818366e-01  4.184717e-06
2.824849e-01  4.083583e-06
2.831392e-01  3.996672e-06
2.837907e-01  3.931418e-06
2.844436e-01  3.866973e-06
2.851024e-01  3.803585e-06
2.857584e-01  3.741237e-06
2.864158e-01  3.679667e-06
2.870748e-01  3.618875e-06
2.877397e-01  3.559319e-06
2.884017e-01  3.503501e-06
2.890653e-01  3.452633e-06
2.897348e-01  3.420401e-06
2.904013e-01  3.388470e-06
2.910696e-01  3.356619e-06
2.917437e-01  3.325283e-06
2.924149e-01  3.294243e-06
2.930877e-01  3.263278e-06
2.937620e-01  3.232600e-06
2.944423e-01  3.202213e-06
2.951199e-01  3.173154e-06
2.957988e-01  3.149105e-06
2.964794e-01  3.126467e-06
2.971661e-01  3.104398e-06
2.978497e-01  3.082282e-06
2.985351e-01  3.060327e-06
2.992265e-01  3.038726e-06
2.999151e-01  3.017080e-06
3.006050e-01  2.995586e-06
3.013012e-01  2.973076e-06
3.019945e-01  2.949191e-06
3.026893e-01  2.924917e-06
3.033856e-01  2.900844e-06
3.040885e-01  2.876972e-06
3.047880e-01  2.853108e-06
3.054892e-01  2.829441e-06
3.061969e-01  2.805971e-06
3.069013e-01  2.782696e-06
3.076073e-01  2.764504e-06
3.083199e-01  2.748773e-06
3.090292e-01  2.735107e-06
3.097402e-01  2.721684e-06
3.104529e-01  2.707264e-06
3.111719e-01  2.692568e-06
3.118878e-01  2.677949e-06
3.126054e-01  2.663412e-06
3.133294e-01  2.648778e-06
3.140503e-01  2.631633e-06
3.147729e-01  2.579513e-06
3.154972e-01  2.543560e-06
3.162278e-01  2.517340e-06
3.169554e-01  2.496621e-06
3.176847e-01  2.476075e-06
3.184205e-01  2.455534e-06
3.191530e-01  2.435326e-06
3.198874e-01  2.415125e-06
3.206233e-01  2.408165e-06
3.213659e-01  2.405481e-06
3.221054e-01  2.404851e-06
3.228464e-01  2.404220e-06
3.235943e-01  2.403590e-06
3.243387e-01  2.396034e-06
3.250849e-01  2.379746e-06
3.258380e-01  2.360315e-06
3.265876e-01  2.341043e-06
3.273389e-01  2.321929e-06
3.280919e-01  2.302821e-06
3.288520e-01  2.284019e-06
3.296085e-01  2.265220e-06
3.303670e-01  2.254992e-06
3.311270e-01  2.255437e-06
3.318939e-01  2.262696e-06
3.326576e-01  2.270129e-06
3.334229e-01  2.271022e-06
3.341951e-01  2.264923e-06
3.349641e-01  2.252923e-06
3.357347e-01  2.241133e-06
3.365123e-01  2.229257e-06
3.372866e-01  2.217446e-06
3.380627e-01  2.205698e-06
3.388404e-01  2.194010e-06
3.396252e-01  2.182386e-06
3.404067e-01  2.170821e-06
3.411898e-01  2.159603e-06
3.419747e-01  2.149146e-06
3.427669e-01  2.138601e-06
3.435555e-01  2.128107e-06
3.443458e-01  2.117665e-06
3.451435e-01  2.107274e-06
3.459376e-01  2.096932e-06
3.467334e-01  2.086643e-06
3.475366e-01  2.076267e-06
3.483362e-01  2.066079e-06
3.491375e-01  2.055806e-06
3.499409e-01  2.045719e-06
3.507514e-01  2.036214e-06
3.515583e-01  2.027952e-06
3.523672e-01  2.020119e-06
3.531833e-01  2.012449e-06
3.539958e-01  2.004677e-06
3.548104e-01  1.996934e-06
3.556268e-01  1.989352e-06
3.564503e-01  1.981668e-06
3.572705e-01  1.974016e-06
3.580926e-01  1.968973e-06
3.589220e-01  1.984010e-06
3.597477e-01  2.004282e-06
3.605755e-01  2.025293e-06
3.614106e-01  2.038353e-06
3.622420e-01  2.035681e-06
3.630755e-01  2.015222e-06
3.639108e-01  1.994839e-06
3.647537e-01  1.974662e-06
3.655930e-01  1.957256e-06
3.664340e-01  1.941147e-06
3.672829e-01  1.925045e-06
3.681278e-01  1.909203e-06
3.689747e-01  1.893366e-06
3.698236e-01  1.877537e-06
3.706803e-01  1.873847e-06
3.715330e-01  1.890636e-06
3.723878e-01  1.918114e-06
3.732504e-01  1.945992e-06
3.741091e-01  1.973499e-06
3.749699e-01  1.994839e-06
3.758326e-01  2.014563e-06
3.767030e-01  2.034479e-06
3.775698e-01  2.054728e-06
3.784384e-01  2.075179e-06
3.793149e-01  9.190401e-06
3.799004e-01  4.065312e-03
5.003510e-01  4.065312e-03
5.011854e-01  1.486373e-06
5.023384e-01  1.516007e-06
5.035019e-01  1.532102e-06
5.046604e-01  1.511144e-06
5.058214e-01  1.476753e-06
5.069851e-01  1.439458e-06
5.081595e-01  1.393018e-06
5.093286e-01  1.358640e-06
5.105003e-01  1.353837e-06
5.116829e-01  1.351441e-06
5.128601e-01  1.349050e-06
5.140399e-01  1.346663e-06
5.152227e-01  1.344281e-06
5.164160e-01  1.341901e-06
5.176043e-01  1.339001e-06
5.187951e-01  1.329462e-06
5.199966e-01  1.317052e-06
5.211931e-01  1.304586e-06
5.223922e-01  1.292237e-06
5.235942e-01  1.280006e-06
5.248069e-01  1.277155e-06
5.260142e-01  1.286740e-06
5.272246e-01  1.298014e-06
5.284457e-01  1.309386e-06
5.296616e-01  1.320858e-06
5.308801e-01  1.332430e-06
5.321015e-01  1.327110e-06
5.333341e-01  1.320165e-06
5.345611e-01  1.313169e-06
5.357908e-01  1.306212e-06
5.370320e-01  1.299717e-06
5.382675e-01  1.316360e-06
5.395058e-01  1.362835e-06
5.407556e-01  1.410856e-06
5.419996e-01  1.397227e-06
5.432465e-01  1.368746e-06
5.444965e-01  1.340671e-06
5.457576e-01  1.313169e-06
5.470132e-01  1.286150e-06
5.482718e-01  1.259685e-06
5.495417e-01  1.241395e-06
5.508059e-01  1.251203e-06
5.520733e-01  1.271221e-06
5.533436e-01  1.291644e-06
5.546250e-01  1.312396e-06
5.559012e-01  1.333566e-06
5.571803e-01  1.339177e-06
5.584705e-01  1.334704e-06
5.597556e-01  1.330247e-06
5.610436e-01  1.325632e-06
5.623343e-01  1.321118e-06
5.636367e-01  1.316533e-06
5.649336e-01  1.312050e-06
5.662333e-01  1.307498e-06
5.675447e-01  1.305013e-06
5.688506e-01  1.305441e-06
5.701593e-01  1.305870e-06
5.714798e-01  1.306212e-06
5.727948e-01  1.306555e-06
5.741126e-01  1.306897e-06
5.754333e-01  1.307326e-06
5.767663e-01  1.307669e-06
5.780932e-01  1.308012e-06
5.794231e-01  1.308355e-06
5.807654e-01  1.299632e-06
5.821015e-01  1.275480e-06
5.834409e-01  1.249892e-06
5.847831e-01  1.224736e-06
5.861375e-01  1.200558e-06
5.874862e-01  1.188336e-06
5.888378e-01  1.188648e-06
5.902016e-01  1.189038e-06
5.915596e-01  1.189350e-06
5.929205e-01  1.189741e-06
5.942848e-01  1.190053e-06
5.956613e-01  1.190443e-06
5.970319e-01  1.200793e-06
5.984054e-01  1.214577e-06
5.997913e-01  1.228517e-06
6.011715e-01  1.241232e-06
6.025545e-01  1.237006e-06
6.039500e-01  1.222728e-06
6.053397e-01  1.208457e-06
6.067323e-01  1.194432e-06
6.081281e-01  1.189350e-06
6.095369e-01  1.190209e-06
6.109392e-01  1.191068e-06
6.123447e-01  1.191927e-06
6.137632e-01  1.192788e-06
6.151752e-01  1.193649e-06
6.165904e-01  1.194509e-06
6.180092e-01  1.195371e-06
6.194406e-01  1.193101e-06
6.208656e-01  1.186857e-06
6.222942e-01  1.180645e-06
6.237355e-01  1.174467e-06
6.251704e-01  1.168244e-06
6.266089e-01  1.162130e-06
6.280508e-01  1.156125e-06
6.295051e-01  1.153927e-06
6.309536e-01  1.153625e-06
6.324054e-01  1.153398e-06
6.338701e-01  1.153095e-06
6.353284e-01  1.152868e-06
6.367903e-01  1.152642e-06
6.382552e-01  1.152340e-06
6.397335e-01  1.152112e-06
6.412055e-01  1.151810e-06
6.426806e-01  1.151583e-06
6.441691e-01  1.151281e-06
6.456514e-01  1.151056e-06
6.471367e-01  1.150753e-06
6.486359e-01  1.147512e-06
6.501281e-01  1.135012e-06
6.516237e-01  1.120956e-06
6.531228e-01  1.107001e-06
6.546358e-01  1.095589e-06
6.561418e-01  1.094009e-06
6.576516e-01  1.094511e-06
6.591748e-01  1.095014e-06
6.606912e-01  1.095589e-06
6.622115e-01  1.096307e-06
6.637349e-01  1.097027e-06
6.652722e-01  1.097746e-06
6.668030e-01  1.098466e-06
6.683370e-01  1.099259e-06
6.698849e-01  1.099981e-06
6.714263e-01  1.113117e-06
6.729710e-01  1.128554e-06
6.745296e-01  1.144206e-06
6.760817e-01  1.152188e-06
6.776374e-01  1.152491e-06
6.791963e-01  1.152793e-06
6.807694e-01  1.153095e-06
6.823358e-01  1.153398e-06
6.839056e-01  1.153700e-06
6.854896e-01  1.154003e-06
6.870669e-01  1.154306e-06
6.886475e-01  1.154609e-06
6.902318e-01  1.154987e-06
6.918307e-01  1.155291e-06
6.934223e-01  1.155594e-06
6.950175e-01  1.153246e-06
6.966276e-01  1.143530e-06
6.982302e-01  1.133970e-06
6.998365e-01  1.124343e-06
7.014468e-01  1.114871e-06
7.030715e-01  1.105622e-06
7.046889e-01  1.102292e-06
7.063104e-01  1.100197e-06
7.079463e-01  1.098107e-06
7.095753e-01  1.096020e-06
7.112077e-01  1.093865e-06
7.128549e-01  1.091787e-06
7.144952e-01  1.089712e-06
7.161389e-01  1.083157e-06
7.177867e-01  1.069672e-06
7.194492e-01  1.056426e-06
7.211043e-01  1.044027e-06
7.227636e-01  1.043273e-06
7.244376e-01  1.043206e-06
7.261041e-01  1.043206e-06
7.277749e-01  1.043137e-06
7.294492e-01  1.043069e-06
7.311387e-01  1.043069e-06
7.328210e-01  1.043069e-06
7.345069e-01  1.041838e-06
7.362084e-01  1.027385e-06
7.379021e-01  1.008887e-06
7.395997e-01  1.002293e-06
7.413015e-01  1.034144e-06
7.430184e-01  1.072552e-06
7.447277e-01  1.112532e-06
7.464414e-01  1.144656e-06
7.481702e-01  1.140684e-06
7.498914e-01  1.131816e-06
7.516169e-01  1.123016e-06
7.533577e-01  1.114213e-06
7.550908e-01  1.105695e-06
7.568283e-01  1.102436e-06
7.585694e-01  1.102363e-06
7.603263e-01  1.102219e-06
7.620758e-01  1.102147e-06
7.638294e-01  1.102003e-06
7.655981e-01  1.101930e-06
7.673598e-01  1.101858e-06
7.691255e-01  1.101714e-06
7.708949e-01  1.101641e-06
7.726803e-01  1.101497e-06
7.744583e-01  1.101424e-06
7.762399e-01  1.101352e-06
7.780378e-01  1.101208e-06
7.798280e-01  1.101135e-06
7.816221e-01  1.101064e-06
7.834202e-01  1.144356e-06
7.852351e-01  1.205924e-06
7.870415e-01  1.259685e-06
7.888521e-01  1.188259e-06
7.906796e-01  1.120735e-06
7.924985e-01  1.091429e-06
7.943217e-01  1.134788e-06
7.961494e-01  1.178712e-06
7.979934e-01  1.178557e-06
7.998292e-01  1.152037e-06
8.016696e-01  1.127075e-06
8.035264e-01  1.125893e-06
8.053753e-01  1.129368e-06
8.072281e-01  1.132855e-06
8.090977e-01  1.136353e-06
8.109594e-01  1.139936e-06
8.128251e-01  1.123238e-06
8.146954e-01  1.086928e-06
8.165823e-01  1.051724e-06
8.184609e-01  1.017593e-06
8.203441e-01  1.005650e-06
8.222441e-01  1.026307e-06
8.241357e-01  1.047387e-06
8.260321e-01  1.068971e-06
8.279324e-01  1.072904e-06
8.298504e-01  1.043547e-06
8.317594e-01  1.014528e-06
8.336729e-01  9.892301e-07
8.356042e-01  9.977010e-07
8.375265e-01  1.012002e-06
8.394533e-01  1.026576e-06
8.413849e-01  1.026980e-06
8.433336e-01  1.016393e-06
8.452737e-01  1.005981e-06
8.472187e-01  9.956093e-07
8.491809e-01  9.853450e-07
8.511345e-01  9.765313e-07
8.530930e-01  9.779416e-07
8.550688e-01  9.793529e-07
8.570359e-01  9.807673e-07
8.590080e-01  9.821837e-07
8.609841e-01  9.836021e-07
8.629783e-01  9.850867e-07
8.649640e-01  9.836021e-07
8.669543e-01  9.764033e-07
8.689618e-01  9.692571e-07
8.709613e-01  9.621633e-07
8.729654e-01  9.550583e-07
8.749737e-01  9.480684e-07
8.770002e-01  9.410684e-07
8.790182e-01  9.409441e-07
8.810404e-01  9.465771e-07
8.830809e-01  9.522438e-07
8.851129e-01  9.580067e-07
8.871491e-01  9.638055e-07
8.891901e-01  9.674149e-07
8.912499e-01  9.264921e-07
8.933003e-01  9.175426e-07
8.953553e-01  9.086194e-07
8.974295e-01  8.997245e-07
8.994941e-01  8.909746e-07
9.015634e-01  8.892812e-07
9.036379e-01  8.904487e-07
9.057308e-01  8.916177e-07
9.078149e-01  8.927874e-07
9.099033e-01  8.940186e-07
9.120108e-01  8.951915e-07
9.141093e-01  8.966611e-07
9.162122e-01  9.032720e-07
9.183343e-01  9.107078e-07
9.204474e-01  9.182049e-07
9.225649e-01  9.257025e-07
9.246877e-01  9.306945e-07
9.268294e-01  9.352838e-07
9.289616e-01  9.412530e-07
9.310991e-01  9.473845e-07
9.332556e-01  9.535560e-07
9.354026e-01  9.597677e-07
9.375550e-01  9.663369e-07
9.397119e-01  9.609017e-07
9.418888e-01  9.553087e-07
9.440556e-01  9.575677e-07
9.462274e-01  9.541822e-07
9.484194e-01  9.526184e-07
9.506013e-01  9.748030e-07
9.527882e-01  9.683671e-07
9.549954e-01  9.816687e-07
9.571924e-01  9.920894e-07
9.593944e-01  9.834732e-07
9.616020e-01  9.641847e-07
9.638292e-01  9.452120e-07
9.660465e-01  9.179641e-07
9.682694e-01  8.716114e-07
9.705120e-01  8.480964e-07
9.727447e-01  8.337561e-07
9.749830e-01  8.255941e-07
9.772264e-01  8.183166e-07
9.794893e-01  8.109961e-07
9.817431e-01  8.037942e-07
9.840021e-01  7.966044e-07
9.862811e-01  7.856043e-07
9.885501e-01  7.711568e-07
9.908248e-01  7.570250e-07
9.931042e-01  7.430547e-07
9.954043e-01  7.293422e-07
9.976947e-01  7.195071e-07
9.999900e-01  7.339486e-07
1.002306e+00  7.511401e-07
1.004612e+00  7.687835e-07
1.006923e+00  7.868940e-07
1.009240e+00  8.054828e-07
1.011578e+00  8.179940e-07
1.013905e+00  8.276540e-07
1.016238e+00  8.374281e-07
1.018592e+00  8.473735e-07
1.020935e+00  8.550215e-07
1.023284e+00  8.591817e-07
1.025638e+00  8.633613e-07
1.028014e+00  8.675621e-07
1.030379e+00  8.718400e-07
1.032750e+00  8.760820e-07
1.035142e+00  8.646081e-07
1.037524e+00  8.515519e-07
1.039910e+00  8.389128e-07
1.042319e+00  8.311360e-07
1.044717e+00  8.235393e-07
1.047121e+00  8.160651e-07
1.049530e+00  8.125933e-07
1.051961e+00  8.184771e-07
1.054381e+00  8.234305e-07
1.056807e+00  8.283600e-07
1.059238e+00  8.333740e-07
1.061692e+00  8.384176e-07
1.064135e+00  8.610436e-07
1.066599e+00  8.869516e-07
1.069037e+00  9.136994e-07
1.071513e+00  9.413152e-07
1.073978e+00  9.473229e-07
1.076466e+00  9.480067e-07
1.078942e+00  9.486900e-07
1.081424e+00  9.493748e-07
1.083930e+00  9.500601e-07
1.086423e+00  9.507459e-07
1.088923e+00  9.514322e-07
1.091428e+00  9.521189e-07
1.093956e+00  9.264310e-07
1.096473e+00  8.941358e-07
1.099013e+00  8.628525e-07
1.101541e+00  8.179408e-07
1.104075e+00  7.768432e-07
1.106616e+00  7.880817e-07
1.109162e+00  7.995356e-07
1.111731e+00  8.111560e-07
1.114289e+00  8.229453e-07
1.116853e+00  8.349602e-07
1.119439e+00  8.472065e-07
1.122015e+00  8.436580e-07
1.124596e+00  8.357276e-07
1.127201e+00  8.278172e-07
1.129794e+00  8.199816e-07
1.132394e+00  8.122201e-07
1.134999e+00  8.045330e-07
1.137628e+00  7.968651e-07
