# LHCb B -> K mu mu exclusion boundary with the REVISED phenomenology --
# cross-check against vector/lhcb_bkmumu_excluded.dat (GKOZ 2023, which
# matches the phenomenology of the GRENDEL alp_fermion package)
# Extracted from arXiv:2501.04525 (Ovchynnikov-Zaporozhchenko, PRD 112 015001),
# parameter-space-ALP-fermion.pdf (solid = revised phenomenology).
# Date: 2026-07-11
# Source y axis is y^2 = (2 v_h/f_GKOZ)^2; converted to 1/f (BNT) = y/v_h,
# v_h = 246 GeV. The visible figure frame covers m_a in [0.6, 2.0] GeV;
# path data beneath the PDF clip (m_a < 0.6 or > 2.0) is kept as drawn but
# was not visually published -- treat it accordingly.
# Format: chains separated by blank line; each row "mass_GeV  invf_GeV^-1"
# chain: 290 vertices
5.568597e-01  3.636995e-06
5.569892e-01  1.284605e-06
5.579884e-01  1.284129e-06
5.589875e-01  1.283375e-06
5.599967e-01  1.282582e-06
5.609959e-01  1.281829e-06
5.619950e-01  1.280878e-06
5.629942e-01  1.243547e-06
5.669876e-01  1.239365e-06
5.679967e-01  1.238331e-06
5.689959e-01  1.237107e-06
5.709942e-01  1.235044e-06
5.719934e-01  1.233823e-06
5.729892e-01  1.232794e-06
5.739884e-01  1.231613e-06
5.749875e-01  1.266588e-06
5.760000e-01  1.265375e-06
5.769958e-01  1.264280e-06
5.779950e-01  1.263070e-06
5.789942e-01  1.262016e-06
5.799934e-01  1.260807e-06
5.809892e-01  1.223910e-06
5.819884e-01  1.222700e-06
5.829876e-01  1.186954e-06
5.839867e-01  1.185781e-06
5.849959e-01  1.151079e-06
5.869942e-01  1.148875e-06
5.879934e-01  1.147882e-06
5.889925e-01  1.146782e-06
5.899884e-01  1.145826e-06
5.909876e-01  1.144728e-06
5.919867e-01  1.143738e-06
5.929992e-01  1.142784e-06
5.939950e-01  1.141690e-06
5.949942e-01  1.140702e-06
5.959934e-01  1.139610e-06
5.969925e-01  1.138659e-06
5.979917e-01  1.170994e-06
5.989876e-01  1.170018e-06
5.999867e-01  1.168861e-06
6.009992e-01  1.202240e-06
6.019983e-01  1.201051e-06
6.029942e-01  1.165758e-06
6.049925e-01  1.163814e-06
6.059917e-01  1.162700e-06
6.069876e-01  1.128534e-06
6.079867e-01  1.127558e-06
6.089992e-01  1.126617e-06
6.099983e-01  1.125677e-06
6.109975e-01  1.124564e-06
6.119934e-01  1.123626e-06
6.129925e-01  1.155678e-06
6.159867e-01  1.152752e-06
6.169992e-01  1.151648e-06
6.209925e-01  1.147775e-06
6.219917e-01  1.114048e-06
6.239900e-01  1.112156e-06
6.249992e-01  1.111228e-06
6.319900e-01  1.104653e-06
6.329992e-01  1.103732e-06
6.369958e-01  1.100020e-06
6.379917e-01  1.099204e-06
6.409892e-01  1.096422e-06
6.419983e-01  1.095507e-06
6.429975e-01  1.094695e-06
6.469909e-01  1.091013e-06
6.479900e-01  1.090238e-06
6.489892e-01  1.089295e-06
6.500017e-01  1.088386e-06
6.509975e-01  1.087579e-06
6.519967e-01  1.055523e-06
6.529958e-01  1.054610e-06
6.539950e-01  1.053860e-06
6.559900e-01  1.052070e-06
6.569892e-01  1.051323e-06
6.580017e-01  1.050413e-06
6.589975e-01  1.049667e-06
6.609959e-01  1.047884e-06
6.619950e-01  1.047139e-06
6.629942e-01  1.046234e-06
6.639900e-01  1.045490e-06
6.649892e-01  1.044618e-06
6.660017e-01  1.043843e-06
6.679967e-01  1.042103e-06
6.699950e-01  1.040590e-06
6.709942e-01  1.070405e-06
6.719934e-01  1.069611e-06
6.729892e-01  1.068719e-06
6.740017e-01  1.099476e-06
6.760000e-01  1.097880e-06
6.769958e-01  1.096964e-06
6.789942e-01  1.095372e-06
6.799934e-01  1.094458e-06
6.809892e-01  1.093646e-06
6.820017e-01  1.092869e-06
6.830008e-01  1.091924e-06
6.859950e-01  1.089564e-06
6.869942e-01  1.088655e-06
6.879934e-01  1.087848e-06
6.889925e-01  1.119294e-06
6.899884e-01  1.118360e-06
6.910008e-01  1.117531e-06
6.949942e-01  1.114323e-06
6.959934e-01  1.081445e-06
6.969925e-01  1.080510e-06
6.979917e-01  1.079742e-06
6.990008e-01  1.078974e-06
7.019983e-01  1.076609e-06
7.029942e-01  1.044876e-06
7.059917e-01  1.042586e-06
7.070008e-01  1.041716e-06
7.139917e-01  1.036449e-06
7.150041e-01  1.035681e-06
7.179983e-01  1.033443e-06
7.189975e-01  1.002951e-06
7.219917e-01  1.000783e-06
7.230042e-01  1.000072e-06
7.240000e-01  9.993306e-07
7.249992e-01  9.987439e-07
7.299917e-01  9.951082e-07
7.310041e-01  9.944009e-07
7.320033e-01  9.936943e-07
7.329992e-01  9.930803e-07
7.359967e-01  9.909341e-07
7.369958e-01  9.616965e-07
7.389909e-01  9.603006e-07
7.400033e-01  9.596181e-07
7.419983e-01  1.016118e-06
7.429975e-01  1.015521e-06
7.459917e-01  1.106533e-06
7.469909e-01  1.105849e-06
7.480033e-01  1.105063e-06
7.490025e-01  1.072326e-06
7.500017e-01  1.071696e-06
7.509975e-01  1.070901e-06
7.519967e-01  1.070273e-06
7.539950e-01  1.068719e-06
7.549909e-01  1.068059e-06
7.560033e-01  1.067300e-06
7.570025e-01  1.066640e-06
7.580017e-01  1.065882e-06
7.589975e-01  1.065256e-06
7.599967e-01  1.064466e-06
7.609959e-01  1.063842e-06
7.629942e-01  1.062297e-06
7.640033e-01  1.061641e-06
7.650025e-01  1.060887e-06
7.660016e-01  1.060231e-06
7.670008e-01  1.059478e-06
7.679967e-01  1.058823e-06
7.689959e-01  1.058070e-06
7.709942e-01  1.056796e-06
7.720033e-01  1.056012e-06
7.730025e-01  1.055392e-06
7.740017e-01  1.054610e-06
7.750008e-01  1.053990e-06
7.760000e-01  1.053209e-06
7.769959e-01  1.052591e-06
7.779950e-01  1.051810e-06
7.789942e-01  1.051193e-06
7.800067e-01  1.050543e-06
7.810025e-01  1.049797e-06
7.820017e-01  1.049148e-06
7.840000e-01  1.111228e-06
7.849958e-01  1.143738e-06
7.859950e-01  1.177091e-06
7.869942e-01  1.211565e-06
7.880066e-01  1.175672e-06
7.900017e-01  1.107080e-06
7.910008e-01  1.074150e-06
7.920000e-01  1.042328e-06
7.929992e-01  1.041716e-06
7.939950e-01  1.072193e-06
7.949942e-01  1.103459e-06
7.959934e-01  1.135777e-06
7.970058e-01  1.134935e-06
7.980016e-01  1.134269e-06
7.990008e-01  1.100666e-06
8.000000e-01  1.100020e-06
8.009992e-01  1.099204e-06
8.019984e-01  1.066640e-06
8.039934e-01  1.065355e-06
8.050058e-01  1.064598e-06
8.060050e-01  1.095778e-06
8.089992e-01  1.093782e-06
8.099983e-01  1.093005e-06
8.119934e-01  1.091654e-06
8.130058e-01  1.059216e-06
8.140050e-01  1.058561e-06
8.150042e-01  1.027233e-06
8.160000e-01  1.026598e-06
8.179983e-01  9.664640e-07
8.199933e-01  9.652998e-07
8.210058e-01  9.647033e-07
8.220050e-01  9.640178e-07
8.230041e-01  9.922519e-07
8.240000e-01  9.916387e-07
8.249992e-01  1.020682e-06
8.269975e-01  1.019452e-06
8.279967e-01  1.018696e-06
8.290058e-01  1.018098e-06
8.300050e-01  9.878150e-07
8.310041e-01  9.872351e-07
8.320033e-01  9.578699e-07
8.329992e-01  9.572779e-07
8.339984e-01  9.288324e-07
8.349975e-01  9.560361e-07
8.359967e-01  9.554453e-07
8.370058e-01  9.547664e-07
8.380050e-01  9.828207e-07
8.390041e-01  9.821222e-07
8.410025e-01  9.809392e-07
8.419983e-01  9.802118e-07
8.429975e-01  9.796363e-07
8.439967e-01  9.789100e-07
8.449958e-01  9.498216e-07
8.460050e-01  9.492348e-07
8.470042e-01  9.485602e-07
8.480033e-01  9.479740e-07
8.490025e-01  9.473004e-07
8.500017e-01  9.467150e-07
8.519967e-01  9.453407e-07
8.529958e-01  9.447858e-07
8.540083e-01  9.440852e-07
8.560033e-01  9.427149e-07
8.570025e-01  9.421614e-07
8.609959e-01  9.394281e-07
8.620083e-01  9.387605e-07
8.650025e-01  9.367028e-07
8.660016e-01  9.359214e-07
8.679967e-01  9.345629e-07
8.689959e-01  9.337833e-07
8.700083e-01  9.329755e-07
8.710075e-01  9.323126e-07
8.720033e-01  9.043853e-07
8.740017e-01  9.028492e-07
8.750008e-01  9.019846e-07
8.769959e-01  9.004526e-07
8.780083e-01  8.995904e-07
8.820017e-01  8.961216e-07
8.830008e-01  9.221391e-07
8.849958e-01  9.201177e-07
8.860083e-01  9.191229e-07
8.890058e-01  9.158053e-07
8.900017e-01  8.879332e-07
8.910008e-01  8.867539e-07
8.929992e-01  8.841814e-07
8.940083e-01  8.828980e-07
8.950075e-01  8.815346e-07
8.960066e-01  8.543888e-07
8.970058e-01  8.528321e-07
8.980016e-01  8.514099e-07
9.000000e-01  8.481269e-07
9.009992e-01  8.463726e-07
9.019984e-01  8.445434e-07
9.030075e-01  8.426139e-07
9.040066e-01  8.405592e-07
9.050058e-01  8.638147e-07
9.070008e-01  8.590489e-07
9.080000e-01  8.564509e-07
9.089992e-01  8.536497e-07
9.099983e-01  8.506734e-07
9.110074e-01  8.476029e-07
9.120067e-01  8.443345e-07
9.130058e-01  8.662210e-07
9.140050e-01  8.623742e-07
9.150042e-01  8.581998e-07
9.160000e-01  8.537552e-07
9.169992e-01  8.748306e-07
9.179983e-01  8.696814e-07
9.190108e-01  8.640284e-07
9.200066e-01  8.841814e-07
9.210058e-01  8.775929e-07
9.220050e-01  8.705151e-07
9.230041e-01  8.892241e-07
9.240000e-01  8.807720e-07
9.249992e-01  8.983956e-07
9.259983e-01  8.883724e-07
9.270108e-01  9.044970e-07
9.280100e-01  8.925557e-07
9.290058e-01  9.067923e-07
9.300050e-01  8.926662e-07
9.310041e-01  9.044970e-07
9.320033e-01  9.151262e-07
9.329992e-01  8.966479e-07
9.339984e-01  9.068764e-07
9.430108e-01  9.068764e-07
9.440099e-01  8.793849e-07
9.480033e-01  8.793849e-07
9.481726e-01  3.636995e-06

# chain: 252 vertices
9.698390e-01  3.636995e-06
9.700083e-01  8.793849e-07
9.710075e-01  8.793849e-07
9.720033e-01  8.528321e-07
9.750008e-01  8.528321e-07
9.760099e-01  8.270812e-07
9.810025e-01  8.270812e-07
9.820017e-01  8.021076e-07
9.860083e-01  8.021076e-07
9.870075e-01  7.777922e-07
9.890058e-01  7.777922e-07
9.900017e-01  7.543069e-07
9.920133e-01  7.543069e-07
9.930125e-01  7.315083e-07
9.940083e-01  7.315083e-07
9.950075e-01  7.094206e-07
9.960066e-01  7.094206e-07
9.970058e-01  6.879149e-07
9.990008e-01  6.879149e-07
1.000000e+00  7.094206e-07
1.001012e+00  7.094206e-07
1.002008e+00  7.315083e-07
1.003007e+00  7.315083e-07
1.004007e+00  7.543069e-07
1.005006e+00  7.543069e-07
1.006005e+00  7.777922e-07
1.008000e+00  7.777922e-07
1.009012e+00  8.021076e-07
1.012007e+00  8.021076e-07
1.013006e+00  8.270812e-07
1.015004e+00  8.270812e-07
1.020007e+00  8.528321e-07
1.031004e+00  8.528321e-07
1.032003e+00  8.793849e-07
1.033012e+00  8.793849e-07
1.034012e+00  8.528321e-07
1.037006e+00  8.528321e-07
1.038005e+00  8.270812e-07
1.042012e+00  8.270812e-07
1.043011e+00  8.021076e-07
