# LHCb B -> K (a ->) mu mu excluded-region boundary, GKOZ re-interpretation
# Extracted from arXiv:2310.03524v3 / LHCb-constraints.pdf (dark-blue solid contour)
# Date: 2026-07-10
# Source y axis is 2 v_h/f_GKOZ (v_h = 246 GeV); converted here to the
# BC10 package convention 1/f_BNT = 2/f_GKOZ, i.e. invf = y_source/246.
# The excluded region lies above each chain; chains are clipped at the
# source frame top (invf = 3.25e-3) and left edge (m_a = 0.3 GeV).
# Gaps along the top edge are the LHCb charmonium veto windows.
# Format: chains separated by blank line; each row is "mass_GeV  invf_GeV_inv"
# mass_GeV  invf_GeV_inv
# chain 0: 89 vertices
2.80026e-01  4.30264e-06
2.81043e-01  4.17314e-06
2.82014e-01  3.93941e-06
2.83019e-01  3.82139e-06
2.84035e-01  3.70619e-06
2.85006e-01  3.59532e-06
2.86022e-01  3.48761e-06
2.87039e-01  3.47597e-06
2.88010e-01  3.37183e-06
2.89026e-01  3.27081e-06
2.90042e-01  3.26052e-06
2.91014e-01  3.16283e-06
2.92019e-01  3.15349e-06
2.93035e-01  3.14341e-06
2.94006e-01  3.04923e-06
2.95022e-01  3.04022e-06
2.96039e-01  2.94970e-06
2.97010e-01  2.94098e-06
2.99031e-01  2.92348e-06
3.00002e-01  2.83643e-06
3.01019e-01  2.82845e-06
3.02035e-01  2.82009e-06
3.03006e-01  2.73664e-06
3.05039e-01  2.72140e-06
3.06010e-01  2.64037e-06
3.07015e-01  2.63294e-06
3.08031e-01  2.62616e-06
3.09002e-01  2.61877e-06
3.10019e-01  2.61190e-06
3.11035e-01  2.53462e-06
3.12006e-01  2.52761e-06
3.14039e-01  2.51437e-06
3.15010e-01  2.44009e-06
3.16015e-01  2.36789e-06
3.17031e-01  2.36212e-06
3.18002e-01  2.35593e-06
3.19018e-01  2.28622e-06
3.20035e-01  2.28066e-06
3.21006e-01  2.27478e-06
3.23027e-01  2.26373e-06
3.23998e-01  2.25822e-06
3.25015e-01  2.25284e-06
3.26031e-01  2.24779e-06
3.27002e-01  2.24232e-06
3.28018e-01  2.17597e-06
3.29035e-01  2.17110e-06
3.30006e-01  2.16581e-06
3.32027e-01  2.15622e-06
3.32998e-01  2.15097e-06
3.35031e-01  2.14134e-06
3.36002e-01  2.13654e-06
3.37018e-01  2.13175e-06
3.38035e-01  2.06907e-06
3.39006e-01  2.06482e-06
3.41027e-01  2.05567e-06
3.41998e-01  2.05146e-06
3.43015e-01  2.04686e-06
3.44031e-01  2.04266e-06
3.45002e-01  1.98260e-06
3.46018e-01  1.97853e-06
3.47023e-01  1.97409e-06
3.47995e-01  1.97005e-06
3.50027e-01  1.96197e-06
3.50998e-01  1.95795e-06
3.52015e-01  1.90038e-06
3.53031e-01  1.89684e-06
3.54002e-01  1.89295e-06
3.56023e-01  1.88519e-06
3.56994e-01  1.88168e-06
3.58011e-01  1.87782e-06
3.59027e-01  1.87433e-06
3.59998e-01  1.92357e-06
3.61015e-01  1.91962e-06
3.62031e-01  1.91605e-06
3.63002e-01  1.91248e-06
3.64007e-01  1.90893e-06
3.65023e-01  1.85280e-06
3.65994e-01  1.84935e-06
3.68027e-01  1.84247e-06
3.68998e-01  1.78864e-06
3.71019e-01  1.78190e-06
3.71991e-01  1.82906e-06
3.73007e-01  1.82566e-06
3.74023e-01  1.87397e-06
3.74994e-01  1.92357e-06
3.77027e-01  1.91715e-06
3.77998e-01  1.96788e-06
3.79003e-01  1.96450e-06
3.79974e-01  3.25206e-03

# chain 1: 27 vertices
5.10016e-01  3.25206e-03
5.10987e-01  1.27159e-06
5.13020e-01  1.26874e-06
5.13991e-01  1.26735e-06
5.16012e-01  1.26450e-06
5.16984e-01  1.26306e-06
5.19016e-01  1.26029e-06
5.19987e-01  1.25884e-06
5.21004e-01  1.25770e-06
5.22020e-01  1.22072e-06
5.22980e-01  1.21932e-06
5.25012e-01  1.21659e-06
5.25984e-01  1.21525e-06
5.27000e-01  1.24926e-06
5.28016e-01  1.24789e-06
5.28987e-01  1.24646e-06
5.30004e-01  1.24509e-06
5.31009e-01  1.27969e-06
5.31980e-01  1.27823e-06
5.32996e-01  1.24046e-06
5.34012e-01  1.23904e-06
5.34984e-01  1.23745e-06
5.37016e-01  1.23373e-06
5.37987e-01  1.23167e-06
5.38992e-01  1.26499e-06
5.40009e-01  1.29890e-06
5.40980e-01  3.25206e-03

# chain 2: 307 vertices
5.56021e-01  3.25206e-03
5.56992e-01  1.27920e-06
5.58009e-01  1.27871e-06
5.58980e-01  1.27804e-06
5.59996e-01  1.27731e-06
