# NA62 K+ -> pi+ + invisible bound on the fermiophilic ALP (existing)
# From ALPINIST Figures/Bound_data/gY (commit sources/alpinist/COMMIT_SHA.txt),
# axis g_Y (dimensionless) converted to 1/f (BNT) = g_Y / v_h, v_h = 246 GeV.
# Date: 2026-07-11
# Excluded band lies between the two chains (lower, then upper).
# Format: chains separated by blank line; each row "mass_GeV  invf_GeV^-1"
# chain: 32 vertices (lower limit)
1.559490e-01  7.981791e-07
1.589419e-01  4.152057e-07
1.596991e-01  3.462738e-07
1.612242e-01  2.818796e-07
1.627640e-01  2.408421e-07
1.651012e-01  2.322543e-07
1.694736e-01  2.365092e-07
1.739619e-01  2.239726e-07
1.781451e-01  2.558666e-07
1.807032e-01  2.923023e-07
1.832981e-01  3.143184e-07
1.859302e-01  3.105371e-07
1.894985e-01  2.751383e-07
1.913083e-01  2.408421e-07
1.940554e-01  2.266998e-07
1.977797e-01  2.266998e-07
2.015754e-01  1.890635e-07
2.054440e-01  1.936957e-07
2.074061e-01  1.867890e-07
2.154435e-01  1.936957e-07
2.185372e-01  2.108210e-07
2.216753e-01  2.718284e-07
2.259296e-01  3.299094e-07
2.291739e-01  2.718284e-07
2.313626e-01  2.266998e-07
2.358028e-01  2.082848e-07
2.380548e-01  2.853119e-07
2.403283e-01  3.678755e-07
2.472799e-01  2.558666e-07
2.532263e-01  4.978597e-07
2.556447e-01  3.590777e-07
2.580862e-01  5.687555e-07

# chain: 25 vertices (upper limit)
1.537413e-01  3.826341e-04
1.627640e-01  3.689903e-04
1.714992e-01  3.431449e-04
1.863725e-01  3.040291e-04
2.006197e-01  2.693721e-04
2.093869e-01  2.415719e-04
2.103843e-01  1.126946e-04
2.118895e-01  4.505500e-06
2.128989e-01  3.021948e-06
2.154435e-01  2.127433e-06
2.206243e-01  1.670056e-06
2.227313e-01  1.553079e-06
2.248584e-01  1.168616e-06
2.280873e-01  1.133787e-06
2.302656e-01  1.190026e-06
2.313626e-01  1.401250e-06
2.352432e-01  1.326974e-06
2.380548e-01  1.029157e-06
2.414732e-01  9.008714e-07
2.461075e-01  9.398524e-07
2.490490e-01  8.740216e-07
2.508308e-01  7.513100e-07
2.532263e-01  6.190408e-07
2.568625e-01  6.656666e-07
2.587002e-01  5.353581e-07
