# CODEX-b 300 fb^-1 dark-scalar sensitivity, mixing-only (B -> K S) production
# Extracted from arXiv:1911.00481 (CODEX-b EOI), figures/B_decay_benchmark.pdf
# Date: 2026-07-11
# Source y axis is sin^2 theta.
# Format: chains separated by blank line; each row "mass_GeV  sin2theta"
# chain: 167 vertices
1.000294e-01  9.600990e-08
1.104262e-01  8.904201e-08
1.243932e-01  8.434077e-08
1.280159e-01  8.345872e-08
1.389876e-01  7.750185e-08
1.465128e-01  7.569880e-08
1.956388e-01  6.253011e-08
2.012243e-01  6.120918e-08
2.054037e-01  5.185845e-08
2.065401e-01  4.071485e-08
2.049436e-01  3.805025e-08
2.071192e-01  3.601091e-08
2.075137e-01  3.312878e-08
2.064098e-01  3.162279e-08
2.096700e-01  2.105418e-08
2.121619e-01  1.041975e-08
2.119661e-01  9.921349e-09
2.122169e-01  9.143189e-09
2.127672e-01  8.659653e-09
2.122845e-01  8.189928e-09
2.124780e-01  7.640886e-09
2.134258e-01  7.196861e-09
2.128257e-01  6.728947e-09
2.129588e-01  6.415117e-09
2.141805e-01  5.981165e-09
2.133657e-01  5.528879e-09
2.134388e-01  5.385773e-09
2.148040e-01  4.970831e-09
2.139179e-01  4.521394e-09
2.154180e-01  4.131157e-09
2.146535e-01  3.816140e-09
2.147733e-01  3.707417e-09
2.160104e-01  3.433320e-09
2.154321e-01  3.223621e-09
2.157520e-01  3.018754e-09
2.166732e-01  2.853366e-09
2.184703e-01  1.772436e-09
2.195161e-01  1.637895e-09
2.193705e-01  1.607865e-09
2.204826e-01  1.418565e-09
2.219192e-01  1.361221e-09
2.217159e-01  1.273819e-09
2.221426e-01  1.219415e-09
2.243203e-01  1.131285e-09
2.245475e-01  1.063748e-09
2.276399e-01  9.263111e-10
2.321190e-01  8.529816e-10
2.371944e-01  7.001258e-10
2.407975e-01  6.493824e-10
2.485760e-01  5.538446e-10
2.495000e-01  5.396885e-10
2.591307e-01  4.612611e-10
2.683321e-01  3.624259e-10
2.739185e-01  2.824794e-10
2.755261e-01  2.574627e-10
2.768106e-01  2.461254e-10
2.795945e-01  2.032940e-10
2.869070e-01  1.778280e-10
2.913297e-01  1.672739e-10
3.021694e-01  1.447726e-10
3.187713e-01  1.228248e-10
3.434068e-01  1.012793e-10
3.717024e-01  8.367709e-11
3.920623e-01  7.347119e-11
4.926902e-01  4.674898e-11
5.227059e-01  4.213479e-11
7.413193e-01  2.448391e-11
7.952403e-01  2.088219e-11
8.484803e-01  1.717848e-11
8.618774e-01  1.604566e-11
8.743678e-01  1.526651e-11
8.986503e-01  1.333522e-11
9.211999e-01  1.157611e-11
9.345563e-01  1.108265e-11
9.442394e-01  1.029358e-11
9.598644e-01  9.986669e-12
9.875309e-01  9.752278e-12
1.000152e+00  9.785856e-12
1.053810e+00  1.054047e-11
1.087039e+00  1.108265e-11
1.150526e+00  1.236851e-11
1.197500e+00  1.333522e-11
1.289464e+00  1.552122e-11
1.337967e+00  1.627795e-11
1.401502e+00  1.666923e-11
1.706847e+00  1.494940e-11
1.753114e+00  1.504089e-11
1.930913e+00  1.584124e-11
1.944260e+00  1.604566e-11
2.011957e+00  1.757220e-11
2.086625e+00  1.971749e-11
2.118300e+00  2.323120e-11
2.140099e+00  2.547479e-11
2.138210e+00  3.702972e-11
2.124868e+00  4.047093e-11
2.121244e+00  4.267427e-11
2.096403e+00  5.056050e-11
2.070286e+00  6.199516e-11
1.972625e+00  1.020772e-10
1.926100e+00  1.242118e-10
1.869340e+00  1.536957e-10
1.835140e+00  1.778280e-10
1.778486e+00  2.182181e-10
1.691219e+00  3.228852e-10
1.638093e+00  4.035509e-10
1.540391e+00  5.924694e-10
1.429067e+00  8.860993e-10
1.389678e+00  9.883210e-10
1.342518e+00  9.684854e-10
1.326041e+00  9.401878e-10
1.276442e+00  7.911565e-10
1.228418e+00  6.054978e-10
1.178936e+00  4.352085e-10
1.152355e+00  3.727598e-10
1.109693e+00  2.809681e-10
1.085871e+00  2.365449e-10
1.042130e+00  1.660893e-10
1.023084e+00  1.334554e-10
1.011769e+00  1.166047e-10
1.000152e+00  1.032828e-10
9.788889e-01  1.115031e-10
9.782790e-01  1.127577e-10
9.578755e-01  1.491754e-10
