# FASER2 dark-scalar sensitivity (dark-green solid curve of the PBC BC5 figure)
# Extracted from arXiv:2505.00947v2 / pbc_bc5_gray_final.pdf
# Date: 2026-07-11
# FASER2 is forward and B-decay dominated, so the BC5 BR(h->SS)=0.01
# component is irrelevant and the curve carries over to BC4.
# Source y axis is sin(theta); values below are squared to sin^2(theta).
# Format: chains separated by blank line; each row "mass_GeV  sin2theta"
# chain: 124 vertices
1.000001e-01  9.852838e-07
1.122001e-01  8.980920e-07
1.258901e-01  7.971418e-07
1.412501e-01  7.211592e-07
1.584901e-01  6.317919e-07
1.586784e-01  6.309535e-07
1.778301e-01  5.649504e-07
1.995301e-01  4.975447e-07
2.009043e-01  3.981045e-07
2.038894e-01  2.511867e-07
2.068452e-01  1.584880e-07
2.097838e-01  9.999907e-08
2.127121e-01  6.309534e-08
2.156331e-01  3.981043e-08
2.185468e-01  2.511867e-08
2.214499e-01  1.584879e-08
2.238702e-01  1.085379e-08
2.262645e-01  9.999923e-09
2.408851e-01  6.309520e-09
2.511902e-01  4.587528e-09
2.561114e-01  3.981035e-09
2.727964e-01  2.511866e-09
2.818402e-01  1.956340e-09
2.905281e-01  1.584879e-09
3.096130e-01  9.999920e-10
3.162302e-01  8.537014e-10
3.474701e-01  6.309518e-10
3.548103e-01  5.906927e-10
3.981103e-01  4.489108e-10
4.152396e-01  3.981034e-10
4.466804e-01  3.224029e-10
4.978010e-01  2.511865e-10
5.011904e-01  2.473945e-10
5.623404e-01  1.972659e-10
6.309605e-01  1.607777e-10
6.353269e-01  1.584878e-10
7.079505e-01  1.285689e-10
7.943306e-01  1.035425e-10
8.000102e-01  9.999899e-11
8.742344e-01  6.309516e-11
8.912506e-01  5.661133e-11
9.365815e-01  3.981032e-11
9.856016e-01  2.511860e-11
1.000001e+00  2.190292e-11
1.011857e+00  2.511860e-11
1.052038e+00  3.981032e-11
1.103259e+00  6.309516e-11
1.122021e+00  7.308927e-11
1.258931e+00  9.024305e-11
1.412541e+00  9.654859e-11
1.476577e+00  9.999899e-11
1.584891e+00  1.072074e-10
1.778281e+00  1.063362e-10
1.909782e+00  9.999899e-11
1.995262e+00  9.691973e-11
2.238722e+00  8.861731e-11
2.511891e+00  7.948952e-11
2.818381e+00  7.244358e-11
3.162283e+00  7.062406e-11
3.548133e+00  8.350517e-11
3.674394e+00  9.999899e-11
3.770390e+00  1.584878e-10
3.765571e+00  2.511865e-10
3.728455e+00  3.981034e-10
3.681214e+00  6.309518e-10
3.631772e+00  9.999920e-10
3.584345e+00  1.584879e-09
3.548133e+00  2.309188e-09
3.477682e+00  2.511866e-09
3.162283e+00  3.579485e-09
3.077990e+00  3.981035e-09
2.818381e+00  5.462227e-09
2.731120e+00  6.309520e-09
2.511891e+00  9.151611e-09
2.465559e+00  9.999923e-09
2.238722e+00  1.548782e-08
2.224865e+00  1.584879e-08
1.995262e+00  2.330322e-08
1.903415e+00  2.511867e-08
1.778281e+00  2.766628e-08
1.584891e+00  2.860293e-08
1.412541e+00  3.108365e-08
1.272275e+00  3.981043e-08
1.258931e+00  4.073736e-08
1.240488e+00  3.981043e-08
1.122021e+00  3.391900e-08
1.107998e+00  2.511867e-08
1.082515e+00  1.584879e-08
1.050696e+00  9.999923e-09
1.010727e+00  6.309520e-09
1.000001e+00  5.627761e-09
9.909942e-01  6.309520e-09
9.574093e-01  9.999923e-09
9.305339e-01  1.584879e-08
9.087409e-01  2.511867e-08
8.912506e-01  3.980609e-08
8.912369e-01  3.981043e-08
8.367649e-01  6.309534e-08
7.954667e-01  9.999907e-08
7.943306e-01  1.013719e-07
7.300817e-01  1.584880e-07
7.079505e-01  1.881178e-07
6.603218e-01  2.511867e-07
6.309605e-01  3.043700e-07
5.905957e-01  3.981045e-07
5.623404e-01  4.866097e-07
5.255717e-01  6.309535e-07
5.011904e-01  7.619919e-07
4.700272e-01  9.999910e-07
4.466804e-01  1.242213e-06
4.234029e-01  1.584880e-06
3.981103e-01  2.124999e-06
3.849284e-01  2.511868e-06
3.548103e-01  3.889628e-06
3.533631e-01  3.981046e-06
3.266871e-01  6.309537e-06
3.162302e-01  7.794173e-06
3.088062e-01  9.999951e-06
2.973505e-01  1.584881e-05
2.886677e-01  2.511869e-05
2.823222e-01  3.981047e-05
2.818402e-01  4.145059e-05
2.714180e-01  6.309539e-05
2.624368e-01  9.999954e-05

# chain: 8 vertices
6.637112e+00  1.131671e-07
6.079457e+00  6.688886e-08
5.568657e+00  3.953551e-08
5.100774e+00  2.336796e-08
4.672203e+00  1.381193e-08
4.279641e+00  8.163717e-09
3.920062e+00  4.825269e-09
3.590696e+00  2.852036e-09
