# SHiP BC4 dark-scalar sensitivity
# PUBLISHED SOURCE (cite this): arXiv:2310.17726 (PBC, Post-LS3 Options in
# ECN3), Fig 9-PhysicsPotential/BC4.pdf, red SHiP curve.
# Traced from the identical, cleaner two-colour rendering in
# arXiv:2504.06692 figs/BC4.pdf (SHiP source figure, commented out of the
# published PDF); verified to overlay the 2310.17726 SHiP contour.
# Date: 2026-07-11
# Source y axis is theta^2 (= sin^2 theta at these mixings).
# Clipped to the figure frame m_S in [0.1, 5.5] GeV.
# Format: chains separated by blank line; each row "mass_GeV  sin2theta"
# chain: 627 vertices
4.999813e+00  7.460189e-12
4.999813e+00  6.228467e-12
4.955347e+00  5.912360e-12
4.915243e+00  5.654273e-12
4.890083e+00  5.501114e-12
4.863474e+00  5.352474e-12
4.822228e+00  5.137028e-12
4.797702e+00  4.922551e-12
4.792240e+00  4.613421e-12
4.791323e+00  4.566199e-12
4.785270e+00  4.285522e-12
4.780734e+00  4.065716e-12
4.777316e+00  3.917320e-12
4.772352e+00  3.730931e-12
4.768780e+00  3.583803e-12
4.762439e+00  3.357792e-12
4.758598e+00  3.247884e-12
4.756579e+00  3.161023e-12
4.746858e+00  2.875934e-12
4.744213e+00  2.826772e-12
4.743779e+00  2.788717e-12
4.737469e+00  2.637622e-12
4.730855e+00  2.467779e-12
4.730697e+00  2.461657e-12
4.729909e+00  2.460958e-12
4.730541e+00  2.460260e-12
4.717181e+00  2.174187e-12
4.715651e+00  2.142485e-12
4.713650e+00  2.103618e-12
4.703546e+00  1.920288e-12
4.700340e+00  1.865225e-12
4.696238e+00  1.797780e-12
4.689679e+00  1.696521e-12
4.684651e+00  1.623845e-12
4.678265e+00  1.535429e-12
4.675658e+00  1.499253e-12
4.669012e+00  1.413703e-12
4.661408e+00  1.325300e-12
4.660206e+00  1.310619e-12
4.652809e+00  1.230755e-12
4.647044e+00  1.171781e-12
4.601965e+00  1.084025e-12
4.600627e+00  1.072929e-12
4.600472e+00  1.071482e-12
4.600627e+00  1.069964e-12
4.600015e+00  9.346109e-13
4.600015e+00  9.307068e-13
4.599746e+00  8.138933e-13
4.598980e+00  8.120483e-13
4.497340e+00  7.931411e-13
4.476477e+00  7.951136e-13
4.459346e+00  7.964681e-13
4.362060e+00  8.048773e-13
4.354411e+00  8.055626e-13
4.348186e+00  8.062485e-13
4.296381e+00  8.120483e-13
4.294702e+00  8.127397e-13
4.254952e+00  8.305209e-13
4.235777e+00  8.395278e-13
4.183678e+00  8.638213e-13
4.175265e+00  8.679371e-13
4.120275e+00  8.947659e-13
4.096935e+00  9.065245e-13
4.047047e+00  9.327568e-13
4.019906e+00  9.468275e-13
4.007920e+00  9.534342e-13
3.972014e+00  1.024129e-12
3.952833e+00  1.071482e-12
3.934137e+00  1.120948e-12
3.898631e+00  1.221187e-12
3.896589e+00  1.227353e-12
3.896233e+00  1.230755e-12
3.891406e+00  1.242339e-12
3.858789e+00  1.342623e-12
3.845173e+00  1.386876e-12
3.837663e+00  1.413703e-12
3.821388e+00  1.468821e-12
3.792447e+00  1.570694e-12
3.782587e+00  1.602782e-12
3.776928e+00  1.623845e-12
3.748199e+00  1.722113e-12
3.742124e+00  1.744744e-12
3.710635e+00  1.865225e-12
3.701972e+00  1.898609e-12
3.689001e+00  1.931495e-12
3.661307e+00  1.999123e-12
3.648966e+00  2.028129e-12
3.638418e+00  2.054639e-12
3.604772e+00  2.142485e-12
3.595999e+00  2.165255e-12
3.588409e+00  2.184547e-12
3.543563e+00  2.310998e-12
3.496340e+00  2.441303e-12
3.490674e+00  2.441996e-12
3.485220e+00  2.441996e-12
3.400124e+00  2.444768e-12
3.390945e+00  2.444768e-12
3.306527e+00  2.448069e-12
3.302872e+00  2.448763e-12
3.299549e+00  2.448763e-12
3.215534e+00  2.451544e-12
3.210403e+00  2.451544e-12
3.187971e+00  2.460958e-12
3.135979e+00  2.503584e-12
3.125303e+00  2.511947e-12
3.109202e+00  2.525890e-12
3.064962e+00  2.563993e-12
3.040080e+00  2.584815e-12
3.002962e+00  2.617859e-12
2.995752e+00  2.625859e-12
2.957256e+00  2.678170e-12
2.932664e+00  2.711639e-12
2.887379e+00  2.774897e-12
2.876616e+00  2.790299e-12
2.870641e+00  2.798032e-12
2.850014e+00  2.826772e-12
2.809555e+00  2.885341e-12
2.798175e+00  2.900733e-12
2.778161e+00  2.930528e-12
2.749496e+00  2.973892e-12
2.721963e+00  3.016185e-12
2.690921e+00  3.066030e-12
2.673387e+00  3.094224e-12
2.647718e+00  3.136449e-12
2.633310e+00  3.160127e-12
2.581974e+00  3.247884e-12
2.575518e+00  3.258734e-12
2.573099e+00  3.263359e-12
2.521615e+00  3.354935e-12
2.505371e+00  3.384826e-12
2.479540e+00  3.420800e-12
2.465084e+00  3.439787e-12
2.437053e+00  3.476105e-12
2.433792e+00  3.481039e-12
2.408399e+00  3.516040e-12
2.396769e+00  3.530544e-12
2.370579e+00  3.564021e-12
2.352097e+00  3.586854e-12
2.318553e+00  3.629870e-12
2.306013e+00  3.645877e-12
2.296883e+00  3.657019e-12
2.245390e+00  3.711132e-12
2.243132e+00  3.713238e-12
2.241304e+00  3.715346e-12
2.226570e+00  3.730931e-12
2.212374e+00  3.746321e-12
2.187071e+00  3.774603e-12
2.181965e+00  3.778627e-12
2.175514e+00  3.786138e-12
2.133936e+00  3.832365e-12
2.122519e+00  3.846257e-12
2.107742e+00  3.863487e-12
