# SHiP curve of the PBC BC5 figure -- cross-check only (plot ship_bc4.dat instead)
# Extracted from arXiv:2505.00947v2 / pbc_bc5_gray_final.pdf
# Date: 2026-07-11
# Source y axis is sin(theta); values below are squared to sin^2(theta).
# Format: chains separated by blank line; each row "mass_GeV  sin2theta"
# chain: 216 vertices
2.100002e-02  1.656001e-07
2.100002e-02  9.999957e-04
2.378466e-01  9.999957e-04
2.466600e-01  6.413896e-04
2.554789e-01  4.546973e-04
2.649420e-01  3.369573e-04
2.754070e-01  2.565651e-04
2.799523e-01  2.308167e-04
2.812611e-01  1.403313e-04
2.842359e-01  7.128823e-05
2.858710e-01  5.884249e-05
2.899564e-01  4.558669e-05
2.958130e-01  3.542447e-05
3.025660e-01  2.814875e-05
3.109728e-01  2.244744e-05
3.251695e-01  1.650461e-05
3.350020e-01  1.377975e-05
3.477077e-01  1.136219e-05
3.530771e-01  1.041381e-05
3.653942e-01  8.553803e-06
3.790680e-01  7.148988e-06
3.958946e-01  5.955189e-06
4.048142e-01  5.372087e-06
4.193676e-01  4.539827e-06
4.368913e-01  3.833618e-06
4.583592e-01  3.150105e-06
4.769130e-01  2.659319e-06
5.161074e-01  1.915560e-06
5.393555e-01  1.595071e-06
5.706827e-01  1.305493e-06
6.071980e-01  1.055503e-06
6.317993e-01  8.859125e-07
6.670793e-01  7.239695e-07
7.048980e-01  5.950396e-07
7.310670e-01  4.879477e-07
7.647610e-01  3.984835e-07
8.057182e-01  3.186704e-07
8.300650e-01  2.618522e-07
8.534308e-01  2.202729e-07
8.743901e-01  1.786483e-07
8.953765e-01  1.509233e-07
9.010826e-01  1.426978e-07
9.154818e-01  1.100051e-07
9.324541e-01  8.692099e-08
9.469255e-01  7.391530e-08
9.509090e-01  7.009560e-08
9.656690e-01  5.160995e-08
9.762743e-01  4.338629e-08
9.931882e-01  3.471189e-08
9.977912e-01  3.303519e-08
1.000825e+00  3.286773e-08
1.022775e+00  5.119599e-08
1.041692e+00  6.596566e-08
1.055165e+00  7.820864e-08
1.080064e+00  9.547570e-08
1.103893e+00  1.164748e-07
1.176086e+00  1.336623e-07
1.200808e+00  1.402515e-07
1.326111e+00  1.093179e-07
1.402739e+00  9.187709e-08
1.510787e+00  7.780343e-08
1.617933e+00  6.272311e-08
1.729849e+00  5.342682e-08
1.833272e+00  4.652453e-08
2.031034e+00  3.387724e-08
2.723276e+00  1.263466e-08
2.939257e+00  9.259176e-09
3.085097e+00  7.282106e-09
3.207460e+00  6.070621e-09
3.380163e+00  4.899135e-09
3.542076e+00  4.050556e-09
3.601826e+00  3.717321e-09
3.724268e+00  2.640105e-09
3.907445e+00  1.350896e-09
4.014969e+00  9.375123e-10
4.128822e+00  6.764336e-10
4.269101e+00  4.771551e-10
4.425745e+00  3.422471e-10
4.701657e+00  2.066604e-10
4.760684e+00  1.714390e-10
4.771758e+00  1.580408e-10
4.798409e+00  7.815784e-11
4.803103e+00  7.320565e-11
4.916034e+00  5.839160e-11
4.979583e+00  4.942834e-11
5.025937e+00  4.171266e-11
5.054032e+00  3.559859e-11
5.069718e+00  2.927863e-11
5.070016e+00  1.366434e-11
5.056923e+00  9.670430e-12
5.027290e+00  8.135759e-12
4.976727e+00  6.936374e-12
4.943715e+00  6.496876e-12
4.894562e+00  6.085224e-12
4.821663e+00  5.740968e-12
4.808061e+00  5.699656e-12
4.799378e+00  5.474852e-12
4.766591e+00  1.294992e-12
4.731524e+00  1.050532e-12
4.685470e+00  9.255492e-13
4.636474e+00  8.751451e-13
4.560959e+00  8.449249e-13
4.466920e+00  8.302155e-13
4.122938e+00  8.626763e-13
4.053670e+00  8.961045e-13
3.892315e+00  1.010906e-12
3.766495e+00  1.124183e-12
3.658218e+00  1.184605e-12
3.531955e+00  1.215365e-12
3.247917e+00  1.275378e-12
3.102189e+00  1.361480e-12
2.865286e+00  1.619283e-12
2.608447e+00  1.998962e-12
2.600784e+00  1.873143e-12
2.598460e+00  4.271687e-13
2.540414e+00  3.924465e-13
2.491165e+00  3.895345e-13
2.379542e+00  4.254584e-13
2.309800e+00  4.664370e-13
2.300640e+00  4.637019e-13
2.300010e+00  4.437646e-13
2.291239e+00  4.437646e-13
2.237922e+00  4.531381e-13
2.207261e+00  4.491013e-13
2.117484e+00  4.237893e-13
2.034329e+00  3.909819e-13
1.958872e+00  3.689810e-13
1.822955e+00  3.413153e-13
1.738540e+00  3.163147e-13
1.658868e+00  2.941959e-13
1.554566e+00  2.742895e-13
1.487966e+00  2.628613e-13
1.388257e+00  2.356587e-13
1.192233e+00  2.306060e-13
1.097801e+00  1.662382e-13
1.044068e+00  9.649513e-14
1.011828e+00  6.227422e-14
9.909813e-01  4.911047e-14
9.890811e-01  4.926144e-14
9.397759e-01  1.051321e-13
8.938659e-01  1.894902e-13
8.383836e-01  2.884974e-13
7.923984e-01  3.822458e-13
6.738143e-01  6.849000e-13
6.026674e-01  9.733965e-13
5.730820e-01  1.151532e-12
5.276147e-01  1.498300e-12
4.999393e-01  1.769889e-12
4.986450e-01  1.873143e-12
4.934904e-01  1.963563e-12
4.628915e-01  2.394438e-12
4.534176e-01  2.433788e-12
4.251071e-01  3.056414e-12
3.907064e-01  4.188150e-12
3.443773e-01  7.190792e-12
3.174889e-01  1.096806e-11
2.994087e-01  1.658308e-11
2.882630e-01  2.599896e-11
2.860582e-01  2.995544e-11
2.851424e-01  3.019385e-11
2.847533e-01  3.598004e-11
2.825355e-01  5.493016e-11
2.819886e-01  5.634196e-11
2.799523e-01  8.482723e-11
2.672619e-01  1.084209e-10
2.645786e-01  1.146288e-10
2.599925e-01  1.161593e-10
2.599213e-01  1.242593e-10
2.593066e-01  1.290352e-10
2.576530e-01  1.316240e-10
2.548175e-01  1.319462e-10
2.500089e-01  1.504020e-10
2.499136e-01  1.568581e-10
2.474012e-01  1.663754e-10
2.372926e-01  2.313286e-10
2.308435e-01  2.930916e-10
2.300002e-01  3.090031e-10
2.298177e-01  3.412206e-10
2.287329e-01  3.465290e-10
2.282283e-01  3.467226e-10
2.259435e-01  4.014900e-10
2.197969e-01  6.079623e-10
2.164688e-01  1.029782e-09
2.159956e-01  1.071757e-09
2.155853e-01  1.221666e-09
