# "Currently excluded" gray region from the BC5 fig (mixing-only limits, valid for BC4)
# Extracted from arXiv:2505.00947v2 / Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc5_gray_final.pdf
# Date: 2026-07-10
# Source y axis is sin(theta); values below are squared to sin^2(theta).
# Format: subpaths separated by blank line; each row is "mass_GeV  sin2theta"
# Source experiments per caption: E949, NA62, MicroBooNE, KOTO, ICARUS,
# LHCb, BelleII, plus reinterpretations of PS191, CHARM, LSND.
# mass_GeV  sin2theta
# subpath 0: 208 vertices
5.03896e-02  1.74262e-08
5.57333e-02  1.58855e-08
6.00088e-02  1.58855e-08
6.59281e-02  1.74262e-08
7.19461e-02  1.91163e-08
7.95757e-02  1.91163e-08
8.92053e-02  2.89940e-08
9.28752e-02  2.76826e-08
1.01353e-01  3.18060e-08
1.08397e-01  5.54262e-08
1.13618e-01  1.01163e-07
1.56863e-01  8.80481e-08
1.58986e-01  3.18060e-08
1.63317e-01  1.38261e-08
1.70036e-01  1.26037e-08
1.74668e-01  1.20337e-08
1.81854e-01  2.19637e-08
1.85557e-01  2.40938e-08
1.94493e-01  1.20337e-08
1.97125e-01  1.20337e-08
2.01139e-01  8.70351e-09
2.13678e-01  8.30987e-09
2.16569e-01  3.78343e-09
2.20979e-01  1.88964e-09
2.30070e-01  1.08436e-09
2.47720e-01  8.60339e-10
2.70332e-01  8.21427e-10
2.93033e-01  9.43779e-10
2.99000e-01  1.24587e-09
2.93033e-01  1.64466e-09
3.07145e-01  1.97915e-09
3.15513e-01  3.14401e-09
3.15513e-01  4.55290e-09
3.05088e-01  6.90545e-09
2.91071e-01  1.26037e-08
2.75837e-01  2.00218e-08
2.81454e-01  4.82407e-08
2.81454e-01  2.67382e-07
2.81454e-01  5.87275e-07
2.96998e-01  4.24754e-07
3.11301e-01  3.87201e-07
3.15513e-01  4.65949e-07
3.30708e-01  4.05544e-07
3.42008e-01  4.05544e-07
3.58479e-01  3.52968e-07
3.70727e-01  2.93315e-07
3.85979e-01  3.52968e-07
4.15589e-01  2.93315e-07
4.78572e-01  2.55289e-07
4.98260e-01  2.43742e-07
5.05002e-01  1.76290e-07
5.25778e-01  1.33544e-07
5.66112e-01  1.33544e-07
5.89403e-01  1.10974e-07
6.43204e-01  1.01163e-07
6.69666e-01  9.65875e-08
6.92547e-01  1.01163e-07
7.16210e-01  8.80481e-08
7.50703e-01  8.80481e-08
8.13742e-01  8.80481e-08
8.41546e-01  7.66335e-08
8.70300e-01  7.31676e-08
9.00037e-01  6.98582e-08
9.49743e-01  9.22192e-08
9.62593e-01  1.05955e-07
1.00219e+00  6.36819e-08
1.03644e+00  7.66335e-08
1.06467e+00  6.98582e-08
1.08635e+00  8.40659e-08
1.11595e+00  5.80519e-08
1.15408e+00  5.54262e-08
1.18552e+00  4.82407e-08
1.22602e+00  4.60589e-08
1.27646e+00  5.05258e-08
1.38365e+00  4.19868e-08
1.52013e+00  3.65435e-08
1.69267e+00  3.33127e-08
1.82253e+00  3.18060e-08
2.01580e+00  3.03675e-08
2.24460e+00  2.76826e-08
2.61974e+00  2.64306e-08
2.91709e+00  2.52352e-08
2.93676e+00  9.54766e-01
3.18337e+00  9.99997e-01
3.20483e+00  2.40938e-08
3.33668e+00  2.30041e-08
3.40462e+00  2.52352e-08
3.56859e+00  2.30041e-08
3.59265e+00  9.99997e-01
3.76567e+00  9.99997e-01
3.76567e+00  1.28988e-06
3.86826e+00  1.62575e-06
3.86826e+00  2.40938e-08
4.00043e+00  3.18060e-08
4.05455e+00  5.54262e-08
4.08189e+00  8.40659e-08
4.08189e+00  7.75253e-07
4.08189e+00  2.24779e-06
4.13711e+00  3.91707e-06
4.27847e+00  4.50053e-06
4.27847e+00  8.11980e-07
4.30732e+00  1.53436e-07
4.51476e+00  2.43742e-07
4.66902e+00  7.75253e-07
4.73219e+00  2.04906e-06
4.70050e+00  1.20338e+00
4.70050e+00  9.99997e-01
4.73219e+00  9.99997e-01
4.66902e+00  9.99997e-01
4.51476e+00  9.99997e-01
4.30732e+00  9.99997e-01
4.27847e+00  9.99997e-01
4.13711e+00  9.99997e-01
4.08189e+00  9.99997e-01
4.05455e+00  9.99997e-01
4.00043e+00  9.99997e-01
3.86826e+00  9.99997e-01
3.76567e+00  9.99997e-01
3.59265e+00  9.99997e-01
3.56859e+00  9.99997e-01
3.40462e+00  9.99997e-01
3.33668e+00  9.99997e-01
3.20483e+00  9.99997e-01
3.18337e+00  9.99997e-01
2.93676e+00  9.99997e-01
2.91709e+00  9.99997e-01
2.61974e+00  9.99997e-01
