# ArgoNeuT  (HNLimits id: argoneut)
# Scenario: 001, single tau-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
2.34188034e-01  6.52447007e-01
2.42268842e-01  5.95368985e-01
2.52836053e-01  4.63823204e-01
2.61538462e-01  3.08492094e-01
2.82051282e-01  1.30904592e-01
2.96348096e-01  7.74897108e-02
3.21833722e-01  3.91614259e-02
3.34887335e-01  2.92652657e-02
3.55400155e-01  1.99566395e-02
3.74048174e-01  1.43056995e-02
3.90209790e-01  1.11448791e-02
4.01398601e-01  9.75537653e-03
4.17560218e-01  7.79208494e-03
4.36829837e-01  6.22391017e-03
4.60450660e-01  4.65111729e-03
4.89044289e-01  3.47577189e-03
5.05827506e-01  2.94280923e-03
5.30691531e-01  2.33108061e-03
5.54312354e-01  1.90901923e-03
5.67365967e-01  1.69905679e-03
5.79797980e-01  1.53756824e-03
5.86013986e-01  1.47489842e-03
5.95959596e-01  1.33471523e-03
6.14607615e-01  1.13949892e-03
6.23310023e-01  1.09305403e-03
6.33877234e-01  9.97430379e-04
6.44444444e-01  9.40982158e-04
6.55633256e-01  8.51545567e-04
6.63092463e-01  8.10067383e-04
6.82362082e-01  6.97366218e-04
7.12198912e-01  5.85540975e-04
7.22766123e-01  5.34316093e-04
7.50116550e-01  4.48636538e-04
7.79953380e-01  3.79844186e-04
7.89898990e-01  3.52432024e-04
7.99844600e-01  3.35265308e-04
8.11655012e-01  3.05935293e-04
8.29681430e-01  2.88621298e-04
8.40870241e-01  2.65572925e-04
8.57031857e-01  2.48466668e-04
8.69463869e-01  2.30535608e-04
8.78787879e-01  2.26730058e-04
8.96814297e-01  2.10367661e-04
9.17948718e-01  1.91964067e-04
9.39083139e-01  1.98462187e-04
9.55866356e-01  2.03479727e-04
9.67676768e-01  2.17488756e-04
9.77622378e-01  2.40331282e-04
9.82595183e-01  2.70030433e-04
9.86946387e-01  3.18934771e-04
9.87567988e-01  3.52432024e-04
9.88189588e-01  4.02630517e-04
9.88189588e-01  3.46614277e-04
2.34188034e-01  6.52447007e-01
4.71017871e-01  6.10421161e-01
4.81585082e-01  4.83531489e-01
5.07070707e-01  3.46614277e-01
5.33799534e-01  2.54748425e-01
5.57420357e-01  1.91964067e-01
5.67987568e-01  1.76634431e-01
5.84770785e-01  1.44653310e-01
5.96581197e-01  1.31998605e-01
6.08391608e-01  1.11758402e-01
6.16472416e-01  1.06314729e-01
6.24553225e-01  9.62099393e-02
6.40093240e-01  8.14574454e-02
6.50038850e-01  7.37152413e-02
6.69308469e-01  5.93719602e-02
6.79254079e-01  5.37288932e-02
6.96037296e-01  4.36361522e-02
7.11577312e-01  3.72539004e-02
7.27738928e-01  3.12801001e-02
7.46386946e-01  2.49849091e-02
7.70007770e-01  1.89845656e-02
7.87412587e-01  1.51638788e-02
8.06060606e-01  1.22133387e-02
8.13519814e-01  1.08700612e-02
8.34654235e-01  8.46833938e-03
8.57653458e-01  6.27592541e-03
8.83760684e-01  4.42456464e-03
8.90598291e-01  3.87292618e-03
9.09867910e-01  2.96740326e-03
9.27894328e-01  2.12715068e-03
9.45920746e-01  1.49965385e-03
9.59595960e-01  1.16830784e-03
9.76379176e-01  7.45377995e-04
9.80730381e-01  6.57899719e-04
9.84459984e-01  5.71102311e-04
9.86946387e-01  4.83531489e-04
9.88189588e-01  3.86219680e-04
9.88189588e-01  3.46614277e-04

# top
2.34188034e-01  6.52447007e-01
2.42268842e-01  5.95368985e-01
2.52836053e-01  4.63823204e-01
2.61538462e-01  3.08492094e-01
2.82051282e-01  1.30904592e-01
2.96348096e-01  7.74897108e-02
3.21833722e-01  3.91614259e-02
3.34887335e-01  2.92652657e-02
3.55400155e-01  1.99566395e-02
3.74048174e-01  1.43056995e-02
3.90209790e-01  1.11448791e-02
4.01398601e-01  9.75537653e-03
4.17560218e-01  7.79208494e-03
4.36829837e-01  6.22391017e-03
4.60450660e-01  4.65111729e-03
4.89044289e-01  3.47577189e-03
5.05827506e-01  2.94280923e-03
5.30691531e-01  2.33108061e-03
5.54312354e-01  1.90901923e-03
5.67365967e-01  1.69905679e-03
5.79797980e-01  1.53756824e-03
5.86013986e-01  1.47489842e-03
5.95959596e-01  1.33471523e-03
6.14607615e-01  1.13949892e-03
6.23310023e-01  1.09305403e-03
6.33877234e-01  9.97430379e-04
6.44444444e-01  9.40982158e-04
6.55633256e-01  8.51545567e-04
6.63092463e-01  8.10067383e-04
6.82362082e-01  6.97366218e-04
7.12198912e-01  5.85540975e-04
7.22766123e-01  5.34316093e-04
7.50116550e-01  4.48636538e-04
7.79953380e-01  3.79844186e-04
7.89898990e-01  3.52432024e-04
7.99844600e-01  3.35265308e-04
8.11655012e-01  3.05935293e-04
8.29681430e-01  2.88621298e-04
8.40870241e-01  2.65572925e-04
8.57031857e-01  2.48466668e-04
8.69463869e-01  2.30535608e-04
8.78787879e-01  2.26730058e-04
8.96814297e-01  2.10367661e-04
9.17948718e-01  1.91964067e-04
9.39083139e-01  1.98462187e-04
9.55866356e-01  2.03479727e-04
9.67676768e-01  2.17488756e-04
9.77622378e-01  2.40331282e-04
9.82595183e-01  2.70030433e-04
9.86946387e-01  3.18934771e-04
9.87567988e-01  3.52432024e-04
9.88189588e-01  4.02630517e-04
9.88189588e-01  3.46614277e-04
2.34188034e-01  6.52447007e-01
4.71017871e-01  6.10421161e-01
4.81585082e-01  4.83531489e-01
5.07070707e-01  3.46614277e-01
5.33799534e-01  2.54748425e-01
5.57420357e-01  1.91964067e-01
5.67987568e-01  1.76634431e-01
5.84770785e-01  1.44653310e-01
5.96581197e-01  1.31998605e-01
6.08391608e-01  1.11758402e-01
6.16472416e-01  1.06314729e-01
6.24553225e-01  9.62099393e-02
6.40093240e-01  8.14574454e-02
6.50038850e-01  7.37152413e-02
6.69308469e-01  5.93719602e-02
6.79254079e-01  5.37288932e-02
6.96037296e-01  4.36361522e-02
7.11577312e-01  3.72539004e-02
7.27738928e-01  3.12801001e-02
7.46386946e-01  2.49849091e-02
7.70007770e-01  1.89845656e-02
7.87412587e-01  1.51638788e-02
8.06060606e-01  1.22133387e-02
8.13519814e-01  1.08700612e-02
8.34654235e-01  8.46833938e-03
8.57653458e-01  6.27592541e-03
8.83760684e-01  4.42456464e-03
8.90598291e-01  3.87292618e-03
9.09867910e-01  2.96740326e-03
9.27894328e-01  2.12715068e-03
9.45920746e-01  1.49965385e-03
9.59595960e-01  1.16830784e-03
9.76379176e-01  7.45377995e-04
9.80730381e-01  6.57899719e-04
9.84459984e-01  5.71102311e-04
9.86946387e-01  4.83531489e-04
9.88189588e-01  3.86219680e-04
9.88189588e-01  3.46614277e-04
