# BEBC\\(Barouki et al)  (HNLimits id: bebc_barouki)
# Scenario: 001, single tau-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.45769151e-01  6.95816947e-03
1.45769151e-01  1.05336801e-04
1.99588227e-01  7.03964399e-05
2.35034194e-01  5.28585407e-05
2.87359193e-01  3.64448944e-05
3.24493064e-01  2.66056210e-05
3.61626934e-01  1.99702611e-05
4.09884275e-01  1.37985854e-05
4.35894675e-01  1.22661922e-05
4.73028545e-01  1.05800639e-05
5.10162416e-01  9.08800626e-06
5.47296286e-01  7.81560702e-06
5.84430156e-01  6.72931074e-06
6.21564027e-01  5.56887022e-06
6.58697897e-01  4.51411485e-06
6.95831767e-01  3.65480610e-06
7.16280432e-01  3.28639319e-06
7.70099508e-01  2.97135319e-06
8.07233379e-01  2.77759733e-06
8.49928984e-01  2.54195553e-06
8.64815914e-01  2.10515677e-06
9.18634990e-01  1.89100839e-06
9.55768860e-01  1.76143713e-06
9.92902730e-01  1.64365815e-06
1.01688765e+00  1.56657923e-06
1.06717047e+00  1.52561122e-06
1.10430434e+00  1.50499653e-06
1.14143821e+00  1.47154598e-06
1.18910061e+00  6.95816947e-03
1.17857208e+00  1.42444312e-06
1.20676841e+00  6.22055445e-03
1.21570595e+00  1.37721776e-06
1.24946402e+00  4.99739692e-03
1.25283982e+00  1.33234595e-06
1.28659789e+00  4.01679394e-03
1.28997369e+00  1.28893612e-06
1.32373176e+00  3.21771328e-03
1.32154583e+00  1.25694420e-06
1.36086563e+00  2.58523224e-03
1.35311796e+00  1.44823126e-06
1.39799950e+00  2.08076215e-03
1.40137530e+00  1.45080343e-06
1.43513337e+00  1.65210232e-03
1.43850917e+00  1.45854740e-06
1.45002030e+00  1.50479039e-03
1.47564305e+00  1.46092564e-06
1.50940111e+00  1.14287052e-03
1.51277692e+00  1.76143713e-06
1.54315917e+00  9.36140111e-04
1.54991079e+00  2.13352717e-06
1.58366885e+00  7.06977648e-04
1.59816813e+00  2.74221007e-06
1.60729949e+00  4.78257505e-06
1.62080272e+00  5.19540621e-04
1.61337595e+00  9.05259665e-06
1.62128498e+00  1.91166102e-05
1.62811697e+00  3.97595753e-05
1.63363078e+00  7.35636055e-05
1.64049492e+00  1.49282828e-04
1.64780917e+00  3.91740585e-04

# top
1.45769151e-01  6.95816947e-03
1.45769151e-01  1.05336801e-04
1.99588227e-01  7.03964399e-05
2.35034194e-01  5.28585407e-05
2.87359193e-01  3.64448944e-05
3.24493064e-01  2.66056210e-05
3.61626934e-01  1.99702611e-05
4.09884275e-01  1.37985854e-05
4.35894675e-01  1.22661922e-05
4.73028545e-01  1.05800639e-05
5.10162416e-01  9.08800626e-06
5.47296286e-01  7.81560702e-06
5.84430156e-01  6.72931074e-06
6.21564027e-01  5.56887022e-06
6.58697897e-01  4.51411485e-06
6.95831767e-01  3.65480610e-06
7.16280432e-01  3.28639319e-06
7.70099508e-01  2.97135319e-06
8.07233379e-01  2.77759733e-06
8.49928984e-01  2.54195553e-06
8.64815914e-01  2.10515677e-06
9.18634990e-01  1.89100839e-06
9.55768860e-01  1.76143713e-06
9.92902730e-01  1.64365815e-06
1.01688765e+00  1.56657923e-06
1.06717047e+00  1.52561122e-06
1.10430434e+00  1.50499653e-06
1.14143821e+00  1.47154598e-06
1.18910061e+00  6.95816947e-03
1.17857208e+00  1.42444312e-06
1.20676841e+00  6.22055445e-03
1.21570595e+00  1.37721776e-06
1.24946402e+00  4.99739692e-03
1.25283982e+00  1.33234595e-06
1.28659789e+00  4.01679394e-03
1.28997369e+00  1.28893612e-06
1.32373176e+00  3.21771328e-03
1.32154583e+00  1.25694420e-06
1.36086563e+00  2.58523224e-03
1.35311796e+00  1.44823126e-06
1.39799950e+00  2.08076215e-03
1.40137530e+00  1.45080343e-06
1.43513337e+00  1.65210232e-03
1.43850917e+00  1.45854740e-06
1.45002030e+00  1.50479039e-03
1.47564305e+00  1.46092564e-06
1.50940111e+00  1.14287052e-03
1.51277692e+00  1.76143713e-06
1.54315917e+00  9.36140111e-04
1.54991079e+00  2.13352717e-06
1.58366885e+00  7.06977648e-04
1.59816813e+00  2.74221007e-06
1.60729949e+00  4.78257505e-06
1.62080272e+00  5.19540621e-04
1.61337595e+00  9.05259665e-06
1.62128498e+00  1.91166102e-05
1.62811697e+00  3.97595753e-05
1.63363078e+00  7.35636055e-05
1.64049492e+00  1.49282828e-04
1.64780917e+00  3.91740585e-04
