# Belle  (HNLimits id: belle_2024)
# Scenario: 001, single tau-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
3.59153900e-01  4.72803450e-01
3.59153902e-01  1.20396692e-02
3.83223924e-01  8.66285572e-03
4.17505470e-01  6.15620594e-03
4.48869438e-01  4.86203629e-03
4.63457330e-01  4.34778400e-03
4.85339168e-01  4.06067630e-03
5.08679796e-01  3.86385205e-03
5.80160467e-01  3.03269204e-03
6.53099927e-01  2.27905856e-03
7.07075128e-01  1.78880627e-03
7.69803063e-01  1.36956355e-03
8.43471918e-01  1.08838984e-03
8.71188913e-01  9.73272032e-04
9.19328957e-01  8.81208098e-04
9.52151714e-01  8.23017162e-04
9.72574763e-01  8.17921559e-04
9.92997812e-01  7.54479765e-04
1.01196207e+00  7.45166163e-04
1.05353756e+00  7.31410883e-04
1.07469001e+00  6.83111867e-04
1.11115974e+00  6.58125047e-04
1.14908826e+00  6.45976489e-04
1.19139314e+00  6.38002298e-04
1.21765135e+00  6.26225195e-04
1.27964989e+00  6.50000883e-04
1.34748359e+00  7.26882453e-04
1.39781182e+00  8.43719008e-04
1.42334063e+00  9.14664644e-04
1.44886944e+00  1.05511137e-03
1.47366885e+00  1.15812873e-03
1.48606856e+00  1.35265710e-03
1.52253829e+00  1.98799967e-03
1.53274982e+00  4.37487043e-03
1.53056163e+00  5.64354307e-03
1.51962071e+00  9.04777369e-03
1.49773888e+00  1.21901493e-02
1.48460977e+00  1.35475894e-02
1.47439825e+00  1.58231487e-02
1.44084610e+00  2.01597475e-02
1.41896426e+00  2.45921567e-02
1.38322392e+00  3.07536799e-02
1.37228301e+00  3.39666609e-02
1.31539023e+00  4.72069920e-02
1.25922684e+00  6.80993887e-02
1.21181619e+00  9.23225398e-02
1.17461707e+00  1.16896817e-01
1.13450036e+00  1.47095841e-01
1.12428884e+00  1.64494215e-01
1.05718454e+00  2.43263223e-01
1.04405543e+00  2.75436292e-01
1.01123268e+00  3.33914638e-01
9.98832969e-01  4.09868200e-01
9.79868709e-01  4.69876150e-01
3.59883297e-01  4.72803450e-01
1.52837345e+00  2.83242698e-03
1.37811816e+00  7.97852688e-04
1.34164843e+00  4.04180582e-02
1.28402626e+00  5.83058766e-02
1.23734500e+00  7.95378957e-02
1.09511306e+00  1.94525251e-01

# top
3.59153900e-01  4.72803450e-01
3.59153902e-01  1.20396692e-02
3.83223924e-01  8.66285572e-03
4.17505470e-01  6.15620594e-03
4.48869438e-01  4.86203629e-03
4.63457330e-01  4.34778400e-03
4.85339168e-01  4.06067630e-03
5.08679796e-01  3.86385205e-03
5.80160467e-01  3.03269204e-03
6.53099927e-01  2.27905856e-03
7.07075128e-01  1.78880627e-03
7.69803063e-01  1.36956355e-03
8.43471918e-01  1.08838984e-03
8.71188913e-01  9.73272032e-04
9.19328957e-01  8.81208098e-04
9.52151714e-01  8.23017162e-04
9.72574763e-01  8.17921559e-04
9.92997812e-01  7.54479765e-04
1.01196207e+00  7.45166163e-04
1.05353756e+00  7.31410883e-04
1.07469001e+00  6.83111867e-04
1.11115974e+00  6.58125047e-04
1.14908826e+00  6.45976489e-04
1.19139314e+00  6.38002298e-04
1.21765135e+00  6.26225195e-04
1.27964989e+00  6.50000883e-04
1.34748359e+00  7.26882453e-04
1.39781182e+00  8.43719008e-04
1.42334063e+00  9.14664644e-04
1.44886944e+00  1.05511137e-03
1.47366885e+00  1.15812873e-03
1.48606856e+00  1.35265710e-03
1.52253829e+00  1.98799967e-03
1.53274982e+00  4.37487043e-03
1.53056163e+00  5.64354307e-03
1.51962071e+00  9.04777369e-03
1.49773888e+00  1.21901493e-02
1.48460977e+00  1.35475894e-02
1.47439825e+00  1.58231487e-02
1.44084610e+00  2.01597475e-02
1.41896426e+00  2.45921567e-02
1.38322392e+00  3.07536799e-02
1.37228301e+00  3.39666609e-02
1.31539023e+00  4.72069920e-02
1.25922684e+00  6.80993887e-02
1.21181619e+00  9.23225398e-02
1.17461707e+00  1.16896817e-01
1.13450036e+00  1.47095841e-01
1.12428884e+00  1.64494215e-01
1.05718454e+00  2.43263223e-01
1.04405543e+00  2.75436292e-01
1.01123268e+00  3.33914638e-01
9.98832969e-01  4.09868200e-01
9.79868709e-01  4.69876150e-01
3.59883297e-01  4.72803450e-01
1.52837345e+00  2.83242698e-03
1.37811816e+00  7.97852688e-04
1.34164843e+00  4.04180582e-02
1.28402626e+00  5.83058766e-02
1.23734500e+00  7.95378957e-02
1.09511306e+00  1.94525251e-01
