# Borexino \\(Plestid)  (HNLimits id: borexino_plestid)
# Scenario: 001, single tau-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
2.77320731e-03  7.02266281e-01
2.84207640e-03  6.47311428e-01
3.00693842e-03  5.33462615e-01
3.17407576e-03  4.46624297e-01
3.36299822e-03  3.70482669e-01
3.59015988e-03  3.00155995e-01
3.81617465e-03  2.48741458e-01
4.06677883e-03  2.05077084e-01
4.35707664e-03  1.66391725e-01
4.65034322e-03  1.37854449e-01
4.96830473e-03  1.14383544e-01
5.32582879e-03  9.40022888e-02
5.70344049e-03  7.84656488e-02
6.10236846e-03  6.60171257e-02
6.51801360e-03  5.62467893e-02
6.95903779e-03  4.82416937e-02
7.45500977e-03  4.17862748e-02
7.99731999e-03  3.65422935e-02
8.56974539e-03  3.27218680e-02
9.18373149e-03  3.00341559e-02
9.83080953e-03  2.85525651e-02
1.05111293e-02  2.84540138e-02
1.12558696e-02  3.03045829e-02
1.19720335e-02  3.50256877e-02
1.25103498e-02  4.20244616e-02
1.29045999e-02  5.04594540e-02
1.32030284e-02  6.02353604e-02
1.34423415e-02  7.09848835e-02
1.36413660e-02  8.16366417e-02
1.38433373e-02  9.66368740e-02
1.40712589e-02  1.16295877e-01
1.43240082e-02  1.41275968e-01
1.46004374e-02  1.70107116e-01
1.48822013e-02  1.91272564e-01
1.52275047e-02  2.12976434e-01
1.58786977e-02  2.44658812e-01
1.65403716e-02  2.91737771e-01
1.70059901e-02  3.49637785e-01
1.73652035e-02  4.14518868e-01
1.75747251e-02  4.88738575e-01
1.78114573e-02  5.88489032e-01
1.79825016e-02  6.98289873e-01
