# CHARM \\(Boiarska et al)  (HNLimits id: charm_2021)
# Scenario: 001, single tau-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.01206831e+00  5.15658643e-03
1.10504572e+00  2.66654301e-03
1.18123978e+00  1.63295530e-03
1.24368495e+00  1.06998026e-03
1.32139120e+00  6.55241610e-04
1.40393695e+00  3.81412875e-04
1.44711309e+00  2.81322460e-04
1.47812185e+00  2.25804800e-04
1.52817755e+00  1.50479930e-04
1.54676661e+00  1.18758144e-04
1.57032417e+00  8.90874240e-05
1.58940819e+00  6.68296829e-05
1.60357383e+00  2.30303799e-05
1.60357383e+00  2.30303799e-05
1.59857066e+00  1.53478134e-05
1.58877641e+00  1.09437884e-05
1.57426761e+00  8.07191805e-06
1.54103572e+00  5.47099220e-06
1.49938545e+00  3.83568849e-06
1.42386881e+00  2.78168818e-06
1.36457169e+00  2.34892437e-06
1.25332483e+00  1.95022931e-06
1.17234599e+00  1.88537523e-06
1.08338008e+00  1.95022931e-06
1.02889586e+00  2.01731428e-06
9.95090675e-01  1.88537523e-06
9.36465102e-01  1.82267784e-06
8.81316366e-01  1.98348820e-06
8.09524097e-01  2.27081184e-06
7.39087377e-01  2.73504518e-06
6.66645078e-01  3.52471189e-06
5.86889202e-01  5.02743413e-06
4.46657992e-01  1.09437884e-05
3.17988984e-01  3.01859023e-05
2.49465297e-01  6.24587999e-05
2.02962588e-01  1.12883789e-04
1.89853161e-01  1.20783426e-04
1.75448369e-01  1.33681402e-04
1.57771965e-01  1.72278115e-04
1.21908143e-01  3.44613036e-04
1.00394639e-01  6.12386635e-04
1.00394639e-01  5.15658643e-03

# top
1.01206831e+00  5.15658643e-03
1.10504572e+00  2.66654301e-03
1.18123978e+00  1.63295530e-03
1.24368495e+00  1.06998026e-03
1.32139120e+00  6.55241610e-04
1.40393695e+00  3.81412875e-04
1.44711309e+00  2.81322460e-04
1.47812185e+00  2.25804800e-04
1.52817755e+00  1.50479930e-04
1.54676661e+00  1.18758144e-04
1.57032417e+00  8.90874240e-05
1.58940819e+00  6.68296829e-05
1.60357383e+00  2.30303799e-05
1.60357383e+00  2.30303799e-05
1.59857066e+00  1.53478134e-05
1.58877641e+00  1.09437884e-05
1.57426761e+00  8.07191805e-06
1.54103572e+00  5.47099220e-06
1.49938545e+00  3.83568849e-06
1.42386881e+00  2.78168818e-06
1.36457169e+00  2.34892437e-06
1.25332483e+00  1.95022931e-06
1.17234599e+00  1.88537523e-06
1.08338008e+00  1.95022931e-06
1.02889586e+00  2.01731428e-06
9.95090675e-01  1.88537523e-06
9.36465102e-01  1.82267784e-06
8.81316366e-01  1.98348820e-06
8.09524097e-01  2.27081184e-06
7.39087377e-01  2.73504518e-06
6.66645078e-01  3.52471189e-06
5.86889202e-01  5.02743413e-06
4.46657992e-01  1.09437884e-05
3.17988984e-01  3.01859023e-05
2.49465297e-01  6.24587999e-05
2.02962588e-01  1.12883789e-04
1.89853161e-01  1.20783426e-04
1.75448369e-01  1.33681402e-04
1.57771965e-01  1.72278115e-04
1.21908143e-01  3.44613036e-04
1.00394639e-01  6.12386635e-04
1.00394639e-01  5.15658643e-03
