# CHARM \\(Orloff et al)  (HNLimits id: charm)
# Scenario: 001, single tau-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.00000000e-02  4.72824424e-01
1.14285714e-02  3.63150563e-01
1.28571429e-02  2.75259858e-01
1.46938776e-02  1.95319564e-01
1.61224490e-02  1.48047783e-01
1.77551020e-02  1.10745837e-01
1.95918367e-02  7.85833022e-02
2.18367347e-02  5.87835454e-02
2.36734694e-02  4.69715155e-02
2.65306122e-02  3.33301630e-02
2.89795918e-02  2.46055048e-02
3.22448980e-02  1.84059307e-02
3.51020408e-02  1.43243611e-02
3.83673469e-02  1.08575396e-02
4.18367347e-02  8.22976778e-03
4.61224490e-02  6.15620513e-03
5.10204082e-02  4.48515303e-03
5.56141050e-02  3.49441746e-03
6.00000000e-02  2.78916072e-03
6.57142857e-02  2.14220170e-03
7.02040816e-02  1.75752081e-03
7.59183673e-02  1.38595335e-03
8.00000000e-02  1.18298899e-03
8.51020408e-02  9.70556492e-04
8.97959184e-02  8.06847750e-04
9.48979592e-02  6.79662056e-04
9.91836735e-02  5.87835454e-04
1.02722417e-01  5.25764687e-04
1.07808742e-01  4.50113312e-04
1.13261719e-01  3.88078068e-04
1.18262231e-01  3.37303815e-04
1.23691805e-01  2.91697588e-04
1.29611288e-01  2.48018517e-04
1.33812447e-01  2.25307503e-04
1.37917132e-01  2.04279051e-04
1.43612723e-01  1.79230287e-04
1.47792039e-01  1.63586507e-04
1.53117597e-01  1.45423361e-04
1.57767060e-01  1.31734342e-04
1.63321451e-01  1.17660378e-04
1.67902264e-01  1.09638291e-04
1.72898380e-01  1.03416890e-04
1.77037539e-01  1.01205756e-04
1.79795918e-01  9.89958086e-05
1.81903699e-01  1.01683327e-04
1.87551020e-01  1.08575396e-04
1.89795918e-01  1.11478916e-04
1.93469388e-01  1.27203578e-04
1.96734694e-01  1.41365880e-04
2.00000000e-01  1.57104952e-04
2.03673469e-01  1.49027782e-04
2.11413744e-01  1.34175333e-04
2.15520249e-01  1.26269430e-04
2.20930060e-01  1.17383748e-04
2.25289581e-01  1.11492564e-04
2.30411010e-01  1.04878204e-04
2.36074617e-01  9.75798378e-05
2.40583660e-01  9.19878403e-05
2.47178199e-01  8.42799042e-05
2.51879669e-01  7.89109178e-05
2.56716358e-01  7.59431773e-05
2.63269292e-01  7.06940185e-05
2.68001966e-01  6.69835113e-05
2.72467669e-01  6.38029970e-05
2.78313736e-01  5.94179320e-05
2.83523814e-01  5.64162802e-05
2.87078284e-01  5.38564753e-05
2.89795918e-01  5.25466670e-05
