# CMS \\(2024-I)  (HNLimits id: cms_2024_1)
# Scenario: 001, single tau-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
9.97299122e-01  2.94967100e-02
9.97299122e-01  1.28563545e-03
1.11276165e+00  9.60375866e-04
1.24240378e+00  6.86104975e-04
1.30790007e+00  5.81909632e-04
1.43551654e+00  3.80239069e-04
1.50236327e+00  3.07367068e-04
1.49898717e+00  2.94967100e-02
1.60027009e+00  1.45468550e-02
1.61985145e+00  1.09790167e-02
1.62457799e+00  2.57134920e-04
1.70087779e+00  3.29202855e-03
1.73531398e+00  2.26474589e-04
1.80081026e+00  2.12908915e-04
1.80148548e+00  1.51064546e-03
1.83862255e+00  1.26810901e-03
1.89601621e+00  2.59795725e-04
1.89804186e+00  9.15328230e-04
2.00000000e+00  4.18586774e-04

# top
9.97299122e-01  2.94967100e-02
9.97299122e-01  1.28563545e-03
1.11276165e+00  9.60375866e-04
1.24240378e+00  6.86104975e-04
1.30790007e+00  5.81909632e-04
1.43551654e+00  3.80239069e-04
1.50236327e+00  3.07367068e-04
1.49898717e+00  2.94967100e-02
1.60027009e+00  1.45468550e-02
1.61985145e+00  1.09790167e-02
1.62457799e+00  2.57134920e-04
1.70087779e+00  3.29202855e-03
1.73531398e+00  2.26474589e-04
1.80081026e+00  2.12908915e-04
1.80148548e+00  1.51064546e-03
1.83862255e+00  1.26810901e-03
1.89601621e+00  2.59795725e-04
1.89804186e+00  9.15328230e-04
2.00000000e+00  4.18586774e-04
