# CMS \\(2024-II)  (HNLimits id: cms_2024_2)
# Scenario: 001, single tau-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.00400206e+01  6.56255047e-04
1.50891353e+01  4.11314582e-04
2.01166630e+01  5.16089271e-04
2.51590271e+01  4.16841747e-04
2.98732087e+01  4.70051151e-04
3.02333095e+01  4.39703186e-04
3.98266209e+01  4.51599878e-04
4.03067031e+01  6.47553351e-04
5.00087463e+01  7.30212845e-04
5.98553823e+01  1.50138802e-03
7.51580867e+01  1.92193778e-02
7.54588741e+01  8.28937776e-01
8.47254486e+01  8.28937776e-01
8.54049588e+01  2.39547420e-01
1.00199903e+02  9.16220895e-02
1.26320668e+02  9.41010338e-02
1.99965021e+02  1.67058954e-01
2.51088337e+02  1.56273108e-01
3.01729926e+02  1.78589230e-01
3.51182925e+02  2.12430848e-01
4.49861601e+02  3.17052095e-01
5.05105945e+02  4.14068942e-01
7.00842002e+02  6.69527328e-01
9.01364107e+02  1.32257553e+00
9.92043668e+02  1.77401265e+00
