# Cosmology  (HNLimits id: cosmo)
# Scenario: 001, single tau-flavor dominance
# Nature: Majorana
# Category: cosmology
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# Curve files OVERRIDDEN locally: the HNLimits row points every
#   flavour at Ue4_*_Cosmo.dat, whose '_bottom' is a flat two-point
#   line, not a boundary. Substituted the per-flavour Sabti et al.
#   (arXiv:2006.07387) files shipped alongside it. See
#   COSMO_PER_FLAVOUR_FILES in curves/plot/hnl_panel.py.
# Files used: top=Sabti_BBN/Utau4_top.dat  bottom=Sabti_BBN/Utau4_bottom.dat
# mass_GeV  U2
# bottom
1.02546000e-03  9.37231350e-10
1.14405000e-03  8.47854615e-10
1.25051000e-03  7.69762635e-10
1.37108000e-03  6.87933762e-10
1.51253000e-03  6.26731873e-10
1.66857000e-03  5.70974816e-10
1.84071000e-03  5.19271546e-10
2.03062000e-03  4.73074840e-10
2.24011000e-03  4.30236399e-10
2.47122000e-03  3.91960011e-10
2.72617000e-03  3.57089626e-10
3.00742000e-03  3.24753167e-10
3.31769000e-03  2.95861809e-10
3.65997000e-03  2.69069778e-10
4.03756000e-03  2.45132271e-10
4.45410000e-03  2.22933982e-10
4.91362000e-03  2.02746125e-10
5.42055000e-03  1.84709038e-10
5.97978000e-03  1.68276592e-10
6.59670000e-03  1.53305979e-10
7.27726000e-03  1.39423509e-10
8.02804000e-03  1.26797918e-10
8.85628000e-03  1.15517280e-10
9.76996000e-03  1.05056452e-10
1.07448000e-02  9.22913458e-11
1.18533000e-02  8.35384592e-11
1.31164000e-02  7.75162196e-11
1.44696000e-02  7.03737357e-11
1.58646000e-02  6.13710370e-11
1.75551000e-02  5.65871572e-11
1.93662000e-02  5.14830900e-11
2.12986000e-02  4.58407129e-11
2.34960000e-02  4.18359010e-11
2.59200000e-02  3.79143872e-11
2.85941000e-02  3.45413898e-11
3.15441000e-02  3.13585705e-11
3.47983000e-02  2.83695511e-11
3.83884000e-02  2.57104317e-11
4.23487000e-02  2.32598045e-11
4.67177000e-02  2.10427330e-11
5.15374000e-02  1.91037472e-11
5.68544000e-02  1.74042023e-11
6.27199000e-02  1.57728516e-11
6.91906000e-02  1.43445194e-11
7.63288000e-02  1.30455380e-11
8.42034000e-02  1.18434771e-11
9.28904000e-02  1.07521237e-11
1.02474000e-01  9.74431530e-12
1.13046000e-01  8.84643243e-12
1.24326000e-01  7.95027808e-12
1.37152000e-01  7.26743110e-12
1.50838000e-01  6.49338421e-12
1.66399000e-01  5.86420360e-12
1.83566000e-01  5.31453483e-12
2.02504000e-01  4.82482918e-12
2.23396000e-01  4.40327653e-12
2.46443000e-01  3.99054343e-12
2.71867000e-01  3.62283412e-12
