# PMNS Unitarity  (HNLimits id: pmns_unitarity)
# Scenario: 001, single tau-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.77700000e+00  1.84900000e-03
1.78828915e+00  1.84900000e-03
1.79965001e+00  1.84900000e-03
1.81108305e+00  1.84900000e-03
1.82258872e+00  1.84900000e-03
1.83416749e+00  1.84900000e-03
1.84581981e+00  1.84900000e-03
1.85754616e+00  1.84900000e-03
1.86934701e+00  1.84900000e-03
1.88122283e+00  1.84900000e-03
1.89317410e+00  1.84900000e-03
1.90520129e+00  1.84900000e-03
1.91730488e+00  1.84900000e-03
1.92948538e+00  1.84900000e-03
1.94174325e+00  1.84900000e-03
1.95407899e+00  1.84900000e-03
1.96649311e+00  1.84900000e-03
1.97898609e+00  1.84900000e-03
1.99155844e+00  1.84900000e-03
2.00421066e+00  1.84900000e-03
2.01694325e+00  1.84900000e-03
2.02975674e+00  1.84900000e-03
2.04265163e+00  1.84900000e-03
2.05562844e+00  1.84900000e-03
2.06868769e+00  1.84900000e-03
2.08182990e+00  1.84900000e-03
2.09505561e+00  1.84900000e-03
2.10836534e+00  1.84900000e-03
2.12175962e+00  1.84900000e-03
2.13523900e+00  1.84900000e-03
2.14880401e+00  1.84900000e-03
2.16245519e+00  1.84900000e-03
2.17619311e+00  1.84900000e-03
2.19001829e+00  1.84900000e-03
2.20393131e+00  1.84900000e-03
2.21793272e+00  1.84900000e-03
2.23202308e+00  1.84900000e-03
2.24620295e+00  1.84900000e-03
2.26047290e+00  1.84900000e-03
2.27483352e+00  1.84900000e-03
2.28928536e+00  1.84900000e-03
2.30382901e+00  1.84900000e-03
2.31846506e+00  1.84900000e-03
2.33319409e+00  1.84900000e-03
2.34801670e+00  1.84900000e-03
2.36293347e+00  1.84900000e-03
2.37794500e+00  1.84900000e-03
2.39305191e+00  1.84900000e-03
2.40825478e+00  1.84900000e-03
2.42355424e+00  1.84900000e-03
2.43895089e+00  1.84900000e-03
2.45444536e+00  1.84900000e-03
2.47003827e+00  1.84900000e-03
2.48573023e+00  1.84900000e-03
2.50152188e+00  1.84900000e-03
2.51741386e+00  1.84900000e-03
2.53340680e+00  1.84900000e-03
2.54950134e+00  1.84900000e-03
2.56569813e+00  1.84900000e-03
2.58199781e+00  1.84900000e-03
2.59840104e+00  1.84900000e-03
2.61490849e+00  1.84900000e-03
2.63152080e+00  1.84900000e-03
2.64823865e+00  1.84900000e-03
2.66506271e+00  1.84900000e-03
2.68199365e+00  1.84900000e-03
2.69903215e+00  1.84900000e-03
2.71617889e+00  1.84900000e-03
2.73343457e+00  1.84900000e-03
2.75079987e+00  1.84900000e-03
2.76827549e+00  1.84900000e-03
2.78586213e+00  1.84900000e-03
2.80356050e+00  1.84900000e-03
2.82137131e+00  1.84900000e-03
2.83929526e+00  1.84900000e-03
2.85733309e+00  1.84900000e-03
2.87548551e+00  1.84900000e-03
2.89375325e+00  1.84900000e-03
2.91213704e+00  1.84900000e-03
2.93063763e+00  1.84900000e-03
2.94925574e+00  1.84900000e-03
2.96799214e+00  1.84900000e-03
2.98684756e+00  1.84900000e-03
3.00582278e+00  1.84900000e-03
3.02491854e+00  1.84900000e-03
3.04413562e+00  1.84900000e-03
3.06347478e+00  1.84900000e-03
3.08293680e+00  1.84900000e-03
3.10252246e+00  1.84900000e-03
3.12223255e+00  1.84900000e-03
3.14206785e+00  1.84900000e-03
3.16202917e+00  1.84900000e-03
3.18211730e+00  1.84900000e-03
3.20233305e+00  1.84900000e-03
3.22267722e+00  1.84900000e-03
3.24315064e+00  1.84900000e-03
3.26375413e+00  1.84900000e-03
3.28448851e+00  1.84900000e-03
3.30535462e+00  1.84900000e-03
3.32635328e+00  1.84900000e-03
3.34748535e+00  1.84900000e-03
3.36875167e+00  1.84900000e-03
3.39015309e+00  1.84900000e-03
3.41169047e+00  1.84900000e-03
3.43336468e+00  1.84900000e-03
3.45517658e+00  1.84900000e-03
3.47712706e+00  1.84900000e-03
3.49921698e+00  1.84900000e-03
3.52144724e+00  1.84900000e-03
3.54381872e+00  1.84900000e-03
3.56633233e+00  1.84900000e-03
3.58898897e+00  1.84900000e-03
3.61178954e+00  1.84900000e-03
3.63473496e+00  1.84900000e-03
3.65782616e+00  1.84900000e-03
3.68106405e+00  1.84900000e-03
3.70444956e+00  1.84900000e-03
3.72798365e+00  1.84900000e-03
3.75166724e+00  1.84900000e-03
3.77550130e+00  1.84900000e-03
3.79948677e+00  1.84900000e-03
3.82362462e+00  1.84900000e-03
3.84791581e+00  1.84900000e-03
3.87236133e+00  1.84900000e-03
3.89696214e+00  1.84900000e-03
3.92171924e+00  1.84900000e-03
3.94663363e+00  1.84900000e-03
3.97170629e+00  1.84900000e-03
3.99693823e+00  1.84900000e-03
4.02233048e+00  1.84900000e-03
4.04788403e+00  1.84900000e-03
4.07359993e+00  1.84900000e-03
4.09947920e+00  1.84900000e-03
4.12552288e+00  1.84900000e-03
4.15173201e+00  1.84900000e-03
4.17810765e+00  1.84900000e-03
4.20465084e+00  1.84900000e-03
4.23136267e+00  1.84900000e-03
4.25824419e+00  1.84900000e-03
4.28529649e+00  1.84900000e-03
4.31252065e+00  1.84900000e-03
4.33991777e+00  1.84900000e-03
4.36748893e+00  1.84900000e-03
4.39523525e+00  1.84900000e-03
4.42315785e+00  1.84900000e-03
4.45125783e+00  1.84900000e-03
4.47953633e+00  1.84900000e-03
4.50799448e+00  1.84900000e-03
