# ATLAS \\(2022)  (HNLimits id: atlas_2022)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.28518519e+01  4.15633976e-07
1.28510971e+01  4.14966203e-07
1.28399840e+01  4.06446809e-07
1.28333333e+01  4.01999705e-07
1.28273967e+01  3.98102320e-07
1.28148148e+01  3.90810471e-07
1.28132665e+01  3.89929147e-07
1.27975110e+01  3.81923772e-07
1.27962963e+01  3.81368971e-07
1.27800620e+01  3.74082750e-07
1.27777778e+01  3.73155768e-07
1.27608496e+01  3.66402706e-07
1.27592593e+01  3.65825692e-07
1.27407407e+01  3.59215387e-07
1.27397872e+01  3.58880337e-07
1.27222222e+01  3.53234061e-07
1.27167785e+01  3.51512404e-07
1.27037037e+01  3.47714287e-07
1.26917461e+01  3.44295737e-07
1.26851852e+01  3.42566873e-07
1.26666667e+01  3.37759044e-07
1.26645919e+01  3.37227231e-07
1.26481481e+01  3.33328379e-07
1.26351967e+01  3.30303844e-07
1.26296296e+01  3.29098239e-07
1.26111111e+01  3.25137011e-07
1.26034669e+01  3.23522596e-07
1.25925926e+01  3.21387292e-07
1.25740741e+01  3.17797746e-07
1.25692913e+01  3.16880569e-07
1.25555556e+01  3.14426032e-07
1.25370370e+01  3.11158501e-07
1.25325529e+01  3.10374906e-07
1.25185185e+01  3.08085178e-07
1.25000000e+01  3.05098874e-07
1.24930003e+01  3.04002806e-07
1.24814815e+01  3.02316202e-07
1.24629630e+01  2.99740392e-07
1.24479530e+01  2.97761527e-07
1.24444444e+01  2.97328575e-07
1.24259259e+01  2.95158598e-07
1.24074074e+01  2.93109542e-07
1.23934176e+01  2.91648384e-07
1.23888889e+01  2.91205334e-07
1.23703704e+01  2.89493419e-07
1.23518519e+01  2.87885430e-07
1.23333333e+01  2.86378284e-07
1.23239319e+01  2.85660745e-07
1.23148148e+01  2.85008646e-07
1.22962963e+01  2.83769435e-07
1.22777778e+01  2.82616668e-07
1.22592593e+01  2.81547627e-07
1.22407407e+01  2.80559635e-07
