# BEBC  (HNLimits id: bebc)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
2.72029125e-01  6.90386460e-05
2.77253149e-01  4.80958499e-05
2.96788990e-01  7.18679084e-05
3.16784236e-01  1.95215502e-05
3.49586084e-01  7.18679084e-05
3.53561285e-01  1.08931292e-05
3.82872760e-01  7.23206221e-05
2.99115381e-01  2.66244801e-05
3.94573525e-01  6.54839769e-06
4.42856792e-01  7.18679084e-05
4.44371899e-01  3.89766851e-06
4.76284154e-01  7.18679084e-05
5.05020804e-01  2.34890486e-06
5.61012430e-01  7.18679084e-05
5.84514646e-01  1.35369096e-06
6.08871518e-01  7.18679084e-05
6.61230046e-01  8.65875176e-07
7.10692377e-01  7.18679084e-05
7.54853445e-01  5.51105542e-07
7.71320426e-01  7.18679084e-05
8.47640884e-01  3.92411592e-07
9.15399060e-01  2.95104679e-07
9.00298493e-01  7.24786775e-05
9.82483496e-01  2.44931205e-07
1.03697675e+00  7.19157284e-05
1.21292280e+00  1.31677160e-07
1.18281463e+00  6.97430758e-05
1.28764648e+00  6.83868047e-05
1.35844837e+00  9.70980326e-08
1.41886580e+00  6.73757332e-05
1.45462199e+00  8.46351745e-08
1.56777153e+00  5.94160542e-05
1.59510261e+00  7.76992771e-08
1.70266933e+00  4.71250812e-05
1.72192104e+00  8.22422042e-08
1.93174411e+00  2.32941878e-05
1.87711386e+00  3.03935656e-05
1.81804778e+00  1.02096289e-07
1.89395683e+00  1.97681105e-07
1.96575052e+00  1.73265661e-05
1.92746904e+00  3.44965262e-07
1.96019698e+00  1.09617043e-06
1.96158747e+00  5.98525636e-07
2.01005577e+00  6.98692918e-06
1.99331079e+00  3.74588763e-06
1.98048791e+00  1.98897995e-06

# top
2.72029125e-01  6.90386460e-05
2.77253149e-01  4.80958499e-05
2.96788990e-01  7.18679084e-05
3.16784236e-01  1.95215502e-05
3.49586084e-01  7.18679084e-05
3.53561285e-01  1.08931292e-05
3.82872760e-01  7.23206221e-05
2.99115381e-01  2.66244801e-05
3.94573525e-01  6.54839769e-06
4.42856792e-01  7.18679084e-05
4.44371899e-01  3.89766851e-06
4.76284154e-01  7.18679084e-05
5.05020804e-01  2.34890486e-06
5.61012430e-01  7.18679084e-05
5.84514646e-01  1.35369096e-06
6.08871518e-01  7.18679084e-05
6.61230046e-01  8.65875176e-07
7.10692377e-01  7.18679084e-05
7.54853445e-01  5.51105542e-07
7.71320426e-01  7.18679084e-05
8.47640884e-01  3.92411592e-07
9.15399060e-01  2.95104679e-07
9.00298493e-01  7.24786775e-05
9.82483496e-01  2.44931205e-07
1.03697675e+00  7.19157284e-05
1.21292280e+00  1.31677160e-07
1.18281463e+00  6.97430758e-05
1.28764648e+00  6.83868047e-05
1.35844837e+00  9.70980326e-08
1.41886580e+00  6.73757332e-05
1.45462199e+00  8.46351745e-08
1.56777153e+00  5.94160542e-05
1.59510261e+00  7.76992771e-08
1.70266933e+00  4.71250812e-05
1.72192104e+00  8.22422042e-08
1.93174411e+00  2.32941878e-05
1.87711386e+00  3.03935656e-05
1.81804778e+00  1.02096289e-07
1.89395683e+00  1.97681105e-07
1.96575052e+00  1.73265661e-05
1.92746904e+00  3.44965262e-07
1.96019698e+00  1.09617043e-06
1.96158747e+00  5.98525636e-07
2.01005577e+00  6.98692918e-06
1.99331079e+00  3.74588763e-06
1.98048791e+00  1.98897995e-06
