# CHARM-II  (HNLimits id: charmii)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
2.55777801e-01  3.65295804e-03
2.69182138e-01  3.08037487e-03
2.85668859e-01  2.62822073e-03
3.07070760e-01  2.10860583e-03
3.24388596e-01  1.79843125e-03
3.42698219e-01  1.54561693e-03
3.62026131e-01  1.31876006e-03
3.82461554e-01  1.13409545e-03
4.04005655e-01  9.56762854e-04
4.28384769e-01  8.17429205e-04
4.52550326e-01  6.98781606e-04
4.79876042e-01  6.00736487e-04
5.14515399e-01  5.08640969e-04
5.51666266e-01  4.32164230e-04
5.87045751e-01  3.59631632e-04
6.22511786e-01  3.10830244e-04
6.60059342e-01  2.64386041e-04
6.99889631e-01  2.25883426e-04
7.42150152e-01  1.94192763e-04
7.86875374e-01  1.63787278e-04
8.34317400e-01  1.38757953e-04
8.84685792e-01  1.19078765e-04
9.38123926e-01  1.02737140e-04
9.98400179e-01  8.71742544e-05
1.01922612e+00  4.03399300e-02
1.04128157e+00  3.44985547e-02
1.06377876e+00  2.93333174e-02
1.09071903e+00  2.45799756e-02
1.12244682e+00  2.04025301e-02
1.13929431e+00  6.30674435e-05
1.15467927e+00  1.74372063e-02
1.18894271e+00  1.45657860e-02
1.21705028e+00  5.37916637e-05
1.22351512e+00  1.20688049e-02
1.25922242e+00  1.01792781e-02
1.29960964e+00  8.45391076e-03
1.30019034e+00  4.63539279e-05
1.33355808e+00  7.02369541e-03
1.36242732e+00  6.01566359e-03
1.38667134e+00  5.09912650e-03
1.38899723e+00  3.98815172e-05
1.42114911e+00  4.33320505e-03
1.44717263e+00  3.65807685e-03
1.49496445e+00  3.43780140e-05
1.50073907e+00  2.82901569e-03
1.55247298e+00  2.14857861e-03
1.59263157e+00  1.79966411e-03
1.62129967e+00  3.05032167e-05
1.62181428e+00  1.52236082e-03
1.66219918e+00  1.30186808e-03
1.69281191e+00  1.11886338e-03
1.73480330e+00  9.41552274e-04
1.75886396e+00  2.85758283e-05
1.76668512e+00  8.03828974e-04
1.80454916e+00  6.63763183e-04
1.84353107e+00  5.64070241e-04
1.87886368e+00  4.58096500e-04
1.90869310e+00  2.82461678e-05
1.92340580e+00  3.84823565e-04
1.97090383e+00  3.17837116e-04
2.00679360e+00  2.63722063e-04
2.04349073e+00  2.21685189e-04
2.05898719e+00  3.12729714e-05
2.07091472e+00  1.86066198e-04
2.09225623e+00  1.59150401e-04
2.13467632e+00  1.29811186e-04
2.16134187e+00  3.71365679e-05
2.17771597e+00  1.03879601e-04
2.18744521e+00  4.29968690e-05
2.19115406e+00  8.31796654e-05
2.20991584e+00  6.95344584e-05
2.21011902e+00  5.12352445e-05
2.21645131e+00  6.09145173e-05
1.06649633e+00  7.38259499e-05
9.94561779e-01  4.79891839e-02
9.71284364e-01  5.72552008e-02
9.18186464e-01  8.29145323e-02
2.40371142e-01  8.11203017e-02
2.36424639e-01  4.64437924e-03

# top
2.55777801e-01  3.65295804e-03
2.69182138e-01  3.08037487e-03
2.85668859e-01  2.62822073e-03
3.07070760e-01  2.10860583e-03
3.24388596e-01  1.79843125e-03
3.42698219e-01  1.54561693e-03
3.62026131e-01  1.31876006e-03
3.82461554e-01  1.13409545e-03
4.04005655e-01  9.56762854e-04
4.28384769e-01  8.17429205e-04
4.52550326e-01  6.98781606e-04
4.79876042e-01  6.00736487e-04
5.14515399e-01  5.08640969e-04
5.51666266e-01  4.32164230e-04
5.87045751e-01  3.59631632e-04
6.22511786e-01  3.10830244e-04
6.60059342e-01  2.64386041e-04
6.99889631e-01  2.25883426e-04
7.42150152e-01  1.94192763e-04
7.86875374e-01  1.63787278e-04
8.34317400e-01  1.38757953e-04
