# CMS \\(8TeV)  (HNLimits id: cms_2016)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
4.04158987e+01  1.75027326e-05
4.94096674e+01  2.15427628e-05
5.79427107e+01  4.08572011e-05
6.11913906e+01  6.13846588e-05
6.33706932e+01  9.51049279e-05
6.51842265e+01  1.37821417e-04
6.72872769e+01  2.05257304e-04
6.92177668e+01  2.80065891e-04
7.15955068e+01  3.91969644e-04
7.67310610e+01  6.65159952e-04
7.97110351e+01  8.92358160e-04
8.21935091e+01  1.25219719e-03
8.48572792e+01  1.80293275e-03
8.95742456e+01  4.46910106e-03
9.35266983e+01  3.20318592e-03
9.99768957e+01  2.00576061e-03
1.08696357e+02  1.80634538e-03
1.24435711e+02  1.54023528e-03
1.32976333e+02  1.89686101e-03
1.46582457e+02  2.69290963e-03
1.58120414e+02  3.99776548e-03
1.68365409e+02  5.64100995e-03
1.80995982e+02  7.74830571e-03
1.99484527e+02  1.03124398e-02
2.13555002e+02  1.21751562e-02
2.30118069e+02  1.43963396e-02
2.44037360e+02  1.63125025e-02
2.61696452e+02  2.03804663e-02
2.80629266e+02  2.66039749e-02
3.07673562e+02  3.76969055e-02
3.33692580e+02  5.23505502e-02
3.59958552e+02  7.35158932e-02
3.82507253e+02  9.86258692e-02
4.15574554e+02  1.60186334e-01
4.39762517e+02  2.20586101e-01
4.69270556e+02  3.13954863e-01
4.96835893e+02  4.29275058e-01
