# CMS \\(2018-dilepton)  (HNLimits id: cms_2018_dilepton)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
2.02142260e+01  3.22487026e-05
2.17447980e+01  3.01653480e-05
2.41886132e+01  2.75883874e-05
2.69070794e+01  2.50938077e-05
3.01826930e+01  2.28135103e-05
3.39990929e+01  2.13877795e-05
3.82980510e+01  1.95436783e-05
4.31405836e+01  1.97908697e-05
4.92095180e+01  2.09610717e-05
5.28276930e+01  2.75869289e-05
5.66160750e+01  3.89908774e-05
5.97991447e+01  5.51869538e-05
6.19961143e+01  8.52673294e-05
6.40423145e+01  1.39430594e-04
6.60844808e+01  2.13179815e-04
6.76770392e+01  3.16798221e-04
6.96087058e+01  4.59443928e-04
7.17506661e+01  6.93948247e-04
7.47634209e+01  9.74624860e-04
7.73983822e+01  1.41289803e-03
8.08230584e+01  2.03405403e-03
8.50164859e+01  3.50409457e-03
9.96224515e+01  1.82856908e-03
1.10355733e+02  1.84733312e-03
1.23273125e+02  1.91322028e-03
1.37365256e+02  2.55523354e-03
1.49897989e+02  3.42294841e-03
1.72422818e+02  3.67692776e-03
1.97503934e+02  4.02323014e-03
2.20622224e+02  4.25821920e-03
2.47480329e+02  4.55097338e-03
2.77608085e+02  5.64930335e-03
3.04361230e+02  7.11802244e-03
3.28276789e+02  1.05054334e-02
3.43169927e+02  1.36025832e-02
3.62432508e+02  1.82049022e-02
4.00412924e+02  3.02620245e-02
4.54628369e+02  3.25355707e-02
5.10204977e+02  3.37223981e-02
5.88993593e+02  4.65203570e-02
6.41446341e+02  6.57697327e-02
7.01921327e+02  1.02306040e-01
7.50737214e+02  8.51896645e-02
8.00389354e+02  7.54206779e-02
8.50156068e+02  1.12409366e-01
8.73426281e+02  1.41355467e-01
8.96321900e+02  1.76911352e-01
9.63895139e+02  2.08649246e-01
1.03332333e+03  2.58494931e-01
1.09505868e+03  3.13198765e-01
1.19767940e+03  4.04119585e-01
1.26433784e+03  4.85036104e-01
1.42011669e+03  8.28362167e-01
