# CMS \\(2018)  (HNLimits id: cms_2018_trilepton)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
9.95294965e-01  1.32586952e-02
1.09019124e+00  9.41021970e-03
1.31192904e+00  5.30250489e-03
1.55329071e+00  3.23949696e-03
1.82168237e+00  1.98200075e-03
2.13190629e+00  1.23657844e-03
2.51875575e+00  7.82119400e-04
2.98995906e+00  5.00861069e-04
3.48256678e+00  3.28071662e-04
4.04274366e+00  2.23084218e-04
4.64948365e+00  1.49400563e-04
5.36610139e+00  1.06067067e-04
6.33981839e+00  7.16822982e-05
7.52585773e+00  4.68707132e-05
8.72426748e+00  3.08437696e-05
1.04056545e+01  2.30455129e-05
1.19486787e+01  1.80361536e-05
1.32440726e+01  1.68152587e-05
1.51236599e+01  1.54821944e-05
1.78679548e+01  1.32849061e-05
2.09107833e+01  1.27079844e-05
2.45882149e+01  1.35870989e-05
2.89123705e+01  1.45988086e-05
3.39969847e+01  1.51910866e-05
3.99757940e+01  1.56786253e-05
4.97609568e+01  1.57768847e-05
5.90701277e+01  2.35438155e-05
6.24900724e+01  3.60313884e-05
6.62819509e+01  6.61138906e-05
6.85374561e+01  1.09220865e-04
7.08466181e+01  1.79581577e-04
7.33115657e+01  3.05944619e-04
7.62356112e+01  6.32416689e-04
8.03337419e+01  1.14766059e-03
8.92036376e+01  2.20544871e-03
1.02599482e+02  3.69157799e-03
1.20642928e+02  5.17293322e-03
1.41859547e+02  6.58029264e-03
1.66807383e+02  6.95645595e-03
1.96142618e+02  7.50205336e-03
2.31734081e+02  9.89382557e-03
2.71197303e+02  1.27164844e-02
3.20067134e+02  1.72439548e-02
3.76674990e+02  2.29156368e-02
4.39699734e+02  3.23670348e-02
5.18456310e+02  4.97492941e-02
6.12204208e+02  7.45429293e-02
7.09573715e+02  1.20704486e-01
8.42912051e+02  2.06448931e-01
9.79860490e+02  3.53637000e-01
1.18352976e+03  7.13309540e-01
