# CMS \\(2022)  (HNLimits id: cms_2022)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.09927361e+00  1.66447015e-02
4.39225182e+00  1.66447015e-02
4.65375303e+00  1.22761434e-02
5.01210654e+00  8.00447172e-03
5.69007264e+00  3.58022070e-03
6.10653753e+00  2.17120578e-03
6.97820823e+00  1.04413739e-03
7.19128329e+00  8.64790381e-04
7.65617433e+00  5.59800934e-04
8.37288136e+00  2.93674155e-04
8.68280872e+00  2.24590528e-04
9.11864407e+00  1.52950141e-04
9.36077482e+00  1.30405196e-04
9.85472155e+00  9.34305751e-05
1.01259080e+01  7.79453438e-05
1.05617433e+01  5.62512600e-05
1.11041162e+01  3.69445969e-05
1.13849879e+01  3.08213805e-05
1.20823245e+01  2.00966103e-05
1.23922518e+01  1.61690385e-05
1.31767554e+01  9.25319575e-06
1.40968523e+01  4.54770490e-06
1.46295400e+01  2.54657205e-06
1.50944310e+01  1.50022134e-06
1.50944310e+01  7.98515511e-07
1.50944310e+01  7.98515511e-07
1.40968523e+01  4.87778323e-07
1.20920097e+01  3.08959394e-07
1.11138015e+01  2.73140557e-07
1.00677966e+01  2.69209439e-07
9.12832930e+00  2.95810566e-07
8.13075061e+00  3.37036434e-07
7.12348668e+00  4.12875923e-07
5.11864407e+00  8.58544670e-07
4.08232446e+00  1.54435506e-06
3.09443099e+00  3.42785211e-06
2.09685230e+00  1.15845274e-05
1.09927361e+00  1.02662639e-04

# top
1.09927361e+00  1.66447015e-02
4.39225182e+00  1.66447015e-02
4.65375303e+00  1.22761434e-02
5.01210654e+00  8.00447172e-03
5.69007264e+00  3.58022070e-03
6.10653753e+00  2.17120578e-03
6.97820823e+00  1.04413739e-03
7.19128329e+00  8.64790381e-04
7.65617433e+00  5.59800934e-04
8.37288136e+00  2.93674155e-04
8.68280872e+00  2.24590528e-04
9.11864407e+00  1.52950141e-04
9.36077482e+00  1.30405196e-04
9.85472155e+00  9.34305751e-05
1.01259080e+01  7.79453438e-05
1.05617433e+01  5.62512600e-05
1.11041162e+01  3.69445969e-05
1.13849879e+01  3.08213805e-05
1.20823245e+01  2.00966103e-05
1.23922518e+01  1.61690385e-05
1.31767554e+01  9.25319575e-06
1.40968523e+01  4.54770490e-06
1.46295400e+01  2.54657205e-06
1.50944310e+01  1.50022134e-06
1.50944310e+01  7.98515511e-07
1.50944310e+01  7.98515511e-07
1.40968523e+01  4.87778323e-07
1.20920097e+01  3.08959394e-07
1.11138015e+01  2.73140557e-07
1.00677966e+01  2.69209439e-07
9.12832930e+00  2.95810566e-07
8.13075061e+00  3.37036434e-07
7.12348668e+00  4.12875923e-07
5.11864407e+00  8.58544670e-07
4.08232446e+00  1.54435506e-06
3.09443099e+00  3.42785211e-06
2.09685230e+00  1.15845274e-05
1.09927361e+00  1.02662639e-04
