# CMS \\(2024-I)  (HNLimits id: cms_2024_1)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
9.95994587e-01  4.35968928e-04
9.95994587e-01  8.37345333e-05
1.20175409e+00  5.27156462e-05
1.41017130e+00  3.34042570e-05
1.61858474e+00  2.12362842e-05
1.82165638e+00  1.36333173e-05
1.99221913e+00  4.35968928e-04
1.99934405e+00  9.25090410e-06
2.09656722e+00  3.07647078e-04
2.14213092e+00  7.80824053e-06
2.30227583e+00  6.40003754e-06
2.33735948e+00  1.38930096e-04
2.50778275e+00  5.01169018e-06
2.52196286e+00  7.57893951e-05
2.70518084e+00  4.32736283e-05
2.79316799e+00  4.20188039e-06
2.99931201e+00  1.89760943e-05
2.99971350e+00  4.24199458e-06
3.09673875e+00  5.29293136e-06
3.19601080e+00  9.48031045e-06

# top
9.95994587e-01  4.35968928e-04
9.95994587e-01  8.37345333e-05
1.20175409e+00  5.27156462e-05
1.41017130e+00  3.34042570e-05
1.61858474e+00  2.12362842e-05
1.82165638e+00  1.36333173e-05
1.99221913e+00  4.35968928e-04
1.99934405e+00  9.25090410e-06
2.09656722e+00  3.07647078e-04
2.14213092e+00  7.80824053e-06
2.30227583e+00  6.40003754e-06
2.33735948e+00  1.38930096e-04
2.50778275e+00  5.01169018e-06
2.52196286e+00  7.57893951e-05
2.70518084e+00  4.32736283e-05
2.79316799e+00  4.20188039e-06
2.99931201e+00  1.89760943e-05
2.99971350e+00  4.24199458e-06
3.09673875e+00  5.29293136e-06
3.19601080e+00  9.48031045e-06
