# CMS \\(2024-II)  (HNLimits id: cms_2024_2)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.00593219e+01  1.56152809e-05
1.24490998e+01  6.92124811e-06
1.50826350e+01  4.06832076e-06
1.76615190e+01  3.22443516e-06
2.02444782e+01  2.47211707e-06
2.51661211e+01  2.09388896e-06
3.01069072e+01  2.09388896e-06
3.99034597e+01  2.23768939e-06
4.05913724e+01  2.39136548e-06
4.98234695e+01  2.96753573e-06
6.01272258e+01  5.39524711e-06
7.51476917e+01  1.65039638e-04
7.53460966e+01  8.40076881e-01
8.56382534e+01  8.40076881e-01
8.58308865e+01  1.21052253e-03
1.00507080e+02  9.75490126e-04
1.24990756e+02  2.96753573e-03
1.26049957e+02  2.16459537e-03
1.50804688e+02  2.55559547e-03
1.99898940e+02  4.00132335e-03
2.02498791e+02  5.86231342e-03
2.53927980e+02  8.44739653e-03
2.98669382e+02  1.17748029e-02
4.01041564e+02  2.52746074e-02
5.15958191e+02  4.09090160e-02
6.01685711e+02  4.99295319e-02
7.57771248e+02  8.78111782e-02
9.02810903e+02  1.39788962e-01
1.00460689e+03  2.18869083e-01
1.20715819e+03  3.54257483e-01
1.50106204e+03  7.60413472e-01
