# CMS \\(2024-III)  (HNLimits id: cms_2024_3)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.00000000e+00  4.93427557e-05
1.02000000e+00  3.39265049e-05
1.04000000e+00  3.68953366e-05
1.06000000e+00  5.44462228e-05
1.08000000e+00  4.79415075e-05
1.10000000e+00  3.74766698e-05
1.12000000e+00  3.70767932e-05
1.14000000e+00  3.12752222e-05
1.16000000e+00  3.53857184e-05
1.18000000e+00  3.85990125e-05
1.20000000e+00  3.89367234e-05
1.22000000e+00  3.32872063e-05
1.24000000e+00  3.21917461e-05
1.26000000e+00  2.73562636e-05
1.28000000e+00  3.06980894e-05
1.30000000e+00  3.64349744e-05
1.32000000e+00  4.59564058e-05
1.34000000e+00  3.49438380e-05
1.36000000e+00  3.17288637e-05
1.38000000e+00  2.28358099e-05
1.40000000e+00  1.92680034e-05
1.42000000e+00  1.72173757e-05
1.44000000e+00  1.82632714e-05
1.46000000e+00  2.00610359e-05
1.48000000e+00  2.42143760e-05
1.50000000e+00  2.64422599e-05
1.53000000e+00  2.58810886e-05
1.56000000e+00  3.05956000e-05
1.59000000e+00  2.18445191e-05
1.62000000e+00  1.84993330e-05
1.65000000e+00  2.09599182e-05
1.68000000e+00  1.91671941e-05
1.71000000e+00  2.06742921e-05
1.74000000e+00  2.23578061e-05
1.80000000e+00  1.94091363e-05
1.83000000e+00  2.09011128e-05
1.86000000e+00  2.29282183e-05
1.89000000e+00  2.31836017e-05
1.92000000e+00  2.31457982e-05
1.95000000e+00  1.70157572e-05
1.98000000e+00  1.79616838e-05
2.00000000e+00  2.18470394e-05
2.05000000e+00  2.04365503e-05
2.10000000e+00  1.72030944e-05
2.15000000e+00  1.70476802e-05
2.20000000e+00  2.15773747e-05
2.25000000e+00  2.27450816e-05
2.30000000e+00  2.80510071e-05
2.35000000e+00  3.23454802e-05
2.40000000e+00  2.48965185e-05
2.45000000e+00  1.96309166e-05
2.50000000e+00  4.40032270e-05
2.55000000e+00  2.28778137e-05
2.60000000e+00  2.78191459e-05
2.65000000e+00  2.67001635e-05
2.70000000e+00  3.28579271e-05
2.75000000e+00  5.27795102e-05
2.80000000e+00  3.25647402e-05
2.85000000e+00  3.50614487e-05
2.90000000e+00  4.12057710e-05
2.95000000e+00  3.77471745e-05
3.00000000e+00  4.59228027e-05
