# Cosmology  (HNLimits id: cosmo)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: cosmology
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# Curve files OVERRIDDEN locally: the HNLimits row points every
#   flavour at Ue4_*_Cosmo.dat, whose '_bottom' is a flat two-point
#   line, not a boundary. Substituted the per-flavour Sabti et al.
#   (arXiv:2006.07387) files shipped alongside it. See
#   COSMO_PER_FLAVOUR_FILES in curves/plot/hnl_panel.py.
# Files used: top=Sabti_BBN/Umu4_top.dat  bottom=Sabti_BBN/Umu4_bottom.dat
# mass_GeV  U2
# bottom
1.04234183e-03  8.52522088e-10
1.14049321e-03  7.65795418e-10
1.25917017e-03  6.88806154e-10
1.39437394e-03  6.20185473e-10
1.54409714e-03  5.62239556e-10
1.70989764e-03  5.10581429e-10
1.89350013e-03  4.62084087e-10
2.09681847e-03  4.19628166e-10
2.31500571e-03  3.75056582e-10
2.56358350e-03  3.40188590e-10
2.83885276e-03  3.08562180e-10
3.13425432e-03  2.76260418e-10
3.47080004e-03  2.50448522e-10
3.84348174e-03  2.26659784e-10
4.25618323e-03  2.05834462e-10
4.71319792e-03  1.86602689e-10
5.21927893e-03  1.68012838e-10
5.76238446e-03  1.51121663e-10
6.38112882e-03  1.36861169e-10
7.06631563e-03  1.24329053e-10
7.82507148e-03  1.12596826e-10
8.63932473e-03  1.00965162e-10
9.56698938e-03  9.16885626e-11
1.06261860e-02  8.72225240e-11
1.17673588e-02  8.56829752e-11
1.30309640e-02  7.99037584e-11
1.43868691e-02  7.00597685e-11
1.58838377e-02  6.09569244e-11
1.75893248e-02  5.41095590e-11
1.94196624e-02  4.91639455e-11
2.15049135e-02  4.49537148e-11
2.38140535e-02  4.08933804e-11
2.63710865e-02  3.67564680e-11
2.92027254e-02  3.33221934e-11
3.23384260e-02  3.02605766e-11
3.58107959e-02  2.73394257e-11
3.96560028e-02  2.46579954e-11
4.37824970e-02  2.21410500e-11
4.84837326e-02  2.01136363e-11
5.36897434e-02  1.82156266e-11
5.94547572e-02  1.64967213e-11
6.56414793e-02  1.48433065e-11
7.26898636e-02  1.34795152e-11
8.04950083e-02  1.21782943e-11
8.91382652e-02  1.10215446e-11
9.87096635e-02  1.00088938e-11
1.09308843e-01  9.10486495e-12
1.20683264e-01  8.19231281e-12
1.33641841e-01  7.43069569e-12
1.47991623e-01  6.67783764e-12
1.63391113e-01  5.97365202e-12
1.80935282e-01  5.37854108e-12
2.00363567e-01  4.88436498e-12
2.21878071e-01  4.44319665e-12
2.44638270e-01  1.94992259e-11
2.45702370e-01  4.00741128e-12
2.45725194e-01  6.74500176e-12
2.45848351e-01  1.18823923e-11
2.55934278e-01  1.48173585e-11
2.63306363e-01  1.16006850e-11
2.78731086e-01  7.53023294e-12
2.97728873e-01  5.04226376e-12
3.19936629e-01  3.43828758e-12
3.50057257e-01  2.80666543e-12
3.87645351e-01  2.54879122e-12
4.27983075e-01  2.30120283e-12
4.73938116e-01  2.07763649e-12
5.24827761e-01  1.87868366e-12
5.79440227e-01  1.69241686e-12
6.41659949e-01  1.55279391e-12
7.10561849e-01  1.43694235e-12
7.89227745e-01  1.33793992e-12
8.73974618e-01  1.23050795e-12
9.62026161e-01  1.09779932e-12
9.83512272e-01  1.88815051e-11

# top
4.87220588e-03  3.90948715e-01
5.18562902e-03  3.22712205e-01
5.68871560e-03  2.44587875e-01
6.07701760e-03  1.98839397e-01
6.49182443e-03  1.61421508e-01
6.93494526e-03  1.31228726e-01
7.40831276e-03  1.06533912e-01
7.91399152e-03  8.69452384e-02
8.45418705e-03  7.04081447e-02
9.03125540e-03  5.71586366e-02
9.64771344e-03  4.64024406e-02
1.03062499e-02  3.77760798e-02
1.10097369e-02  3.07533867e-02
1.17612427e-02  2.50713409e-02
1.25640450e-02  2.04677793e-02
1.34216452e-02  1.67564104e-02
1.43377837e-02  1.36988055e-02
1.53164563e-02  1.11991333e-02
1.63619314e-02  9.14276539e-03
1.74787689e-02  7.46398465e-03
1.86718398e-02  6.11055983e-03
1.99463476e-02  5.01658715e-03
2.13078512e-02  4.12424328e-03
2.27622887e-02  3.39538275e-03
2.43160036e-02  2.79141656e-03
2.59757724e-02  2.29488308e-03
2.77488342e-02  1.88931785e-03
2.96429221e-02  1.55107354e-03
3.16662973e-02  1.23819416e-03
3.38277846e-02  9.74674523e-04
3.61368113e-02  7.64020172e-04
3.86034482e-02  6.00574846e-04
4.12384536e-02  4.72757036e-04
4.40533199e-02  3.71100691e-04
4.70603242e-02  2.91711852e-04
5.02725814e-02  2.28664785e-04
5.37041018e-02  1.75024623e-04
5.73698520e-02  1.33405385e-04
6.12858200e-02  1.01540436e-04
6.54690852e-02  7.71784647e-05
6.99378930e-02  5.86615111e-05
7.65273282e-02  3.99193297e-05
8.15467393e-02  3.01084427e-05
8.82798477e-02  2.16234962e-05
9.70527130e-02  1.42501500e-05
1.17194937e-01  6.24758790e-06
1.28322629e-01  4.26570060e-06
1.36010992e-01  3.23294004e-06
1.42373645e-01  1.70447262e-06
1.46215354e-01  1.02001621e-06
1.50541150e-01  6.36122772e-07
1.54464187e-01  4.32791034e-07
1.59083625e-01  3.24846687e-07
1.63812981e-01  2.09027922e-07
1.70262130e-01  1.45143455e-07
1.78629360e-01  9.83895451e-08
1.86204573e-01  6.68067952e-08
1.95664496e-01  4.90784266e-08
2.07023064e-01  3.53216702e-08
2.19067923e-01  2.50886152e-08
2.32659076e-01  1.78991359e-08
2.45903610e-01  1.32878562e-08
2.55308576e-01  9.65559215e-09
2.68043737e-01  7.15616647e-09
2.81826112e-01  5.05329421e-09
2.97155372e-01  3.60653585e-09
3.13247318e-01  2.77009329e-09
3.34256213e-01  2.07354359e-09
3.50338653e-01  1.69615817e-09
3.71056579e-01  1.32739083e-09
3.90647710e-01  9.78616088e-10
4.18387607e-01  7.76543558e-10
4.46946029e-01  5.96885916e-10
4.77453801e-01  4.62018745e-10
5.10043981e-01  3.57624989e-10
5.44858711e-01  2.75657916e-10
5.82049834e-01  2.13971451e-10
6.21779561e-01  1.64698595e-10
6.64221170e-01  1.27663488e-10
7.09559771e-01  9.92340275e-11
7.57993107e-01  7.67044091e-11
8.09732420e-01  5.87934225e-11
8.65003371e-01  4.37580140e-11
8.98880949e-01  3.15042469e-11
9.44070765e-01  2.44998578e-11
9.83512272e-01  1.88815051e-11
