# DELPHI \\(short)  (HNLimits id: delphi_short)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.81046598e+00  5.94024060e-03
1.96426977e+00  3.78406282e-03
2.11850978e+00  2.45597868e-03
2.47858336e+00  9.58164677e-04
2.87212095e+00  3.95095300e-04
3.51442110e+00  1.19844132e-04
4.14537419e+00  4.80635566e-05
4.54175597e+00  2.96904713e-05
4.75394140e+00  2.39411651e-05
5.07437357e+00  1.83408002e-05
5.32879355e+00  1.60529472e-05
5.59596970e+00  1.43414596e-05
5.93432196e+00  1.26817997e-05
6.33431588e+00  1.15643584e-05
6.86487685e+00  1.08069352e-05
7.19350434e+00  1.06540133e-05
7.75356891e+00  1.06986880e-05
9.10051551e+00  1.09162777e-05
1.08192083e+01  1.11382927e-05
1.25772579e+01  1.13648231e-05
1.41147208e+01  1.15959606e-05
1.55385646e+01  1.19114729e-05
1.68511248e+01  1.21724146e-05
1.88316386e+01  1.25684852e-05
2.15912418e+01  1.33486112e-05
2.39664329e+01  1.39072172e-05
2.56946636e+01  1.43258130e-05
2.77481364e+01  1.44707588e-05
3.25647595e+01  1.46384613e-05
3.79821839e+01  1.47650648e-05
4.10176539e+01  1.50653563e-05
4.63150758e+01  1.65541884e-05
5.09095041e+01  1.91083168e-05
5.38118827e+01  2.20565190e-05
5.65099139e+01  2.62545530e-05
5.85333873e+01  3.04804400e-05
6.24064380e+01  4.37939552e-05
6.45949104e+01  5.66281693e-05
6.79720515e+01  9.13212973e-05
7.02598160e+01  1.35914910e-04
7.16233664e+01  1.75692720e-04
7.25470700e+01  2.19249362e-04
7.34826863e+01  2.76372571e-04
7.49087837e+01  3.77596314e-04
7.61183174e+01  5.07310491e-04
7.73473812e+01  7.04844575e-04
7.83449056e+01  9.15727042e-04
7.93552947e+01  1.16598957e-03
8.03709589e+01  1.41468137e-03
