# BNL-E949  (HNLimits id: e949)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.78043208e-01  8.77876344e-08
1.81505669e-01  7.00539684e-08
1.84351729e-01  5.41827634e-08
1.86181339e-01  4.00140089e-08
1.87604368e-01  2.99379739e-08
1.88824108e-01  2.27847309e-08
1.90247138e-01  1.73406511e-08
1.91743119e-01  1.34393535e-08
1.94036697e-01  1.49856531e-08
1.95839072e-01  1.20377762e-08
1.98570356e-01  1.26666404e-08
2.02701325e-01  1.21467323e-08
2.04994903e-01  1.47543105e-08
2.06713628e-01  1.90795390e-08
2.08941063e-01  2.46572185e-08
2.11111111e-01  2.46542555e-08
2.13149847e-01  2.60339784e-08
2.15188583e-01  2.11020343e-08
2.17078499e-01  1.54806100e-08
2.19266055e-01  1.61979278e-08
2.20740637e-01  1.16751191e-08
2.22163667e-01  8.81686339e-09
2.23586697e-01  6.57622964e-09
2.24971418e-01  5.19762068e-09
2.28465657e-01  3.48030446e-09
2.30479103e-01  4.35024297e-09
2.32008155e-01  5.98448837e-09
2.33751196e-01  7.86062796e-09
2.34767646e-01  1.01694702e-08
2.35927080e-01  1.49071691e-08
2.39245011e-01  1.43031070e-08
2.40927625e-01  1.34393535e-08
2.42711519e-01  1.45265393e-08
2.44240571e-01  1.30276135e-08
2.46555548e-01  1.02249263e-08
2.47808359e-01  9.32383533e-09
2.49195400e-01  6.77981040e-09
2.51121305e-01  6.72516126e-09
2.52905199e-01  7.44083410e-09
2.53626603e-01  5.58193729e-09
2.54434251e-01  3.93182876e-09
2.55858253e-01  2.26630617e-09
2.57690781e-01  1.83636233e-09
2.59168281e-01  2.88997430e-09
2.60805301e-01  6.83060953e-09
2.62257511e-01  1.01793326e-08
2.64118247e-01  8.96814668e-09
2.65392457e-01  7.85724455e-09
2.67176351e-01  9.39664831e-09
2.68457369e-01  1.13688740e-08
2.71508665e-01  8.89865407e-09
2.72986165e-01  5.70290484e-09
2.74821611e-01  8.36175228e-09
2.76350663e-01  1.00000000e-08
2.77252336e-01  1.07120460e-08
2.78899083e-01  1.00780934e-08
2.80173293e-01  6.99189012e-09
2.80582652e-01  5.60714790e-09
2.80918782e-01  3.99142947e-09
2.82892904e-01  1.39805719e-09
2.84332664e-01  1.19080521e-09
2.85951008e-01  1.68509251e-09
2.86531373e-01  2.81475355e-09
2.87308869e-01  4.02466493e-09
2.88047011e-01  6.61813472e-09
2.89114300e-01  1.05517488e-08
2.89857288e-01  1.46399819e-08
2.91282264e-01  1.93791600e-08
2.92420947e-01  1.57425967e-08
2.94189602e-01  4.08777032e-09
2.95144774e-01  2.86224278e-09
2.96512532e-01  3.87863302e-09
2.97174755e-01  4.86794054e-09
2.98267074e-01  7.55750387e-09
2.99058835e-01  1.29585598e-08
