# LSND \\(Ema et al)  (HNLimits id: lsnd_ema)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.14535675e-02  1.05937882e-05
1.23255504e-02  8.72431423e-06
1.31975968e-02  7.29874290e-06
1.40696856e-02  6.17053290e-06
1.49418167e-02  5.27175374e-06
1.58139831e-02  4.54345001e-06
1.66861849e-02  3.95015913e-06
1.75584572e-02  3.49494081e-06
1.84307013e-02  3.07062301e-06
1.93030019e-02  2.73583745e-06
2.01753342e-02  2.45681503e-06
2.10476948e-02  2.22173975e-06
2.19201012e-02  2.03213038e-06
2.27924653e-02  1.83929807e-06
2.45373348e-02  1.56043615e-06
2.62823877e-02  1.38544890e-06
2.71548577e-02  1.28731744e-06
2.97726137e-02  1.12510592e-06
3.41363051e-02  1.08642717e-06
3.50089586e-02  1.05644376e-06
3.58815275e-02  1.00595020e-06
3.67541246e-02  9.64595275e-07
3.76267499e-02  9.31434541e-07
3.84993681e-02  8.97841984e-07
3.93720005e-02  8.68493870e-07
4.02446470e-02  8.43049135e-07
4.11173006e-02  8.19782521e-07
4.19899612e-02  7.98553578e-07
4.28626430e-02  7.81966932e-07
4.37353248e-02  7.65724795e-07
4.46080137e-02  7.51132713e-07
4.54807378e-02  7.43290941e-07
4.63534549e-02  7.34245617e-07
4.72261650e-02  7.24042809e-07
4.80989033e-02  7.18994696e-07
4.89716698e-02  7.18994696e-07
4.98444363e-02  7.18994696e-07
5.07172028e-02  7.18994696e-07
5.15899693e-02  7.18994696e-07
5.24627429e-02  7.20253417e-07
5.33355871e-02  7.34245617e-07
5.42083889e-02  7.40695251e-07
5.50812048e-02  7.49820026e-07
5.59540349e-02  7.61717253e-07
5.68268650e-02  7.73803249e-07
5.76997021e-02  7.87457177e-07
5.85725392e-02  8.01352024e-07
5.94453763e-02  8.15492052e-07
6.03182346e-02  8.34247755e-07
6.11910858e-02  8.51943364e-07
6.20639512e-02  8.73063187e-07
6.29368024e-02  8.91582123e-07
6.38096607e-02  9.12087838e-07
6.46825190e-02  9.33065171e-07
6.55553985e-02  9.59546907e-07
6.64282709e-02  9.85055735e-07
6.73011575e-02  1.01478649e-06
6.81740369e-02  1.04358759e-06
6.90469376e-02  1.07885247e-06
6.99198312e-02  1.11335989e-06
7.07927318e-02  1.15098251e-06
7.16656396e-02  1.19195953e-06
7.25385473e-02  1.23439542e-06
7.34114762e-02  1.28506771e-06
7.42844051e-02  1.33782011e-06
7.51573269e-02  1.39030406e-06
7.60302840e-02  1.45753858e-06
7.69032270e-02  1.52268843e-06
7.77761771e-02  1.59353525e-06
7.86491413e-02  1.67352260e-06
7.95221196e-02  1.76368397e-06
8.03950979e-02  1.85870280e-06
8.12680904e-02  1.96570535e-06
8.21410969e-02  2.08615303e-06
8.30141176e-02  2.22173975e-06
8.38871383e-02  2.36613876e-06
8.47602013e-02  2.54650814e-06
8.56332573e-02  2.73583745e-06
8.65063415e-02  2.95987976e-06
8.73794469e-02  3.21911704e-06
8.82525664e-02  3.51332838e-06
8.91256930e-02  3.84114197e-06
8.99988407e-02  4.22163706e-06
9.08720449e-02  4.70520495e-06
9.17452774e-02  5.28098282e-06
9.26184958e-02  5.90652007e-06
9.34918271e-02  6.79364496e-06
9.43651443e-02  7.78672309e-06
9.52385109e-02  9.03491540e-06
9.61119692e-02  1.07242953e-05
9.69855053e-02  1.29768556e-05
9.78591119e-02  1.59796248e-05
9.87328033e-02  2.00945995e-05
9.95338418e-02  2.57601371e-05
1.00189306e-01  3.21116595e-05
1.00772040e-01  4.00292388e-05
1.01354912e-01  5.16303279e-05
1.01865031e-01  6.62450628e-05
1.02302389e-01  8.43303248e-05
1.02812731e-01  1.14330223e-04
1.03177288e-01  1.43019386e-04
1.03469339e-01  1.89207015e-04
1.03907290e-01  2.78982660e-04
1.04464409e-01  6.66590178e-04
1.04202389e-01  4.27069344e-04
3.29513741e-02  1.05025873e-06
3.13157296e-02  1.06158700e-06
2.83422066e-02  1.18816876e-06
1.00624198e-02  1.47846536e-05
