# $\mu$BooNE  (HNLimits id: microboone_2023)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
9.87373103e-03  6.91984555e-03
1.01948810e-02  2.30510208e-03
1.20241911e-02  1.52973122e-03
1.38041533e-02  1.03811923e-03
1.55841395e-02  7.06554560e-04
1.73641257e-02  4.80888254e-04
1.92924785e-02  3.18292636e-04
2.19645264e-02  2.29675124e-04
2.52313319e-02  1.73363896e-04
2.84981768e-02  1.31484809e-04
3.17650216e-02  9.97223494e-05
3.50318403e-02  7.53924646e-05
3.82986589e-02  5.69984938e-05
4.15655038e-02  4.32295088e-05
4.48323224e-02  3.26825354e-05
4.80991542e-02  2.47481033e-05
5.13664319e-02  1.97812295e-05
5.46342997e-02  1.69843127e-05
5.79022069e-02  1.46526066e-05
6.11700486e-02  1.25408826e-05
6.44379558e-02  1.08191967e-05
6.77058368e-02  9.30423025e-06
7.09737178e-02  8.00139816e-06
7.42415987e-02  6.88099619e-06
7.75094797e-02  5.91747935e-06
8.07773738e-02  5.09697995e-06
8.40452286e-02  4.36935043e-06
8.73131489e-02  3.77550051e-06
9.05810037e-02  3.23652141e-06
9.38489109e-02  2.79219278e-06
9.71167787e-02  2.39739775e-06
1.00384725e-01  2.07816119e-06
1.03652974e-01  1.86855292e-06
1.06921235e-01  1.68276052e-06
1.10189522e-01  1.52026994e-06
1.13457784e-01  1.36910773e-06
1.16726045e-01  1.23297575e-06
1.19994320e-01  1.11214699e-06
1.23262581e-01  1.00156491e-06
1.26530855e-01  9.03413872e-07
1.29799117e-01  8.13586378e-07
1.33067391e-01  7.33856800e-07
1.36335665e-01  6.61940534e-07
1.39603927e-01  5.96123014e-07
1.42872188e-01  5.36849807e-07
1.46140463e-01  4.84239771e-07
1.49635584e-01  4.27589670e-07
1.50291754e-01  1.54632532e-07
1.54451056e-01  1.30457396e-07
1.57719160e-01  1.15264807e-07
1.60987291e-01  1.02165964e-07
1.64255408e-01  9.04117761e-08
1.67523525e-01  8.00099073e-08
1.70791642e-01  7.08047728e-08
1.74059772e-01  6.27584255e-08
1.77327876e-01  5.54498103e-08
1.80596085e-01  4.96196864e-08
1.83864385e-01  4.48996700e-08
1.87132739e-01  4.08879416e-08
1.90401105e-01  3.72939243e-08
1.93669471e-01  3.40158183e-08
1.96937811e-01  3.09273195e-08
2.00206308e-01  2.86610783e-08
2.03475383e-01  2.84862552e-08
2.06744510e-01  2.84931954e-08
2.10013637e-01  2.85001374e-08
2.13282764e-01  2.85070811e-08
2.16551891e-01  2.85140264e-08
2.19820965e-01  2.83401002e-08
2.23089646e-01  2.68548046e-08
2.26358249e-01  2.52056654e-08
2.29626825e-01  2.35826636e-08
2.32895427e-01  2.21344649e-08
2.36164003e-01  2.07092187e-08
2.39432592e-01  1.94065861e-08
2.42700906e-01  1.75885088e-08
2.44640374e-01  1.64674391e-08
