# $\mu$BooNE \\(Kelly-Machado)  (HNLimits id: microboone_higgs)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
2.01191636e-02  3.79442552e-03
2.08940753e-02  3.28625388e-03
2.16713198e-02  2.85067268e-03
2.25033519e-02  2.49246757e-03
2.38704314e-02  2.01078288e-03
2.48732178e-02  1.72188793e-03
2.56510200e-02  1.54589733e-03
2.69639858e-02  1.27584553e-03
2.81049052e-02  1.08778626e-03
2.90742011e-02  9.53410672e-04
3.05336129e-02  7.75966275e-04
3.18578704e-02  6.55815896e-04
3.29231889e-02  5.78546256e-04
3.45107348e-02  4.73488815e-04
3.59371138e-02  4.05813581e-04
3.72466272e-02  3.52565023e-04
3.91531225e-02  2.85918332e-04
4.08097974e-02  2.43409398e-04
4.22172659e-02  2.13273113e-04
4.43364083e-02  1.73582762e-04
4.62124020e-02  1.47642658e-04
4.85069316e-02  1.23249660e-04
5.15676821e-02  9.58265096e-05
5.38806816e-02  7.91633404e-05
5.67453951e-02  6.25382326e-05
5.91259167e-02  5.19985725e-05
6.10711688e-02  4.51039985e-05
6.38955263e-02  3.61894078e-05
6.66618762e-02  2.98870613e-05
6.87663635e-02  2.60771928e-05
7.20822561e-02  2.08235615e-05
7.51888847e-02  1.71997028e-05
7.75041454e-02  1.50362824e-05
8.14712506e-02  1.18324750e-05
8.50586036e-02  9.43202119e-06
8.79465765e-02  7.94287554e-06
9.16505686e-02  6.42822858e-06
9.63417686e-02  4.90325161e-06
1.00000000e-01  4.09431933e-06
1.05927968e-01  3.26062488e-06
1.12611943e-01  2.56577265e-06
1.18006410e-01  2.09278825e-06
1.24121797e-01  1.65824207e-06
1.30989772e-01  1.34317976e-06
1.36034987e-01  1.20598357e-06
1.40008996e-01  1.10903291e-06
1.48042020e-01  8.02262756e-07
1.53467583e-01  6.94806561e-07
1.61689772e-01  5.59985823e-07
1.67013291e-01  4.90824357e-07
1.73077805e-01  4.25997120e-07
1.81101585e-01  3.55146457e-07
1.88415691e-01  3.00286344e-07
1.94619142e-01  2.56950740e-07
1.99584914e-01  2.30676065e-07
