# NA62  (HNLimits id: na62)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
2.00000000e-01  2.69182000e-08
2.01000000e-01  4.79137000e-08
2.02000000e-01  3.59478000e-08
2.03000000e-01  3.55925000e-08
2.04000000e-01  2.32205000e-08
2.05000000e-01  3.33988000e-08
2.06000000e-01  3.21189000e-08
2.07000000e-01  3.69600000e-08
2.08000000e-01  4.87425000e-08
2.09000000e-01  3.97163000e-08
2.10000000e-01  2.94719000e-08
2.11000000e-01  2.69458000e-08
2.12000000e-01  2.87414000e-08
2.13000000e-01  2.27550000e-08
2.14000000e-01  1.97950000e-08
2.15000000e-01  1.73044000e-08
2.16000000e-01  1.88803000e-08
2.17000000e-01  2.76594000e-08
2.18000000e-01  3.42903000e-08
2.19000000e-01  2.63119000e-08
2.20000000e-01  2.82851000e-08
2.21000000e-01  2.75027000e-08
2.22000000e-01  3.42503000e-08
2.23000000e-01  2.78576000e-08
2.24000000e-01  2.71402000e-08
2.25000000e-01  2.44790000e-08
2.26000000e-01  2.86234000e-08
2.27000000e-01  2.46708000e-08
2.28000000e-01  2.02712000e-08
2.29000000e-01  1.44332000e-08
2.30000000e-01  1.40898000e-08
2.31000000e-01  1.33395000e-08
2.32000000e-01  1.28298000e-08
2.33000000e-01  8.41669000e-09
2.34000000e-01  6.76240000e-09
2.35000000e-01  5.82157000e-09
2.36000000e-01  6.18007000e-09
2.37000000e-01  7.41413000e-09
2.38000000e-01  7.53547000e-09
2.39000000e-01  1.14791000e-08
2.40000000e-01  1.81247000e-08
2.41000000e-01  2.71136000e-08
2.42000000e-01  3.28486000e-08
2.43000000e-01  2.67132000e-08
2.44000000e-01  2.51209000e-08
2.45000000e-01  2.26248000e-08
2.46000000e-01  2.08210000e-08
2.47000000e-01  1.41751000e-08
2.48000000e-01  8.44385000e-09
2.49000000e-01  9.23000000e-09
2.50000000e-01  7.47987000e-09
2.51000000e-01  8.40947000e-09
2.52000000e-01  4.85076000e-09
2.53000000e-01  5.54875000e-09
2.54000000e-01  7.86387000e-09
2.55000000e-01  8.22660000e-09
2.56000000e-01  1.42435000e-08
2.57000000e-01  2.34990000e-08
