# NuTeV  (HNLimits id: nutev)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
2.10305141e-01  5.35244013e-06
2.18726824e-01  3.00938665e-06
2.26594303e-01  2.33577433e-06
2.37526230e-01  1.48878574e-06
2.50948494e-01  9.18795078e-07
2.60997742e-01  7.09740832e-07
2.75746348e-01  4.22321670e-07
2.86788628e-01  3.21685200e-07
3.00624599e-01  2.05901933e-07
3.20116430e-01  1.30321189e-07
3.32935512e-01  1.01948359e-07
3.57878896e-01  6.20924630e-08
3.77508750e-01  5.80810184e-08
3.84993237e-01  9.15083934e-08
3.88028416e-01  1.55959117e-07
3.88028416e-01  2.04175851e-07
3.88028416e-01  3.74317371e-07
3.89554968e-01  5.02575988e-07
4.03567039e-01  6.52438062e-07
4.48700456e-01  5.17604342e-07
4.77793196e-01  4.57163103e-07
5.41759907e-01  3.40493964e-07
5.74625767e-01  3.02184267e-07
6.41403219e-01  2.49890402e-07
7.18757499e-01  2.08957763e-07
7.65360138e-01  1.84169521e-07
8.61037981e-01  1.39204762e-07
9.13272843e-01  1.19128909e-07
1.00746724e+00  8.98544289e-08
1.11574909e+00  6.95072264e-08
1.18809178e+00  6.38953800e-08
1.36847780e+00  5.26478093e-08
1.45720686e+00  4.79914369e-08
1.63062919e+00  4.49226259e-08
1.78027546e+00  6.21970944e-08
1.78307369e+00  8.13347673e-08
1.79090000e+00  5.38494593e-07

# top
1.79090000e+00  5.38494593e-07
1.70056416e+00  1.07816099e-06
1.60120295e+00  1.46701351e-06
1.49194392e+00  2.29677674e-06
1.39560923e+00  3.39723126e-06
1.33137760e+00  4.32099423e-06
1.23566899e+00  6.91928703e-06
1.18343600e+00  8.59676807e-06
1.09836246e+00  1.36261568e-05
1.02744129e+00  2.03081403e-05
9.80154245e-01  2.57434241e-05
9.09693995e-01  4.10502632e-05
8.71240300e-01  5.17125766e-05
8.08609535e-01  7.77042088e-05
7.59373449e-01  1.19071078e-04
7.27273956e-01  1.49009482e-04
6.72347389e-01  2.45392333e-04
6.41403219e-01  3.16351024e-04
5.95294730e-01  4.81626755e-04
5.59047342e-01  7.09396287e-04
5.35415839e-01  8.89899817e-04
4.94979146e-01  1.45217439e-03
4.72198186e-01  1.84882236e-03
4.38253322e-01  2.86941410e-03
4.11568157e-01  4.22640911e-03
3.94170750e-01  5.34019970e-03
3.64401437e-01  8.71016212e-03
3.47630196e-01  1.10679447e-02
3.23909445e-01  1.70808802e-02
3.01807293e-01  2.41081878e-02
2.90186746e-01  3.33834977e-02
2.70385683e-01  5.00060146e-02
2.58956203e-01  6.12022581e-02
2.40053963e-01  9.85200755e-02
2.19633631e-01  1.68001367e-01
2.10305141e-01  2.12132034e-01
