# PIENU  (HNLimits id: pienu_he)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.56646824e-02  5.95706734e-06
1.61302909e-02  4.18394990e-06
1.65748782e-02  3.45431158e-06
1.70087736e-02  3.35241370e-06
1.74320443e-02  3.71168294e-06
1.78345491e-02  4.31112264e-06
1.82371344e-02  4.83064588e-06
1.86399481e-02  4.88885056e-06
1.90119889e-02  4.49568464e-06
1.94047823e-02  3.96441813e-06
1.97665342e-02  3.58068560e-06
2.01281384e-02  3.45431158e-06
2.04896351e-02  3.49593274e-06
2.08408428e-02  3.47505985e-06
2.11921715e-02  3.27306392e-06
2.15333186e-02  2.88627762e-06
2.18642843e-02  2.38294015e-06
2.21952634e-02  1.95563313e-06
2.25260813e-02  1.72453098e-06
2.28463013e-02  1.71423446e-06
2.31559100e-02  1.93235015e-06
2.34652500e-02  2.45537051e-06
2.37641131e-02  3.33239771e-06
2.40735203e-02  4.10945411e-06
2.43729744e-02  4.28538255e-06
2.46724956e-02  4.33701733e-06
2.49719228e-02  4.57718198e-06
2.52507050e-02  4.80180391e-06
2.55400716e-02  4.49568464e-06
2.58296128e-02  3.89383113e-06
2.61084890e-02  3.91721937e-06
2.63767001e-02  4.57718198e-06
2.66553479e-02  5.09814547e-06
2.69242307e-02  4.41563837e-06
2.71938656e-02  2.73483469e-06
2.74530369e-02  1.79835929e-06
2.77111337e-02  1.90934437e-06
2.79789150e-02  2.70227485e-06
2.82367566e-02  3.21478657e-06
2.85047931e-02  4.06052861e-06
2.87527890e-02  3.89383113e-06
2.89900527e-02  4.46884260e-06
