# PIENU\\(low $\mu$ energy)  (HNLimits id: pienu_le)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
2.81476461e-02  1.03442277e-05
2.83034774e-02  1.02537777e-05
2.84593199e-02  1.01132373e-05
2.86151765e-02  9.91224644e-06
2.87710077e-02  9.82557372e-06
2.89268559e-02  9.66661575e-06
2.90827012e-02  9.52216876e-06
2.92385269e-02  9.46262142e-06
2.93943722e-02  9.32122270e-06
2.95502006e-02  9.25131766e-06
2.97060206e-02  9.21656198e-06
2.98618435e-02  9.17042411e-06
3.00176719e-02  9.10164999e-06
3.01734947e-02  9.05608736e-06
3.03293007e-02  9.07884009e-06
3.04851179e-02  9.05608736e-06
3.06409210e-02  9.09023789e-06
3.07967269e-02  9.11307642e-06
3.09525272e-02  9.15892577e-06
3.11083304e-02  9.19346410e-06
3.12641222e-02  9.27456089e-06
3.14199085e-02  9.37988023e-06
3.15756919e-02  9.49830499e-06
3.17314725e-02  9.63029987e-06
3.18872418e-02  9.81325393e-06
3.20430027e-02  1.00373925e-05
3.21987665e-02  1.02537777e-05
3.23545161e-02  1.05407448e-05
3.25102320e-02  1.10001163e-05
3.26659648e-02  1.13934163e-05
3.28216835e-02  1.18750396e-05
3.29773628e-02  1.25963439e-05
3.31329918e-02  1.36641929e-05
3.32904822e-02  1.47805004e-05
3.34287132e-02  1.63894496e-05
3.36348414e-02  2.00905070e-05
3.38195858e-02  3.40298126e-05
