# PSI  (HNLimits id: psi)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.00055414e-03  1.14872866e-02
1.12480585e-03  9.82116992e-03
1.19418808e-03  8.43141586e-03
1.25368793e-03  7.29822891e-03
1.31317884e-03  6.34345656e-03
1.38259681e-03  5.35669825e-03
1.46192175e-03  4.43569867e-03
1.54122658e-03  3.70730062e-03
1.61063339e-03  3.14679473e-03
1.67024939e-03  2.58163981e-03
1.71989365e-03  2.22544954e-03
1.76954685e-03  1.91050569e-03
1.82912711e-03  1.59346175e-03
1.88874312e-03  1.30728079e-03
1.93844099e-03  1.09936491e-03
1.97820733e-03  9.53559727e-04
2.02795435e-03  7.83912418e-04
2.08758822e-03  6.37839989e-04
2.13725929e-03  5.43074350e-04
2.17701223e-03  4.73971902e-04
2.22669223e-03  4.01891320e-04
2.27636777e-03  3.41476180e-04
2.31613411e-03  2.96187307e-04
2.35591385e-03  2.55320211e-04
2.39248584e-03  2.12069965e-04
2.43556716e-03  1.81681939e-04
2.46544218e-03  1.59547127e-04
2.50533808e-03  1.30352092e-04
2.55506723e-03  1.08048983e-04
2.59488718e-03  9.14276599e-05
2.63472053e-03  7.68859964e-05
2.67130146e-03  6.35989140e-05
2.71122416e-03  5.13220696e-05
2.75431442e-03  4.37870044e-05
2.81389915e-03  3.64454052e-05
2.91230755e-03  4.06585157e-05
2.99087523e-03  4.77581540e-05
3.07957280e-03  4.96293751e-05
3.14902919e-03  4.11724292e-05
3.19867792e-03  3.54187178e-05
3.28778026e-03  3.05329200e-05
3.40589536e-03  3.44161728e-05
3.52424278e-03  3.48479581e-05
3.63307415e-03  3.00413567e-05
3.89943849e-03  2.97393325e-05
4.01764295e-03  3.21669785e-05
4.13611546e-03  3.07428254e-05
4.22486485e-03  3.11920737e-05
4.28375710e-03  3.57424608e-05
4.35244685e-03  4.22439372e-05
4.44091389e-03  4.88288876e-05
4.54916090e-03  5.51295338e-05
4.66750832e-03  5.58211890e-05
4.78590488e-03  5.52535895e-05
4.90438186e-03  5.26984992e-05
4.98357500e-03  4.63754345e-05
5.02344857e-03  3.82821043e-05
5.06322831e-03  3.30000467e-05
5.10304826e-03  2.79236042e-05
5.12637821e-03  2.41699726e-05
5.16293232e-03  2.02419881e-05
5.18296963e-03  1.75570883e-05
5.24243820e-03  1.54184166e-05
5.33093294e-03  1.75953744e-05
5.37992493e-03  2.04975255e-05
5.42891692e-03  2.38783525e-05
5.49757540e-03  2.86321929e-05
5.58606120e-03  3.28098968e-05
5.66462887e-03  3.85390386e-05
5.75310128e-03  4.44363529e-05
5.85187379e-03  4.19027747e-05
5.91140267e-03  3.57879909e-05
5.95123603e-03  3.00958741e-05
5.99098897e-03  2.62663827e-05
6.04066897e-03  2.22718502e-05
6.12974450e-03  1.94386614e-05
6.20887956e-03  1.75711816e-05
6.23228546e-03  1.46851284e-05
6.25246126e-03  1.19483668e-05
6.30901247e-03  8.84192264e-06
6.32700985e-03  1.02612707e-05
6.37062103e-03  1.31930494e-05
6.40629726e-03  1.65706235e-05
6.44190648e-03  2.14668784e-05
6.48085524e-03  2.71580655e-05
6.50340782e-03  3.36562396e-05
6.58173424e-03  4.41908740e-05
6.70000571e-03  4.63420517e-05
6.80869859e-03  4.25878773e-05
6.87811210e-03  3.60373599e-05
6.91790524e-03  3.08733986e-05
6.94788748e-03  2.58025991e-05
6.97784292e-03  2.18331815e-05
7.03043964e-03  1.76916082e-05
7.03775378e-03  1.56323461e-05
7.09601610e-03  2.39588733e-05
7.15464922e-03  3.09428717e-05
7.23382449e-03  2.74557554e-05
7.26373525e-03  2.37161701e-05
7.35275270e-03  2.12617733e-05
7.43161077e-03  2.18409315e-05
7.46157067e-03  1.84428896e-05
7.47169878e-03  1.63298627e-05
7.50161401e-03  1.40766053e-05
7.53150243e-03  1.22853601e-05
7.56146680e-03  1.03526121e-05
7.64362516e-03  8.51350821e-06
7.72599160e-03  9.81332202e-06
7.74857545e-03  1.19870550e-05
7.81731345e-03  1.38553735e-05
7.88599516e-03  1.64365453e-05
7.92163788e-03  2.09663290e-05
7.94413685e-03  2.66341146e-05
7.99307523e-03  3.18046262e-05
8.08163698e-03  3.51894635e-05
8.21004326e-03  3.25735611e-05
8.29911879e-03  2.84298979e-05
8.37839682e-03  2.40572301e-05
8.44786170e-03  1.98797704e-05
8.53510193e-03  1.62828857e-05
8.54710555e-03  1.50804104e-05
8.63558465e-03  1.73343297e-05
8.73463863e-03  1.43541872e-05
8.84328772e-03  1.34607042e-05
8.89302044e-03  1.11391962e-05
8.92960583e-03  9.19518663e-06
9.01200226e-03  8.41532381e-06
9.10070698e-03  8.71623423e-06
9.13983445e-03  1.01537967e-05
9.15255825e-03  1.23772967e-05
9.18828586e-03  1.51816241e-05
9.26700096e-03  1.66592021e-05
9.35584418e-03  1.61861562e-05
9.43437611e-03  1.93288409e-05
9.48333683e-03  2.28443627e-05
9.50273079e-03  2.66666019e-05
9.52537272e-03  3.17116804e-05
9.60071030e-03  3.62634637e-05
9.68969201e-03  3.30514321e-05
9.73926479e-03  2.94472355e-05
9.77907134e-03  2.50719854e-05
9.77937961e-03  2.17460985e-05
9.79953754e-03  1.78400137e-05
9.81970887e-03  1.45452684e-05
9.84311030e-03  1.21813180e-05
9.87965995e-03  1.02227337e-05
9.93497363e-03  8.68090130e-06
1.00013179e-02  1.02448152e-05
1.00467858e-02  1.33076698e-05
1.01319691e-02  1.53503252e-05
1.01645292e-02  1.78083385e-05
1.01970178e-02  2.13531213e-05
1.02651018e-02  2.68718653e-05
1.03706342e-02  2.89199238e-05
1.04689220e-02  3.41107584e-05
1.05876268e-02  2.92850125e-05
1.06667440e-02  2.66908904e-05
1.07064969e-02  2.32946596e-05
1.07118112e-02  1.95285791e-05
1.07565790e-02  1.64056742e-05
1.07667674e-02  1.41271612e-05
1.07685523e-02  1.18781181e-05
1.07777466e-02  8.44435280e-06
1.07813708e-02  9.79630644e-06
1.08775560e-02  1.81254006e-05
1.10026827e-02  2.07584242e-05
1.10816703e-02  2.00857958e-05
1.11347636e-02  1.60755165e-05
1.11521069e-02  1.05980800e-05
1.11590943e-02  8.76636590e-06
1.11742306e-02  1.28885481e-05
1.12299866e-02  1.71029135e-05
1.12599063e-02  1.47126106e-05
1.13685884e-02  1.35878361e-05
1.14215941e-02  1.13235622e-05
1.15017586e-02  9.81917168e-06
