# T2K  (HNLimits id: t2k)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.40000000e-01  7.29889631e-07
1.50000000e-01  5.44055356e-07
1.60000000e-01  3.81453483e-07
1.70000000e-01  2.84887209e-07
1.80000000e-01  2.13262080e-07
1.90000000e-01  1.53471244e-07
2.00000000e-01  1.13631616e-07
2.10000000e-01  9.07861286e-08
2.20000000e-01  7.04406952e-08
2.30000000e-01  5.29268808e-08
2.40000000e-01  4.15394924e-08
2.50000000e-01  1.54633669e-08
2.60000000e-01  8.89282943e-09
2.70000000e-01  6.06747414e-09
2.80000000e-01  4.52732778e-09
2.90000000e-01  3.53781427e-09
3.00000000e-01  2.76343652e-09
3.10000000e-01  2.28572408e-09
3.20000000e-01  1.84737520e-09
3.30000000e-01  1.55380679e-09
3.40000000e-01  1.31802477e-09
3.50000000e-01  1.10059764e-09
3.60000000e-01  9.60219310e-10
3.70000000e-01  8.74800103e-10
3.80000000e-01  8.13962587e-10
