# T2K \\(Arg\"uelles et al)  (HNLimits id: t2k_lowmass)
# Scenario: 010, single muon-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
3.84182074e-01  1.09215652e-07
3.83557144e-01  1.00660507e-07
3.81424761e-01  7.90762736e-08
3.80503467e-01  7.30971505e-08
3.76824861e-01  6.56323278e-08
3.73146254e-01  6.24465771e-08
3.72189094e-01  6.18911748e-08
3.69467647e-01  6.00754065e-08
3.65789040e-01  5.83743704e-08
3.62110433e-01  5.72159547e-08
3.58431827e-01  5.65084550e-08
3.54753220e-01  5.61732612e-08
3.51074613e-01  5.60564941e-08
3.47396006e-01  5.60259637e-08
3.43717399e-01  5.61175283e-08
3.40038793e-01  5.63545089e-08
3.36360186e-01  5.71507685e-08
3.32681579e-01  5.80922149e-08
3.29002972e-01  5.92066540e-08
3.25324365e-01  6.05555897e-08
3.22062587e-01  6.18911748e-08
3.21645759e-01  6.20352158e-08
3.17967152e-01  6.33893344e-08
3.14288545e-01  6.48883312e-08
3.10609938e-01  6.65517024e-08
3.06931331e-01  6.83276454e-08
3.03252724e-01  7.02780604e-08
2.99574118e-01  7.23517925e-08
2.95895511e-01  7.39926531e-08
2.92216904e-01  7.58167306e-08
2.88538297e-01  7.86425845e-08
2.88150520e-01  7.90762736e-08
2.84859690e-01  8.25687456e-08
2.81181084e-01  8.69694185e-08
2.77502477e-01  9.03550757e-08
2.73823870e-01  9.33153883e-08
2.70145263e-01  9.65921148e-08
2.67174695e-01  1.00660507e-07
2.66466656e-01  1.01422623e-07
2.62788050e-01  1.05608981e-07
2.59109443e-01  1.10509863e-07
2.55430836e-01  1.16743240e-07
2.51752229e-01  1.23897927e-07
