# ATLAS \\(2024)  (HNLimits id: atlas_2024)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
4.95106188e+01  3.45749943e-01
5.90854849e+01  2.99459860e-01
6.73214660e+01  2.67534016e-01
8.48598014e+01  2.19634062e-01
1.00000000e+02  1.90228767e-01
1.32025596e+02  1.61997664e-01
1.93651163e+02  1.29297323e-01
2.48245377e+02  1.11671422e-01
4.02827239e+02  9.80931077e-02
4.99292062e+02  9.53671036e-02
7.57428888e+02  9.89260036e-02
9.03908176e+02  1.04662299e-01
1.00000000e+03  1.04662299e-01
1.26051624e+03  1.16822336e-01
1.50428767e+03  1.20500758e-01
1.75042869e+03  1.35642994e-01
1.99442259e+03  1.44726862e-01
2.48245377e+03  1.69948207e-01
2.97503290e+03  1.88627159e-01
3.64118835e+03  2.22124086e-01
4.62858131e+03  2.69046278e-01
5.93347283e+03  3.33311459e-01
7.32346544e+03  4.01451975e-01
9.19256964e+03  5.05825589e-01
1.08783511e+04  6.02404474e-01
1.38282692e+04  7.63314243e-01
1.53628455e+04  8.37712591e-01
