# BEBC\\(Barouki et al)  (HNLimits id: bebc_barouki)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.49433898e-01  6.99978707e-01
1.49433898e-01  1.10747612e-04
1.50388457e-01  6.80810212e-05
1.69374488e-01  3.37083807e-05
1.97639163e-01  1.28014611e-05
2.40384024e-01  6.23438408e-06
2.77579495e-01  3.38313862e-06
3.14774967e-01  2.23744440e-06
3.51970438e-01  1.55553767e-06
3.89165909e-01  1.12363921e-06
4.26361380e-01  8.22077197e-07
4.63556851e-01  6.32930101e-07
5.00752322e-01  5.08467768e-07
5.37947794e-01  3.94820307e-07
5.75143265e-01  3.15499804e-07
6.12338736e-01  2.56166835e-07
6.49534207e-01  2.08656324e-07
6.86729678e-01  1.71773567e-07
7.23925150e-01  1.45372768e-07
7.61120621e-01  1.27151004e-07
7.98316092e-01  1.14208087e-07
8.35511563e-01  9.78955480e-08
8.72707034e-01  8.44498154e-08
9.09902505e-01  7.44160702e-08
9.47097977e-01  6.74836114e-08
9.84293448e-01  6.03571783e-08
1.02148892e+00  5.48508976e-08
1.05868439e+00  5.02192060e-08
1.09587986e+00  4.59297764e-08
1.13307533e+00  4.30463096e-08
1.17027080e+00  3.94952853e-08
1.20746627e+00  3.65078180e-08
1.24466175e+00  3.55882932e-08
1.28185722e+00  3.29313394e-08
1.31905269e+00  3.12600989e-08
1.35624816e+00  3.04727487e-08
1.39344363e+00  2.90804182e-08
1.43063910e+00  2.86813558e-08
1.46783457e+00  2.89570420e-08
1.50503004e+00  3.00226515e-08
1.54222552e+00  3.01185379e-08
1.57942099e+00  3.01185379e-08
1.61661646e+00  3.16277351e-08
1.65381193e+00  3.43616432e-08
1.69100740e+00  3.60834564e-08
1.72820287e+00  3.96635615e-08
1.76539834e+00  4.64205695e-08
1.80259381e+00  5.74770831e-08
1.83978928e+00  7.20040164e-08
1.89918231e+00  1.07885756e-07
1.91357352e+00  1.51597184e-07
1.93379238e+00  3.99973449e-07
1.94010434e+00  8.27043609e-07
1.93785007e+00  2.01111571e-06

# top
1.49433898e-01  6.99978707e-01
1.93785007e+00  2.01111571e-06
1.93362331e+00  4.38483664e-06
1.93176354e+00  1.32185188e-05
1.93048055e+00  4.75018477e-05
1.92840155e+00  6.59312662e-05
1.89953016e+00  9.80490102e-05
1.82626366e+00  1.49137230e-04
1.78906819e+00  1.80390988e-04
1.75187272e+00  2.16117076e-04
1.71467725e+00  2.56453607e-04
1.67748177e+00  3.03349791e-04
1.64028630e+00  3.55405439e-04
1.60309083e+00  4.09372464e-04
1.56589536e+00  4.81665399e-04
1.52869989e+00  5.59542286e-04
1.49150442e+00  6.47252779e-04
1.45430895e+00  7.68057353e-04
1.41711348e+00  8.95088453e-04
1.37991800e+00  1.09307318e-03
1.34272253e+00  1.36643197e-03
1.30552706e+00  1.59751578e-03
1.26833159e+00  1.96126604e-03
1.23113612e+00  2.37732469e-03
1.19394065e+00  2.81504280e-03
1.15674518e+00  3.41221977e-03
1.11954971e+00  4.07932226e-03
1.08235424e+00  4.88203230e-03
1.04515876e+00  5.94922928e-03
1.00796329e+00  7.38975097e-03
9.70767822e-01  9.22798681e-03
9.33572351e-01  1.15112508e-02
8.93478531e-01  1.48247187e-02
8.59181408e-01  1.87102571e-02
8.21985937e-01  2.39682118e-02
7.84790466e-01  3.11309580e-02
7.47594995e-01  4.14789786e-02
7.10399524e-01  5.62146400e-02
6.73204053e-01  7.52196754e-02
6.36008581e-01  9.96916898e-02
5.98813110e-01  1.36842089e-01
5.61617639e-01  1.95371011e-01
5.24422168e-01  2.92910378e-01
4.70578528e-01  5.23995612e-01
4.47256531e-01  7.01933023e-01
