# Belle  (HNLimits id: belle)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
4.99798132e-01  9.89433905e-01
5.01214581e-01  5.18052991e-02
5.01214581e-01  1.09860340e-02
5.01214581e-01  2.32974127e-03
5.02551866e-01  3.20023985e-04
5.41642967e-01  2.64678328e-04
5.72297335e-01  2.44971969e-04
6.04686591e-01  2.08055334e-04
6.38908922e-01  1.85098335e-04
6.75068071e-01  1.65241676e-04
7.13273653e-01  1.47261751e-04
7.53641486e-01  1.32143916e-04
7.96293943e-01  1.18578072e-04
8.41360321e-01  1.06222101e-04
8.88977239e-01  9.58103070e-05
9.39289043e-01  8.62706094e-05
9.92448252e-01  7.80824861e-05
1.04861601e+00  7.07931294e-05
1.10796260e+00  6.42947185e-05
1.17066791e+00  5.83928252e-05
1.23692205e+00  5.34905707e-05
1.30692584e+00  4.91686627e-05
1.38089151e+00  4.52737296e-05
1.45904328e+00  4.19029194e-05
1.54161806e+00  3.91179281e-05
1.62886617e+00  3.69602061e-05
1.72105211e+00  3.48615115e-05
1.81845532e+00  3.34522359e-05
1.98080654e+00  3.30998002e-05
2.00450445e+00  2.73484876e-05
2.14500584e+00  2.69729896e-05
2.26640277e+00  2.76401401e-05
2.39467019e+00  2.91533373e-05
2.53019692e+00  3.25266061e-05
2.67339380e+00  3.84510971e-05
2.82469494e+00  5.07141549e-05
2.98455899e+00  8.01224640e-05
3.16952307e+00  1.61811625e-04
3.28074699e+00  3.61687361e-04

# top
3.28074699e+00  3.61687361e-04
3.23103394e+00  8.00274101e-04
3.04490823e+00  2.20881658e-03
2.88181166e+00  4.31893742e-03
2.72745114e+00  7.68289801e-03
2.58135874e+00  1.32050183e-02
2.44309159e+00  2.12973046e-02
2.31223055e+00  3.38794685e-02
2.18837891e+00  5.18052991e-02
2.08170431e+00  7.47079326e-02
1.96022214e+00  1.11918189e-01
1.85522537e+00  1.62531276e-01
1.75585262e+00  2.34012825e-01
1.66180264e+00  3.35198634e-01
1.57279033e+00  4.75208889e-01
1.46604334e+00  7.44988315e-01
1.40881381e+00  9.81155363e-01
4.99798132e-01  9.89433905e-01
