# Borexino  (HNLimits id: borexino)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.45155816e-02  5.45524153e-05
1.44918251e-02  4.78593424e-05
1.44329603e-02  4.13888294e-05
1.43622790e-02  3.42485391e-05
1.42916101e-02  2.84622846e-05
1.42209475e-02  2.37045579e-05
1.41502662e-02  1.96151109e-05
1.40796035e-02  1.63362689e-05
1.39855543e-02  1.35644488e-05
1.38682654e-02  1.18138217e-05
1.37509728e-02  1.02758566e-05
1.36336988e-02  8.99598769e-06
1.34929883e-02  7.71729249e-06
1.33289432e-02  6.71991521e-06
1.31649060e-02  5.86764725e-06
1.29891626e-02  5.09282671e-06
1.27900680e-02  4.46122060e-06
1.25675637e-02  3.86525720e-06
1.23217723e-02  3.45546637e-06
1.20643374e-02  3.13806702e-06
1.18069586e-02  2.90554327e-06
1.15496137e-02  2.72200677e-06
1.12923553e-02  2.62753005e-06
1.10351225e-02  2.55875510e-06
1.07779337e-02  2.53008719e-06
1.05207535e-02  2.50909113e-06
1.02636089e-02  2.51912047e-06
1.00064914e-02  2.55304704e-06
9.74941131e-03  2.62104869e-06
9.49233630e-03  2.69560260e-06
9.23525621e-03  2.76740129e-06
8.97818629e-03  2.85113267e-06
8.72115202e-03  2.97381721e-06
8.46411776e-03  3.10178088e-06
8.20707161e-03  3.22198939e-06
7.95003734e-03  3.36063193e-06
7.69303363e-03  3.54245908e-06
7.43605538e-03  3.76713579e-06
7.17911108e-03  4.05335300e-06
6.92216338e-03  4.35620098e-06
6.66522417e-03  4.69543215e-06
6.40828497e-03  5.06108032e-06
6.15135255e-03  5.46802177e-06
5.89447106e-03  6.01260010e-06
5.63763709e-03  6.72093683e-06
5.38081841e-03  7.55250168e-06
5.12402009e-03  8.54692475e-06
4.86725063e-03  9.76924820e-06
4.61050324e-03  1.12518847e-05
4.37713918e-03  1.29842005e-05
4.16713884e-03  1.49102932e-05
3.98051102e-03  1.70907416e-05
3.81730612e-03  1.98977317e-05
3.66576481e-03  2.29638250e-05
3.51421550e-03  2.64291695e-05
3.35099993e-03  3.06566257e-05
3.18777902e-03  3.54947624e-05
3.03622748e-03  4.08197036e-05
2.89639600e-03  4.74514785e-05
2.76824722e-03  5.50424284e-05
2.65173509e-03  6.27045143e-05
2.53524163e-03  7.18957516e-05
2.41881166e-03  8.42633094e-05
2.30238916e-03  9.90136509e-05
2.18596666e-03  1.16346049e-04
2.08119574e-03  1.34959713e-04
1.99978402e-03  1.55545740e-04
1.93007990e-03  1.80433689e-04
1.86038822e-03  2.10206399e-04
1.79069033e-03  2.44365471e-04
1.72098620e-03  2.83464937e-04
1.65128831e-03  3.29528707e-04
1.58159663e-03  3.83903047e-04
1.51193504e-03  4.51924747e-04
1.46572497e-03  5.45723190e-04
1.41951074e-03  6.58045254e-04
1.37330585e-03  7.96050667e-04
1.32712275e-03  9.70277719e-04
1.28089141e-03  1.16308061e-03
1.24247447e-03  1.40473862e-03
1.21978127e-03  1.77981438e-03
1.22413194e-03  2.08250761e-03
1.19748640e-03  2.58794726e-03
1.20183708e-03  3.02807974e-03
1.17519154e-03  3.76301658e-03
1.17954221e-03  4.40299322e-03
1.15293402e-03  5.54272375e-03
1.15728470e-03  6.48537537e-03
1.14617461e-03  7.92194581e-03
1.13106240e-03  9.32917103e-03
1.13541930e-03  1.09392951e-02
1.13583009e-03  1.26083906e-02
1.13624088e-03  1.45321533e-02
1.13665168e-03  1.67494398e-02
1.12548557e-03  2.00672308e-02
1.12589637e-03  2.31290482e-02
1.11469292e-03  2.73551138e-02
1.11510371e-03  3.15289017e-02
1.11551451e-03  3.63395176e-02
