# CHARM  (HNLimits id: charm)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.60528256e-01  2.02043233e-05
1.79918405e-01  1.47080016e-05
1.96847387e-01  1.08789043e-05
2.15235650e-01  8.39688546e-06
2.35339722e-01  6.61634650e-06
2.57327177e-01  4.93408268e-06
2.81372690e-01  3.55508272e-06
3.07661354e-01  2.64206442e-06
3.37652239e-01  2.06391281e-06
3.67830653e-01  1.52077393e-06
4.02184048e-01  1.22751298e-06
4.39747647e-01  9.80627493e-07
4.82349529e-01  8.01683381e-07
5.25719925e-01  6.49979087e-07
5.74811559e-01  5.43007356e-07
6.28486512e-01  4.55204485e-07
6.87174472e-01  3.80288211e-07
7.54468645e-01  3.11142432e-07
8.21503618e-01  2.64867596e-07
8.98215967e-01  2.20972059e-07
9.82067598e-01  1.96266240e-07
1.05629653e+00  1.83027883e-07
1.13350406e+00  1.69629424e-07
1.21643404e+00  1.33202082e-07
1.29836189e+00  1.06190841e-07
1.36248442e+00  8.53187865e-08
1.48710882e+00  7.72865527e-08
1.63963926e+00  7.60579589e-08
1.78054933e+00  8.46800046e-08
1.94641596e+00  1.19512731e-07
2.01974189e+00  1.92880651e-07
2.04671805e+00  3.80459539e-07
2.04702074e+00  2.61054369e-07
