# CMS \\(2018)  (HNLimits id: cms_2018)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.00367946e+00  1.11890875e-02
1.07878247e+00  9.02805098e-03
1.25764943e+00  5.67491073e-03
1.46777546e+00  3.39574444e-03
1.72565862e+00  2.01562679e-03
2.02885098e+00  1.21199706e-03
2.38531321e+00  7.44652313e-04
2.80440464e+00  4.56530151e-04
3.34600372e+00  2.92848164e-04
3.90504861e+00  1.96465117e-04
4.25545298e+00  1.56165203e-04
4.57786429e+00  1.20797615e-04
5.35823470e+00  8.01815653e-05
6.29965834e+00  5.41642641e-05
7.40648692e+00  3.76287556e-05
8.70778152e+00  2.52007787e-05
1.02377092e+01  1.82785623e-05
1.17825598e+01  1.47907553e-05
1.35401002e+01  1.35038000e-05
1.59190499e+01  1.18603699e-05
1.95876830e+01  1.05377777e-05
2.20043058e+01  1.07433755e-05
2.58703876e+01  1.18784790e-05
3.06403300e+01  1.39950021e-05
3.58706153e+01  1.61595400e-05
4.23183707e+01  1.99042168e-05
4.72110448e+01  2.46849359e-05
5.09787358e+01  3.17706219e-05
5.51966320e+01  4.21640517e-05
5.97095965e+01  5.89771372e-05
6.16428527e+01  9.54253550e-05
6.46339082e+01  1.49994726e-04
6.67865773e+01  2.72476654e-04
7.01854513e+01  5.19948436e-04
7.32133814e+01  1.03466137e-03
7.72316232e+01  2.03905860e-03
8.48231804e+01  5.31192236e-03
9.62659425e+01  5.32450561e-03
1.12681025e+02  7.20871495e-03
1.32478698e+02  9.56240808e-03
1.52354609e+02  1.17897806e-02
1.98499551e+02  1.13930163e-02
2.22989355e+02  1.45881813e-02
2.62167828e+02  1.99266058e-02
3.06480838e+02  2.65285249e-02
3.60328481e+02  3.62229036e-02
4.23636971e+02  5.33243935e-02
4.98068549e+02  8.37679915e-02
5.85577501e+02  1.30111393e-01
6.88461480e+02  2.21591459e-01
8.03488510e+02  3.60998623e-01
9.34290807e+02  6.24404009e-01
1.00411150e+03  8.25942765e-01
