# CMS \\(2024-I)  (HNLimits id: cms_2024_1)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
9.98630137e-01  3.96577293e-04
9.98630137e-01  6.83510007e-05
1.38356164e+00  3.68147970e-05
1.78904110e+00  1.89762489e-05
1.98904110e+00  1.37164337e-05
1.99863014e+00  3.96577293e-04
2.12191781e+00  2.49547429e-04
2.17260274e+00  1.10101525e-05
2.22054795e+00  1.74381195e-04
2.33150685e+00  9.08014730e-06
2.33150685e+00  1.15049016e-04
2.44246575e+00  7.59042634e-05
2.49589041e+00  7.38786140e-06
2.56164384e+00  4.84133508e-05
2.59452055e+00  7.21505653e-06
2.64383562e+00  3.48760707e-05
2.69863014e+00  8.06673681e-06
2.80410959e+00  1.16615593e-05
2.84931507e+00  1.56498409e-05

# top
9.98630137e-01  3.96577293e-04
9.98630137e-01  6.83510007e-05
1.38356164e+00  3.68147970e-05
1.78904110e+00  1.89762489e-05
1.98904110e+00  1.37164337e-05
1.99863014e+00  3.96577293e-04
2.12191781e+00  2.49547429e-04
2.17260274e+00  1.10101525e-05
2.22054795e+00  1.74381195e-04
2.33150685e+00  9.08014730e-06
2.33150685e+00  1.15049016e-04
2.44246575e+00  7.59042634e-05
2.49589041e+00  7.38786140e-06
2.56164384e+00  4.84133508e-05
2.59452055e+00  7.21505653e-06
2.64383562e+00  3.48760707e-05
2.69863014e+00  8.06673681e-06
2.80410959e+00  1.16615593e-05
2.84931507e+00  1.56498409e-05
