# CMS \\(2024-II)  (HNLimits id: cms_2024_2)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.00437463e+01  1.98158524e-05
1.06448135e+01  1.61798259e-05
1.19732254e+01  1.11520545e-05
1.34674155e+01  8.25858678e-06
1.51480719e+01  6.48628595e-06
1.70384648e+01  5.13515711e-06
1.91647678e+01  4.29097353e-06
2.15564213e+01  3.93876713e-06
2.42465395e+01  3.82592425e-06
2.72723691e+01  3.77463753e-06
2.96509024e+01  3.74770611e-06
3.04377343e+01  3.50142826e-06
3.45039700e+01  3.88683229e-06
3.91065731e+01  4.12405226e-06
4.35818761e+01  4.76988396e-06
4.87698768e+01  6.23975793e-06
5.39204558e+01  8.76534908e-06
6.01377146e+01  1.27388681e-05
6.24692981e+01  2.59386938e-05
6.53315626e+01  4.24705296e-05
6.77972390e+01  7.07646050e-05
7.48055205e+01  2.66786624e-04
7.48056000e+01  8.40076881e-01
8.60195400e+01  8.40076881e-01
8.60195480e+01  9.54266297e-04
9.97819835e+01  7.39551598e-04
1.24119170e+02  1.91536969e-03
1.26857905e+02  1.67190664e-03
1.46331760e+02  2.10050663e-03
1.64593128e+02  2.53544929e-03
1.85133410e+02  3.04013462e-03
2.08237001e+02  3.90827266e-03
2.47380196e+02  6.29300068e-03
2.51737472e+02  1.30677540e-02
2.97995192e+02  1.87103599e-02
3.35183289e+02  2.47250219e-02
3.96373184e+02  3.87726670e-02
4.05119304e+02  3.05636095e-02
4.82405580e+02  4.36703016e-02
6.03459133e+02  6.74004092e-02
6.78767384e+02  9.23148514e-02
7.63473675e+02  1.29830704e-01
8.58750827e+02  1.85073555e-01
9.65918023e+02  2.72875223e-01
1.11044648e+03  4.33008234e-01
1.22204296e+03  6.31837708e-01
1.35146775e+03  9.95679971e-01
1.48768796e+03  1.57536708e+00
