# Cosmology  (HNLimits id: cosmo)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: cosmology
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# Curve files OVERRIDDEN locally: the HNLimits row points every
#   flavour at Ue4_*_Cosmo.dat, whose '_bottom' is a flat two-point
#   line, not a boundary. Substituted the per-flavour Sabti et al.
#   (arXiv:2006.07387) files shipped alongside it. See
#   COSMO_PER_FLAVOUR_FILES in curves/plot/hnl_panel.py.
# Files used: top=Sabti_BBN/Ue4_top.dat  bottom=Sabti_BBN/Ue4_bottom.dat
# mass_GeV  U2
# bottom
1.03415879e-03  8.59773407e-10
1.13038810e-03  7.81340241e-10
1.24699359e-03  7.10654672e-10
1.37562806e-03  6.45234894e-10
1.51753134e-03  5.86862380e-10
1.67407331e-03  5.32838380e-10
1.84676280e-03  4.84634050e-10
2.03726686e-03  4.40020746e-10
2.24742250e-03  3.99514351e-10
2.47925598e-03  3.63371455e-10
2.73500530e-03  3.29921059e-10
3.01713551e-03  3.00074065e-10
3.32837016e-03  2.72450552e-10
3.67171044e-03  2.47369939e-10
4.05046821e-03  2.24598138e-10
4.46829535e-03  2.04279401e-10
4.92922356e-03  1.85798840e-10
5.43769894e-03  1.68990162e-10
5.99862845e-03  1.53433663e-10
6.61742102e-03  1.39309227e-10
7.30004287e-03  1.26706328e-10
8.07780487e-03  1.16274058e-10
8.91107300e-03  1.05755084e-10
9.80021995e-03  9.48366049e-11
1.08441960e-02  9.33151879e-11
1.19993913e-02  9.14977227e-11
1.32371672e-02  8.39507684e-11
1.46027264e-02  7.45099705e-11
1.60598442e-02  6.56938872e-11
1.77709617e-02  5.92092818e-11
1.96040865e-02  5.44206062e-11
2.16262873e-02  5.01944090e-11
2.38571528e-02  4.56534675e-11
2.63181438e-02  4.15233318e-11
2.90329989e-02  3.77668372e-11
3.20278939e-02  3.44102821e-11
3.53317530e-02  3.12426212e-11
3.89764094e-02  2.84161926e-11
4.29970473e-02  2.58003215e-11
4.74324193e-02  2.34662418e-11
5.23253232e-02  2.13433194e-11
5.77229773e-02  1.93785463e-11
6.36773830e-02  1.76562639e-11
7.04617373e-02  1.61685958e-11
7.77302367e-02  1.47058701e-11
8.57485201e-02  1.33754731e-11
9.48843488e-02  1.22742135e-11
1.04672131e-01  1.11833339e-11
1.15469698e-01  1.01361103e-11
1.27381005e-01  9.21912601e-12
1.40089873e-01  8.61175486e-12
1.40589163e-01  5.31900651e-10
1.41231795e-01  1.43997402e-09
1.45940485e-01  1.13662227e-09
1.48352385e-01  8.53427555e-10
1.50661707e-01  5.07758640e-10
1.55847116e-01  3.19676808e-10
1.59735044e-01  1.97112146e-10
1.67273391e-01  1.21059261e-10
1.76243128e-01  7.89965608e-11
1.84558147e-01  5.15796492e-11
1.94454913e-01  3.35234963e-11
2.06775777e-01  2.21042900e-11
2.19875706e-01  1.50838300e-11
2.35244498e-01  1.02487676e-11
2.51686390e-01  7.11457610e-12
2.61121553e-01  7.30939796e-12
2.71765680e-01  5.03350453e-12
2.96152754e-01  3.97390399e-12
3.26702579e-01  3.60871447e-12
3.60403672e-01  3.28224461e-12
3.98801974e-01  3.00726842e-12
4.39940498e-01  2.73520963e-12
4.85322858e-01  2.48341813e-12
5.35386864e-01  2.25086726e-12
5.90614840e-01  2.04723788e-12
6.51537943e-01  1.88825341e-12
7.18744855e-01  1.74771509e-12
7.92885413e-01  1.60636494e-12
8.74674426e-01  1.47129383e-12
9.66089978e-01  1.31430401e-12

# top
3.45902882e-03  3.46080232e-01
3.70059948e-03  3.06373408e-01
3.96095381e-03  2.57285235e-01
4.23567743e-03  2.03979999e-01
4.53156702e-03  1.66201403e-01
4.84812936e-03  1.35032861e-01
5.18680428e-03  1.09866531e-01
5.54913794e-03  8.93904977e-02
5.93678309e-03  7.27306212e-02
6.35150789e-03  5.91756778e-02
6.79520405e-03  4.81469944e-02
7.26989541e-03  3.91737479e-02
7.77774720e-03  3.18728623e-02
8.32107591e-03  2.59326566e-02
8.90235983e-03  2.10995383e-02
9.52425040e-03  1.71671774e-02
1.01895473e-02  1.42094980e-02
1.09012741e-02  1.19821191e-02
1.16626930e-02  1.01909689e-02
1.24773097e-02  8.61812301e-03
1.33488096e-02  7.32984065e-03
1.42811983e-02  6.19857338e-03
1.52787033e-02  5.25691888e-03
1.63458815e-02  4.45831555e-03
1.74875992e-02  3.78103184e-03
1.87090914e-02  3.18378749e-03
2.00159158e-02  2.67322488e-03
2.14140214e-02  2.24453777e-03
2.29098051e-02  1.87652720e-03
2.45100777e-02  1.56661274e-03
2.62221072e-02  1.31350557e-03
2.80537219e-02  1.10129123e-03
3.00133658e-02  9.10250367e-04
3.21101791e-02  7.21781852e-04
3.43535438e-02  5.67445433e-04
3.67536403e-02  4.46110303e-04
3.93214067e-02  3.51221875e-04
4.20685936e-02  2.75726523e-04
4.50076717e-02  2.17389722e-04
4.81521145e-02  1.70905939e-04
5.15164141e-02  1.32264277e-04
5.51160048e-02  1.00330217e-04
5.89671086e-02  7.61063591e-05
6.30873185e-02  5.76486287e-05
6.74954198e-02  4.36673676e-05
7.19461560e-02  3.32196816e-05
8.16472557e-02  1.91704526e-05
9.02473624e-02  1.17207765e-05
9.81621602e-02  8.46455092e-06
1.07728917e-01  5.25083157e-06
1.18018022e-01  3.66860051e-06
1.27609785e-01  2.66758984e-06
1.36899991e-01  1.78756685e-06
1.39627809e-01  1.38017018e-06
1.43094000e-01  8.92322938e-07
1.48158449e-01  4.12022028e-07
1.57156802e-01  1.83405138e-07
1.61254780e-01  1.19722498e-07
1.66616923e-01  8.05918119e-08
1.72173584e-01  5.32476433e-08
1.75936309e-01  3.74400596e-08
