# DELPHI \\(long)  (HNLimits id: delphi_long)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
4.28280248e-01  6.00143455e-03
4.57147824e-01  4.83930800e-03
4.93168074e-01  3.76734766e-03
5.97684738e-01  1.94835457e-03
6.37232479e-01  1.57708625e-03
7.72280581e-01  8.19735517e-04
8.36675951e-01  6.24638932e-04
9.21076902e-01  4.52610073e-04
1.03367073e+00  3.08735966e-04
1.19779202e+00  1.94300548e-04
1.30600897e+00  1.45105967e-04
1.36154779e+00  1.27306017e-04
1.50853040e+00  9.41213506e-05
1.60834719e+00  7.69569114e-05
1.89988241e+00  4.55934309e-05
2.06949329e+00  3.64449923e-05
2.18035350e+00  3.39219331e-05
2.42361997e+00  2.54287354e-05
2.66029120e+00  1.95040369e-05
2.89985703e+00  1.58430772e-05
3.10099750e+00  1.39072172e-05
3.22476880e+00  1.30777794e-05
3.34256083e+00  1.25524891e-05
3.46967383e+00  1.18317990e-05
3.65215533e+00  1.18317990e-05
3.84423412e+00  1.28241028e-05
3.97328888e+00  1.46384613e-05
4.05180676e+00  1.77854625e-05
4.10501216e+00  2.11705830e-05
4.15891620e+00  2.70743317e-05
4.21352808e+00  4.61330056e-05
4.31083010e+00  1.45387836e-04
4.42615330e+00  4.26080893e-04
4.51222695e+00  6.36030037e-04
