# $K$ universality \\(Bryman-Shrock)  (HNLimits id: kenu)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
3.94200454e-04  1.76207411e-02
4.37753608e-04  1.39907855e-02
4.72812804e-04  1.20930605e-02
5.10680684e-04  1.04105742e-02
5.51583222e-04  8.89000079e-03
5.95760844e-04  7.62227453e-03
6.43475711e-04  6.56180081e-03
6.95016616e-04  5.55825954e-03
7.50679720e-04  4.80433130e-03
8.16027116e-04  4.05307440e-03
8.81386118e-04  3.46108045e-03
9.95750591e-04  2.64244479e-03
1.07550043e-03  2.27725968e-03
1.35516105e-03  1.45522516e-03
1.46369200e-03  1.26293206e-03
1.58092003e-03  1.08722254e-03
1.71538393e-03  9.30019244e-04
1.84429015e-03  8.10641555e-04
1.97926840e-03  6.92252387e-04
2.20137544e-03  5.69070132e-04
2.51601367e-03  4.32780529e-04
3.02333129e-03  3.02533681e-04
3.51364886e-03  2.20591479e-04
4.22212514e-03  1.54203685e-04
4.89408016e-03  1.13085401e-04
5.28606737e-03  9.65680938e-05
5.70943189e-03  8.31327439e-05
6.16670394e-03  7.15666307e-05
6.66064256e-03  6.06214542e-05
7.19408597e-03  5.23986956e-05
7.77027756e-03  4.49265700e-05
8.39264503e-03  3.82097954e-05
9.06480259e-03  3.30269780e-05
9.79080842e-03  2.84319924e-05
1.05750294e-02  2.40836925e-05
1.14219716e-02  2.08169548e-05
1.23367847e-02  1.78484286e-05
1.33249108e-02  1.51799882e-05
1.43920880e-02  1.31209584e-05
1.55447595e-02  1.12954625e-05
1.67898585e-02  9.56796979e-06
1.81345395e-02  8.27016018e-06
1.95869145e-02  7.14838684e-06
2.11558151e-02  6.03070599e-06
2.28501607e-02  5.21269461e-06
2.46802045e-02  4.50563916e-06
2.66570748e-02  3.80116321e-06
2.87920101e-02  3.28556939e-06
3.10979300e-02  2.83991126e-06
3.35887470e-02  2.41532857e-06
3.62789503e-02  2.07089941e-06
3.91844909e-02  1.79000041e-06
4.23227329e-02  1.54720285e-06
4.57126852e-02  1.31057849e-06
4.93738434e-02  1.12824000e-06
5.33281393e-02  9.75204322e-07
5.75991303e-02  8.42926569e-07
6.22121802e-02  7.28591112e-07
6.71949029e-02  6.24693024e-07
7.25768218e-02  5.33450067e-07
7.83895459e-02  4.59232092e-07
8.46676769e-02  3.96941362e-07
9.14481700e-02  3.47286171e-07
9.87718301e-02  3.02616744e-07
1.19109926e-01  2.25231563e-07
1.45182045e-01  1.61530790e-07
1.56807726e-01  1.43628005e-07
1.69365179e-01  1.26169950e-07
1.83765435e-01  1.15417996e-07
2.11295996e-01  9.49384656e-08
2.30473936e-01  8.86758962e-08
2.48922208e-01  8.47991396e-08
2.68847608e-01  8.07647095e-08
2.90367971e-01  7.69222228e-08
3.05658133e-01  7.78486313e-08
3.38998812e-01  9.88739912e-08
3.66071475e-01  1.23569424e-07
4.00490463e-01  1.47359341e-07
4.04867399e-01  2.76908255e-07
4.16111740e-01  7.75868768e-07
4.18312102e-01  1.58592842e-06
4.31471740e-01  5.26112075e-06
4.36934722e-01  9.76514545e-06
4.42469034e-01  1.79065597e-05
4.48071256e-01  3.32362947e-05
4.53745517e-01  6.13168087e-05
4.59493879e-01  1.11758220e-04
4.65310522e-01  2.08695665e-04
4.71203097e-01  3.85017412e-04
4.79503056e-01  8.34765089e-04
4.82079435e-01  1.38272328e-03
4.90032951e-01  3.07429547e-03
