# L3 \\(2001)  (HNLimits id: l3)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
8.03370153e+01  9.67854874e-04
8.12624893e+01  1.03871899e-03
8.28368346e+01  1.21994245e-03
8.44111798e+01  1.45768473e-03
8.57007870e+01  1.66229082e-03
8.75598703e+01  1.51924968e-03
8.89918465e+01  1.32668063e-03
9.07085608e+01  1.44007309e-03
9.24252751e+01  1.23369366e-03
9.44267274e+01  1.03676395e-03
9.60010727e+01  1.12076478e-03
9.70059418e+01  1.25644527e-03
9.81531800e+01  1.45235347e-03
1.00581739e+02  1.33591618e-03
1.01728978e+02  1.48870787e-03
1.03303323e+02  1.64087138e-03
1.04592930e+02  1.77571765e-03
1.06024906e+02  1.63076946e-03
1.06699841e+02  1.38322360e-03
1.07853859e+02  1.04757678e-03
1.09285835e+02  1.05677143e-03
1.10433073e+02  1.25193486e-03
1.11744525e+02  1.20432032e-03
1.12434525e+02  1.38160273e-03
1.14008871e+02  1.43552928e-03
1.15440847e+02  1.67827925e-03
1.16557954e+02  1.51611397e-03
1.17390323e+02  1.93516175e-03
1.18574472e+02  2.69757017e-03
1.19534144e+02  3.27069655e-03
1.20823752e+02  2.70059886e-03
1.22255728e+02  2.56135671e-03
1.23972442e+02  2.80064144e-03
1.25546787e+02  2.49569708e-03
1.26521526e+02  2.75523773e-03
1.28005478e+02  2.12636116e-03
1.29579823e+02  1.61174561e-03
1.31296537e+02  1.82714898e-03
1.32586145e+02  1.97760841e-03
1.34160490e+02  2.31967570e-03
1.35734835e+02  2.56904042e-03
1.36867008e+02  2.78281100e-03
1.38568657e+02  3.84869031e-03
1.39858264e+02  3.42991320e-03
1.41717347e+02  3.76755564e-03
1.43291692e+02  3.43019598e-03
1.44581299e+02  2.79634764e-03
1.45728538e+02  3.44609407e-03
1.47130383e+02  2.80716521e-03
1.48689663e+02  2.38495883e-03
1.49836399e+02  2.98288703e-03
1.50451573e+02  3.34563842e-03
1.51883550e+02  3.05390465e-03
1.53742633e+02  3.36869114e-03
1.54575002e+02  3.68777854e-03
1.55549740e+02  3.41449790e-03
1.56988496e+02  5.99929877e-03
1.58375276e+02  8.04972053e-03
1.59664883e+02  7.84336828e-03
1.61239228e+02  8.00230065e-03
1.62955942e+02  8.18894571e-03
1.64672657e+02  1.06669149e-02
1.65962264e+02  9.68191829e-03
1.67064306e+02  8.30703266e-03
1.68511347e+02  6.45812478e-03
1.69516217e+02  7.45740451e-03
1.70618258e+02  7.32529703e-03
1.71375300e+02  1.04524756e-02
1.73346621e+02  1.42294792e-02
1.74493859e+02  1.27521054e-02
1.76352943e+02  1.86933713e-02
1.77500181e+02  1.77902269e-02
1.78647419e+02  2.13475312e-02
1.80221764e+02  2.11159012e-02
1.81653740e+02  1.71490806e-02
1.82943348e+02  2.06741630e-02
1.86368490e+02  1.71918618e-02
1.87695510e+02  2.15140628e-02
1.88821757e+02  2.12784198e-02
1.89652268e+02  2.52828416e-02
1.90710971e+02  2.61179840e-02
1.91530309e+02  3.08071604e-02
1.93437978e+02  2.62181799e-02
1.94270347e+02  3.01765250e-02
1.94772782e+02  3.69804333e-02
1.95477848e+02  5.05114580e-02
1.96564824e+02  5.46815872e-02
1.98536145e+02  7.65456643e-02
1.99135752e+02  9.63149801e-02
1.99765490e+02  1.25199220e-01
2.00425359e+02  1.60638993e-01
2.01227598e+02  1.71051523e-01
2.01668414e+02  2.14201042e-01
2.02108553e+02  2.79199933e-01
2.02487074e+02  3.59179362e-01
2.02801943e+02  4.39991621e-01
2.03401550e+02  5.98194001e-01
