# LSND \\(Ema et al)  (HNLimits id: lsnd_ema)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.00872981e-02  1.10644402e-05
1.11672487e-02  8.28824586e-06
1.23806016e-02  6.24413169e-06
1.33181926e-02  5.09134347e-06
1.43109359e-02  4.19955162e-06
1.53588317e-02  3.44707089e-06
1.64618798e-02  2.86750317e-06
1.79877783e-02  2.22023315e-06
1.99956351e-02  1.68278337e-06
2.12601393e-02  1.43574052e-06
2.24836316e-02  1.23090842e-06
2.36868453e-02  1.09117673e-06
2.50152772e-02  9.32943563e-07
2.66249645e-02  7.86198068e-07
2.77332904e-02  7.30427792e-07
2.87263965e-02  6.61210695e-07
3.02095155e-02  5.79515757e-07
3.18494016e-02  5.05397693e-07
3.31776517e-02  4.68244469e-07
3.46617198e-02  4.20897514e-07
3.69234232e-02  3.60755318e-07
3.93501291e-02  3.13241439e-07
4.05634821e-02  2.92959662e-07
4.17768351e-02  2.76236925e-07
4.29901881e-02  2.60894363e-07
4.42035410e-02  2.47411741e-07
4.54168940e-02  2.35585501e-07
4.66302470e-02  2.25058246e-07
4.78436000e-02  2.15880764e-07
4.90569529e-02  2.07585278e-07
5.02703059e-02  2.00097997e-07
5.14836589e-02  1.93511620e-07
5.26970119e-02  1.87907451e-07
5.39103648e-02  1.82167919e-07
5.51237178e-02  1.77760811e-07
5.63370708e-02  1.73318780e-07
5.75504238e-02  1.69817481e-07
5.87637767e-02  1.67067438e-07
5.99771297e-02  1.64630497e-07
6.11904827e-02  1.63959900e-07
6.24038357e-02  1.63558854e-07
6.36171886e-02  1.64361930e-07
6.48305416e-02  1.67067438e-07
6.60438946e-02  1.71489188e-07
6.72572476e-02  1.76892268e-07
6.84706005e-02  1.83062366e-07
6.96839535e-02  1.91625235e-07
7.08973065e-02  2.00261411e-07
7.21106595e-02  2.10142787e-07
7.33240124e-02  2.21956535e-07
7.45373654e-02  2.34817491e-07
7.57507184e-02  2.52306827e-07
7.69640714e-02  2.70435671e-07
7.81774243e-02  2.91528254e-07
7.93907773e-02  3.16583363e-07
8.06041303e-02  3.50307710e-07
8.18174833e-02  3.84787132e-07
8.30308362e-02  4.25776951e-07
8.42441892e-02  4.78888420e-07
8.54575422e-02  5.47491153e-07
8.66708952e-02  6.37264193e-07
8.78842481e-02  7.52737322e-07
8.90424487e-02  8.96349175e-07
9.02006493e-02  1.09489457e-06
9.13036974e-02  1.32655735e-06
9.21585598e-02  1.59925646e-06
9.29031173e-02  1.97276977e-06
9.37304034e-02  2.39672900e-06
9.45760736e-02  2.93816886e-06
9.51643660e-02  3.60860460e-06
9.59364997e-02  4.39678608e-06
9.67637858e-02  5.36313653e-06
9.75910719e-02  6.48547559e-06
9.83080533e-02  7.78796293e-06
9.89698821e-02  9.41824669e-06
9.97570574e-02  1.15207210e-05
1.00388803e-01  1.43968042e-05
1.00912473e-01  1.80055781e-05
1.01439484e-01  2.26500484e-05
1.01837807e-01  2.79574945e-05
1.02315795e-01  3.57349622e-05
1.03234395e-01  6.97127416e-05
