# NA62  (HNLimits id: na62)
# Scenario: 100, single electron-flavor dominance
# Nature: Majorana
# Category: experimental
# Source metadata: local_HNL_database.xlsx
# Source metadata SHA256: aa9346350fd2354af29b71c3a4c6d2da1c5454abd6cef3b780dd1dd858f56783
# Source URL: https://raw.githubusercontent.com/mhostert/Heavy-Neutrino-Limits/main/src/HNLimits/include/local_HNL_database.xlsx
# Transformations: HNLimits unit, CL, and Dirac/Majorana rules
# mass_GeV  U2
# bottom
1.44000000e-01  2.20202000e-09
1.49000000e-01  8.16746000e-10
1.53800000e-01  1.47054000e-09
1.58400000e-01  2.51995000e-09
1.62800000e-01  2.53303000e-09
1.67000000e-01  2.22901000e-09
1.71100000e-01  2.23763000e-09
1.75100000e-01  1.10229000e-09
1.78900000e-01  1.86608000e-09
1.82600000e-01  1.47194000e-09
1.86200000e-01  1.68133000e-09
1.89700000e-01  1.37793000e-09
1.93100000e-01  1.59934000e-09
1.96400000e-01  8.61348000e-10
1.99600000e-01  6.50406000e-10
2.02800000e-01  4.34763000e-10
2.05900000e-01  4.88442000e-10
2.08900000e-01  5.98187000e-10
2.11900000e-01  1.34270000e-09
2.14800000e-01  1.62849000e-09
2.17600000e-01  1.64648000e-09
2.20400000e-01  1.00427000e-09
2.23100000e-01  6.89644000e-10
2.25800000e-01  6.04740000e-10
2.28400000e-01  5.57603000e-10
2.31000000e-01  6.66521000e-10
2.33500000e-01  6.07256000e-10
2.36000000e-01  8.21787000e-10
2.38500000e-01  8.34372000e-10
2.40900000e-01  1.07100000e-09
2.43300000e-01  8.04486000e-10
2.45600000e-01  7.27420000e-10
2.47900000e-01  4.88723000e-10
2.50200000e-01  5.25481000e-10
2.52400000e-01  5.01442000e-10
2.54600000e-01  1.00625000e-09
2.56800000e-01  6.67085000e-10
2.59000000e-01  9.03876000e-10
2.61100000e-01  1.14141000e-09
2.63200000e-01  1.09109000e-09
2.65300000e-01  7.43078000e-10
2.67300000e-01  4.96511000e-10
2.69300000e-01  4.91887000e-10
2.71300000e-01  5.75625000e-10
2.73300000e-01  5.97210000e-10
2.75200000e-01  1.00093000e-09
2.77100000e-01  8.38399000e-10
2.79000000e-01  7.81794000e-10
2.80900000e-01  8.29846000e-10
2.82800000e-01  5.50289000e-10
2.84600000e-01  9.51274000e-10
2.86400000e-01  5.37579000e-10
2.88200000e-01  8.25639000e-10
2.90000000e-01  6.56649000e-10
2.91800000e-01  7.79103000e-10
2.93500000e-01  6.98302000e-10
2.95200000e-01  5.70922000e-10
2.96900000e-01  7.96653000e-10
2.98600000e-01  6.20834000e-10
3.00300000e-01  5.53550000e-10
3.02000000e-01  7.82739000e-10
3.03600000e-01  9.39260000e-10
3.05200000e-01  1.02555000e-09
3.06800000e-01  6.04831000e-10
3.08400000e-01  4.81319000e-10
3.10000000e-01  5.30981000e-10
3.11600000e-01  9.24362000e-10
3.13100000e-01  1.03811000e-09
3.14600000e-01  6.93267000e-10
3.16100000e-01  5.41730000e-10
3.17600000e-01  5.25111000e-10
3.19100000e-01  7.00348000e-10
3.20600000e-01  8.51864000e-10
3.22100000e-01  1.29672000e-09
3.23500000e-01  1.18471000e-09
3.24900000e-01  9.21145000e-10
3.26300000e-01  4.75840000e-10
3.27700000e-01  5.02891000e-10
3.29100000e-01  4.31363000e-10
3.30500000e-01  4.71631000e-10
3.31900000e-01  7.45604000e-10
3.33300000e-01  1.06157000e-09
3.34600000e-01  7.64944000e-10
3.35900000e-01  7.55183000e-10
3.37200000e-01  7.90994000e-10
3.38500000e-01  7.27588000e-10
3.39800000e-01  5.34572000e-10
3.41100000e-01  3.52092000e-10
3.42400000e-01  5.66807000e-10
3.43700000e-01  1.00855000e-09
3.44900000e-01  1.83328000e-09
3.46100000e-01  2.15819000e-09
3.47300000e-01  1.33493000e-09
3.48500000e-01  4.64637000e-10
3.49700000e-01  3.47188000e-10
3.50900000e-01  4.23634000e-10
3.52100000e-01  5.15497000e-10
3.53300000e-01  4.70342000e-10
3.54500000e-01  5.09750000e-10
3.55700000e-01  1.21838000e-09
3.56800000e-01  2.12683000e-09
3.57900000e-01  2.81706000e-09
3.59000000e-01  2.14899000e-09
3.60100000e-01  1.44941000e-09
3.61200000e-01  1.35342000e-09
3.62300000e-01  9.31890000e-10
3.63400000e-01  1.01496000e-09
3.64500000e-01  8.28321000e-10
3.65600000e-01  7.79192000e-10
3.66700000e-01  1.03100000e-09
3.67700000e-01  1.43231000e-09
3.68700000e-01  1.82338000e-09
3.69700000e-01  1.79580000e-09
3.70700000e-01  1.74678000e-09
3.71700000e-01  1.79015000e-09
3.72700000e-01  2.02394000e-09
3.73700000e-01  1.04335000e-09
3.74700000e-01  9.81346000e-10
3.75700000e-01  8.23620000e-10
3.76700000e-01  1.25681000e-09
3.77700000e-01  1.18922000e-09
3.78700000e-01  1.94073000e-09
3.79600000e-01  1.66261000e-09
3.80500000e-01  2.30755000e-09
3.81400000e-01  1.78355000e-09
3.82300000e-01  1.63447000e-09
3.83200000e-01  9.33489000e-10
3.84100000e-01  5.97338000e-10
3.85000000e-01  7.07723000e-10
3.85900000e-01  9.62083000e-10
3.86800000e-01  1.47903000e-09
3.87700000e-01  7.85042000e-10
3.88600000e-01  9.53333000e-10
3.89500000e-01  1.41415000e-09
3.90400000e-01  1.93260000e-09
3.91300000e-01  2.22773000e-09
3.92100000e-01  1.15561000e-09
3.92900000e-01  8.34850000e-10
3.93700000e-01  7.90957000e-10
3.94500000e-01  1.63614000e-09
3.95300000e-01  1.27545000e-09
3.96100000e-01  1.11964000e-09
3.96900000e-01  5.46961000e-10
3.97700000e-01  7.03434000e-10
3.98500000e-01  1.66168000e-09
3.99300000e-01  2.26114000e-09
4.00100000e-01  2.71566000e-09
4.00900000e-01  1.23127000e-09
4.01700000e-01  9.86344000e-10
4.02500000e-01  9.46651000e-10
4.03300000e-01  1.17508000e-09
4.04000000e-01  9.84072000e-10
4.04700000e-01  7.20431000e-10
4.05400000e-01  1.00796000e-09
4.06100000e-01  1.61439000e-09
4.06800000e-01  2.16487000e-09
4.07500000e-01  2.01834000e-09
4.08200000e-01  2.81941000e-09
4.08900000e-01  2.21053000e-09
4.09600000e-01  2.06659000e-09
4.10300000e-01  1.33649000e-09
4.11000000e-01  1.27526000e-09
4.11700000e-01  8.92581000e-10
4.12400000e-01  1.12358000e-09
4.13100000e-01  1.31481000e-09
4.13800000e-01  2.00781000e-09
4.14500000e-01  1.69478000e-09
4.15200000e-01  1.82914000e-09
4.15900000e-01  2.10711000e-09
4.16600000e-01  2.01820000e-09
4.17200000e-01  1.80244000e-09
4.17800000e-01  1.73603000e-09
4.18400000e-01  1.85563000e-09
4.19000000e-01  2.28806000e-09
4.19600000e-01  2.62848000e-09
4.20200000e-01  1.76359000e-09
4.20800000e-01  1.12087000e-09
4.21400000e-01  1.46663000e-09
4.22000000e-01  1.36327000e-09
4.22600000e-01  1.75664000e-09
4.23200000e-01  1.79566000e-09
4.23800000e-01  3.33324000e-09
4.24400000e-01  5.92414000e-09
4.25000000e-01  3.42459000e-09
4.25600000e-01  3.23436000e-09
4.26200000e-01  2.12487000e-09
4.26800000e-01  3.51010000e-09
4.27400000e-01  2.51752000e-09
4.28000000e-01  3.28331000e-09
4.28600000e-01  1.68887000e-09
4.29200000e-01  1.95056000e-09
4.29800000e-01  2.29313000e-09
4.30400000e-01  3.19559000e-09
4.30900000e-01  3.06197000e-09
4.31400000e-01  2.54374000e-09
4.31900000e-01  3.45952000e-09
4.32400000e-01  4.19250000e-09
4.32900000e-01  3.58195000e-09
4.33400000e-01  4.01206000e-09
4.33900000e-01  3.69082000e-09
4.34400000e-01  5.03800000e-09
4.34900000e-01  3.62042000e-09
4.35400000e-01  1.83959000e-09
4.35900000e-01  1.65021000e-09
4.36400000e-01  1.90363000e-09
4.36900000e-01  3.47350000e-09
4.37400000e-01  3.65081000e-09
4.37900000e-01  2.91274000e-09
4.38400000e-01  3.92019000e-09
4.38900000e-01  6.58538000e-09
4.39400000e-01  6.02404000e-09
4.39900000e-01  4.49199000e-09
4.40400000e-01  3.65298000e-09
4.40900000e-01  5.69779000e-09
4.41400000e-01  4.50650000e-09
4.41900000e-01  5.97331000e-09
4.42400000e-01  5.75908000e-09
4.42900000e-01  2.80148000e-09
4.43400000e-01  2.26427000e-09
4.43900000e-01  4.34751000e-09
4.44400000e-01  9.04857000e-09
4.44900000e-01  1.06738000e-08
4.45400000e-01  1.09878000e-08
4.45900000e-01  7.79533000e-09
4.46400000e-01  4.03663000e-09
4.46800000e-01  3.65879000e-09
4.47200000e-01  4.22696000e-09
4.47600000e-01  5.23100000e-09
4.48000000e-01  9.79259000e-09
4.48400000e-01  1.04625000e-08
4.48800000e-01  1.34635000e-08
4.49200000e-01  9.28340000e-09
4.49600000e-01  9.53901000e-09
4.50000000e-01  1.14567000e-08
4.50400000e-01  1.35807000e-08
4.50800000e-01  1.24545000e-08
4.51200000e-01  1.78042000e-08
4.51600000e-01  1.19264000e-08
4.52000000e-01  7.10113000e-09
4.52400000e-01  4.27434000e-09
4.52800000e-01  3.93664000e-09
4.53200000e-01  5.75162000e-09
4.53600000e-01  7.12126000e-09
4.54000000e-01  1.13120000e-08
4.54400000e-01  1.06728000e-08
4.54800000e-01  1.07788000e-08
4.55200000e-01  8.47579000e-09
4.55600000e-01  9.90859000e-09
4.56000000e-01  1.00152000e-08
4.56400000e-01  8.05519000e-09
4.56800000e-01  6.55850000e-09
4.57200000e-01  2.14293000e-08
4.57600000e-01  3.80579000e-08
4.58000000e-01  4.03955000e-08
4.58400000e-01  3.28245000e-08
4.58800000e-01  3.56483000e-08
4.59200000e-01  6.26288000e-08
4.59600000e-01  2.64092000e-08
4.60000000e-01  7.57191000e-08
4.60400000e-01  2.58108000e-08
4.60800000e-01  1.00013000e-07
4.61200000e-01  8.97816000e-08
4.61600000e-01  1.42425000e-07
4.62000000e-01  4.11214000e-07
